Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,10.068010091781616,0.7604002952575684,0.2067,0.2418,0.3132,0.2067,0.2341,0.326,0.3348,0.0857,0.0582,0.6175,0.7435
MHCN,2,7.453748673200607,0.5770187377929688,0.2111,0.2453,0.3237,0.2111,0.2416,0.3357,0.3447,0.089,0.0618,0.634,0.7625
MHCN,3,6.633614212274551,0.5746209621429443,0.2135,0.2471,0.3213,0.2135,0.2427,0.3447,0.3542,0.0903,0.0623,0.6455,0.783
MHCN,4,6.15718612074852,0.5729587078094482,0.212,0.2462,0.3202,0.212,0.2407,0.3389,0.3479,0.092,0.0623,0.649,0.7775
MHCN,5,5.854108572006226,0.5707893371582031,0.2074,0.2391,0.3193,0.2074,0.2382,0.3392,0.3478,0.0901,0.0626,0.6465,0.7715
MHCN,6,5.605937406420708,0.5695912837982178,0.2071,0.2395,0.3168,0.2071,0.2369,0.3331,0.3421,0.0917,0.0629,0.641,0.7665
MHCN,7,5.373225569725037,0.5765781402587891,0.2044,0.2384,0.3155,0.2044,0.2341,0.3324,0.3408,0.0916,0.0629,0.651,0.773
MHCN,8,5.248638063669205,0.569000244140625,0.201,0.2332,0.3082,0.201,0.2298,0.3315,0.3405,0.0896,0.0614,0.644,0.774
MHCN,9,5.070763677358627,0.568779468536377,0.1982,0.2307,0.3095,0.1982,0.2286,0.3259,0.3348,0.0887,0.0619,0.639,0.7685
MHCN,10,4.976390704512596,0.5692071914672852,0.1952,0.223,0.3013,0.1952,0.2254,0.3247,0.3353,0.0865,0.0604,0.62,0.7675
MHCN,11,4.858734652400017,0.5718700885772705,0.1965,0.2237,0.2994,0.1965,0.2258,0.3319,0.3406,0.0868,0.0602,0.6305,0.7545
MHCN,12,4.737628534436226,0.5721442699432373,0.1959,0.2229,0.3039,0.1959,0.2272,0.3309,0.3399,0.0864,0.0613,0.632,0.763
MHCN,13,4.704022228717804,0.5692501068115234,0.1933,0.2216,0.2977,0.1933,0.2228,0.3221,0.3311,0.0867,0.0604,0.6275,0.755
MHCN,14,4.611327812075615,0.5702118873596191,0.194,0.2224,0.3008,0.194,0.2242,0.3246,0.3339,0.0874,0.0613,0.6325,0.767
