Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.246958315372467,0.501807689666748,0.0102,0.0137,0.0236,0.0102,0.0142,0.0181,0.021,0.0057,0.0051,0.056,0.0965
CSGCN,2,15.243539273738861,0.28554439544677734,0.0129,0.0167,0.0294,0.0129,0.0179,0.0232,0.0267,0.0068,0.0062,0.066,0.1175
CSGCN,3,15.238985240459442,0.3012125492095947,0.0159,0.0194,0.035,0.0159,0.0221,0.0298,0.0341,0.0082,0.0076,0.08,0.1455
CSGCN,4,15.232134521007538,0.3035862445831299,0.0196,0.0244,0.0399,0.0196,0.0258,0.0366,0.041,0.0101,0.0087,0.099,0.165
CSGCN,5,15.222074091434479,0.29231810569763184,0.0223,0.0277,0.0466,0.0223,0.0295,0.0411,0.0462,0.0113,0.0097,0.108,0.183
CSGCN,6,15.208103835582733,0.2892265319824219,0.0241,0.0303,0.0496,0.0241,0.0314,0.0439,0.0487,0.0127,0.0104,0.122,0.1965
CSGCN,7,15.189162015914917,0.29021739959716797,0.0257,0.0321,0.0532,0.0257,0.0336,0.0464,0.0517,0.0132,0.0109,0.125,0.2035
CSGCN,8,15.164479613304138,0.29227662086486816,0.0266,0.033,0.0557,0.0266,0.0352,0.0493,0.0551,0.0136,0.0115,0.129,0.215
CSGCN,9,15.133557200431824,0.2893226146697998,0.0267,0.0337,0.0565,0.0267,0.0354,0.0485,0.0542,0.0139,0.0117,0.1325,0.2165
CSGCN,10,15.095497071743011,0.2902841567993164,0.0266,0.0339,0.0571,0.0266,0.0357,0.0479,0.0541,0.0137,0.0119,0.1305,0.22
CSGCN,11,15.050186216831207,0.28676533699035645,0.0267,0.0351,0.0556,0.0267,0.0346,0.047,0.0523,0.0142,0.0116,0.1365,0.2165
CSGCN,12,14.997955560684204,0.2882344722747803,0.0268,0.0353,0.054,0.0268,0.0339,0.0474,0.052,0.0143,0.0112,0.1375,0.2075
CSGCN,13,14.939400732517242,0.28899407386779785,0.0258,0.0329,0.0553,0.0258,0.0344,0.0469,0.0524,0.0133,0.0114,0.127,0.21
CSGCN,14,14.871408462524414,0.2867772579193115,0.0249,0.0315,0.0538,0.0249,0.0336,0.0455,0.0514,0.0126,0.0112,0.119,0.205
CSGCN,15,14.79763525724411,0.28821897506713867,0.0244,0.0311,0.0533,0.0244,0.033,0.0449,0.0504,0.0124,0.011,0.1185,0.2005
CSGCN,16,14.716959178447723,0.2866699695587158,0.0233,0.0299,0.052,0.0233,0.0318,0.0427,0.0479,0.012,0.0106,0.1145,0.1915
CSGCN,17,14.627411246299744,0.2875864505767822,0.0226,0.0294,0.051,0.0226,0.0307,0.0407,0.0456,0.0117,0.0102,0.1125,0.185
CSGCN,18,14.53424346446991,0.2891511917114258,0.0217,0.0282,0.0494,0.0217,0.0298,0.0396,0.0446,0.0112,0.01,0.107,0.1805
CSGCN,19,14.434021890163422,0.2874758243560791,0.022,0.0291,0.0485,0.022,0.0294,0.0396,0.0441,0.0111,0.0097,0.1075,0.175
CSGCN,20,14.324022769927979,0.29432249069213867,0.0218,0.0291,0.0478,0.0218,0.0289,0.039,0.0433,0.0112,0.0095,0.1075,0.173
CSGCN,21,14.212865948677063,0.3225593566894531,0.0222,0.0294,0.0464,0.0222,0.0287,0.0395,0.0437,0.0111,0.0093,0.1055,0.1685
CSGCN,22,14.096056342124939,0.2825319766998291,0.0212,0.0284,0.0448,0.0212,0.0276,0.0376,0.0416,0.0106,0.009,0.1015,0.1605
CSGCN,23,13.96960824728012,0.2831897735595703,0.0209,0.0284,0.0433,0.0209,0.0268,0.0367,0.0405,0.0104,0.0087,0.0995,0.1565
