Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.936913669109344,0.4216022491455078,0.0018,0.0032,0.0058,0.0018,0.0027,0.0024,0.0031,0.0014,0.0012,0.014,0.0245
DiffNet,2,15.893311381340027,0.24384307861328125,0.0017,0.0026,0.0061,0.0017,0.0032,0.0025,0.0037,0.0013,0.0014,0.0125,0.029
DiffNet,3,15.847003161907196,0.23838329315185547,0.0018,0.0028,0.0052,0.0018,0.0029,0.0028,0.0038,0.0012,0.0013,0.012,0.027
DiffNet,4,15.782230019569397,0.2418990135192871,0.0019,0.0023,0.0047,0.0019,0.0029,0.0038,0.0048,0.0011,0.0012,0.0105,0.023
DiffNet,5,15.690886735916138,0.2387387752532959,0.0019,0.0025,0.005,0.0019,0.0028,0.0038,0.0044,0.0013,0.0011,0.0125,0.021
DiffNet,6,15.564508080482483,0.2376091480255127,0.0021,0.003,0.0051,0.0021,0.003,0.004,0.0047,0.0013,0.0011,0.0125,0.0225
DiffNet,7,15.393803596496582,0.23858428001403809,0.0021,0.0028,0.0051,0.0021,0.003,0.0041,0.0048,0.0012,0.0011,0.0115,0.0225
DiffNet,8,15.176078259944916,0.2383713722229004,0.002,0.0027,0.0051,0.002,0.003,0.0036,0.0044,0.0012,0.0012,0.0115,0.0245
DiffNet,9,14.907102227210999,0.23647546768188477,0.0018,0.0023,0.0049,0.0018,0.0029,0.0036,0.0045,0.001,0.0012,0.01,0.0235
DiffNet,10,14.581716299057007,0.23618650436401367,0.0014,0.002,0.0055,0.0014,0.0029,0.0025,0.0037,0.0009,0.0014,0.009,0.027
DiffNet,11,14.214746654033661,0.25362157821655273,0.0013,0.0017,0.0051,0.0013,0.0027,0.0024,0.0036,0.0008,0.0013,0.008,0.0265
DiffNet,12,13.811239123344421,0.24122214317321777,0.0014,0.0018,0.0058,0.0014,0.0029,0.0027,0.0038,0.001,0.0013,0.009,0.025
DiffNet,13,13.385804414749146,0.250321626663208,0.0016,0.002,0.0056,0.0016,0.003,0.003,0.0041,0.001,0.0013,0.0095,0.025
DiffNet,14,12.932914435863495,0.24307990074157715,0.0018,0.0023,0.0053,0.0018,0.0031,0.0036,0.0047,0.001,0.0013,0.0095,0.026
DiffNet,15,12.490426421165466,0.24233198165893555,0.0015,0.0019,0.0056,0.0015,0.003,0.003,0.0041,0.001,0.0013,0.0095,0.026
DiffNet,16,12.03068220615387,0.24153375625610352,0.0014,0.0018,0.0053,0.0014,0.0028,0.0028,0.0038,0.0009,0.0012,0.0085,0.024
DiffNet,17,11.580375969409943,0.24353694915771484,0.0015,0.0022,0.0057,0.0015,0.0029,0.0028,0.0038,0.001,0.0012,0.0095,0.024
DiffNet,18,11.143145620822906,0.24256682395935059,0.0016,0.0023,0.0065,0.0016,0.0031,0.003,0.004,0.0011,0.0013,0.0105,0.026
