Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.24324631690979,0.4318656921386719,0.0025,0.0033,0.0059,0.0025,0.0035,0.0048,0.0056,0.0016,0.0014,0.015,0.027
DiffNet,2,15.206287324428558,0.24260735511779785,0.0026,0.0038,0.0062,0.0026,0.0035,0.0042,0.005,0.0016,0.0014,0.016,0.029
DiffNet,3,15.166073083877563,0.2422800064086914,0.0019,0.0027,0.0054,0.0019,0.0029,0.0033,0.0039,0.0013,0.0012,0.013,0.023
DiffNet,4,15.112039864063263,0.24773621559143066,0.0019,0.0033,0.0065,0.0019,0.0031,0.0026,0.0035,0.0015,0.0014,0.0145,0.0275
DiffNet,5,15.037177383899689,0.2564678192138672,0.0023,0.0038,0.0067,0.0023,0.0035,0.0033,0.0042,0.0015,0.0014,0.015,0.029
DiffNet,6,14.933003187179565,0.24600696563720703,0.0027,0.004,0.0073,0.0027,0.0039,0.0039,0.0049,0.0016,0.0016,0.016,0.0315
DiffNet,7,14.7921302318573,0.24119853973388672,0.0029,0.0041,0.0079,0.0029,0.0044,0.0045,0.0056,0.0017,0.0016,0.0165,0.033
DiffNet,8,14.613327085971832,0.23847341537475586,0.0029,0.0042,0.0078,0.0029,0.0044,0.0045,0.0057,0.0018,0.0017,0.0175,0.034
DiffNet,9,14.388479709625244,0.23839783668518066,0.0033,0.0048,0.0083,0.0033,0.0046,0.0051,0.0062,0.0021,0.0018,0.0205,0.036
DiffNet,10,14.124004125595093,0.23807716369628906,0.0032,0.005,0.0083,0.0032,0.0045,0.0051,0.0062,0.0021,0.0018,0.0205,0.036
DiffNet,11,13.811032235622406,0.23642754554748535,0.0034,0.0049,0.0075,0.0034,0.0044,0.0056,0.0065,0.0022,0.0018,0.0215,0.0355
DiffNet,12,13.479242026805878,0.24016165733337402,0.0035,0.0048,0.0081,0.0035,0.0047,0.006,0.007,0.0021,0.0018,0.021,0.0355
DiffNet,13,13.112301409244537,0.24965357780456543,0.0034,0.0046,0.0078,0.0034,0.0047,0.0059,0.0071,0.0019,0.0017,0.019,0.035
DiffNet,14,12.728889882564545,0.24060964584350586,0.0034,0.0048,0.0083,0.0034,0.0048,0.006,0.007,0.0021,0.0018,0.0205,0.0365
DiffNet,15,12.348387837409973,0.2432880401611328,0.0033,0.0046,0.008,0.0033,0.0047,0.006,0.0071,0.0019,0.0018,0.019,0.0355
DiffNet,16,11.945316970348358,0.24106931686401367,0.0037,0.0051,0.0076,0.0037,0.0046,0.0061,0.0069,0.0021,0.0017,0.021,0.034
DiffNet,17,11.545381486415863,0.24140477180480957,0.0034,0.0048,0.0074,0.0034,0.0045,0.0059,0.0067,0.002,0.0016,0.02,0.033
DiffNet,18,11.133980810642242,0.24021244049072266,0.0037,0.0051,0.0077,0.0037,0.0047,0.0059,0.0068,0.0022,0.0017,0.021,0.034
DiffNet,19,10.719628542661667,0.3651254177093506,0.0037,0.0053,0.0079,0.0037,0.0048,0.0055,0.0065,0.0021,0.0018,0.0205,0.035
DiffNet,20,10.339761167764664,0.24046111106872559,0.0037,0.0052,0.0078,0.0037,0.0048,0.0057,0.0066,0.0022,0.0018,0.0215,0.0345
DiffNet,21,9.961724877357483,0.24354219436645508,0.0034,0.0047,0.0084,0.0034,0.005,0.0052,0.0064,0.0019,0.0019,0.019,0.0365
DiffNet,22,9.581689924001694,0.2395493984222412,0.0037,0.0053,0.0085,0.0037,0.005,0.0057,0.0068,0.0022,0.0019,0.022,0.037
DiffNet,23,9.220771938562393,0.24196147918701172,0.0035,0.0049,0.0084,0.0035,0.0049,0.0056,0.0067,0.0021,0.0018,0.021,0.036
DiffNet,24,8.859769970178604,0.2408885955810547,0.0036,0.0051,0.0084,0.0036,0.0049,0.0056,0.0067,0.002,0.0018,0.02,0.0365
DiffNet,25,8.541394621133804,0.23984241485595703,0.0035,0.0052,0.0083,0.0035,0.0048,0.0053,0.0064,0.0021,0.0018,0.0205,0.036
DiffNet,26,8.22735670208931,0.23865413665771484,0.0034,0.005,0.0085,0.0034,0.0048,0.0052,0.0063,0.002,0.0018,0.02,0.036
DiffNet,27,7.920997232198715,0.24918913841247559,0.0035,0.0052,0.0087,0.0035,0.0049,0.0052,0.0063,0.002,0.0019,0.02,0.0375
DiffNet,28,7.637657642364502,0.24541020393371582,0.0034,0.0049,0.0082,0.0034,0.0048,0.0051,0.0064,0.0019,0.0019,0.0185,0.037
DiffNet,29,7.362402021884918,0.24373650550842285,0.0033,0.0048,0.008,0.0033,0.0047,0.005,0.0063,0.0018,0.0018,0.018,0.0355
DiffNet,30,7.091507732868195,0.2392864227294922,0.0035,0.0048,0.0084,0.0035,0.005,0.0052,0.0065,0.0019,0.0018,0.0185,0.0365
DiffNet,31,6.8469827473163605,0.23511648178100586,0.0035,0.0048,0.0084,0.0035,0.005,0.0053,0.0064,0.0019,0.0018,0.0185,0.036
DiffNet,32,6.622337728738785,0.23620247840881348,0.0033,0.0043,0.0082,0.0033,0.0049,0.0053,0.0066,0.0017,0.0018,0.017,0.036
DiffNet,33,6.407395958900452,0.23534798622131348,0.0034,0.0045,0.0082,0.0034,0.0049,0.0053,0.0066,0.0018,0.0018,0.0175,0.036
