Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,132683.1005859375,0.49251818656921387,0.0403,0.0569,0.089,0.0403,0.0517,0.0614,0.0673,0.0175,0.0141,0.1645,0.2505
SimGCL,2,114521.80187988281,0.3014869689941406,0.0604,0.0831,0.1224,0.0604,0.0743,0.0897,0.0967,0.0244,0.0189,0.223,0.329
SimGCL,3,110495.86022949219,0.29278993606567383,0.0782,0.1056,0.1511,0.0782,0.0944,0.1164,0.1239,0.031,0.0231,0.2805,0.3905
SimGCL,4,107728.8755493164,0.2891249656677246,0.0968,0.1284,0.1809,0.0968,0.1153,0.1434,0.1514,0.0373,0.0272,0.3325,0.451
SimGCL,5,105529.287109375,0.2910490036010742,0.1121,0.1473,0.2102,0.1121,0.1343,0.1646,0.1741,0.0423,0.0314,0.37,0.511
SimGCL,6,103988.19873046875,0.3979208469390869,0.1282,0.1685,0.232,0.1282,0.1508,0.1851,0.1946,0.0478,0.0347,0.41,0.5495
SimGCL,7,102608.49584960938,0.28945302963256836,0.1412,0.1848,0.2497,0.1412,0.1647,0.2018,0.2114,0.052,0.0374,0.442,0.5815
SimGCL,8,101310.94958496094,0.28972339630126953,0.1528,0.1989,0.2697,0.1528,0.1784,0.2179,0.2276,0.0557,0.0404,0.471,0.6145
SimGCL,9,99976.29217529297,0.2916676998138428,0.1628,0.211,0.283,0.1628,0.1889,0.2315,0.241,0.0593,0.0422,0.497,0.636
SimGCL,10,99080.16217041016,0.2890810966491699,0.1733,0.2233,0.297,0.1733,0.1997,0.245,0.2544,0.063,0.044,0.517,0.654
SimGCL,11,98386.11334228516,0.28952550888061523,0.1823,0.2332,0.3092,0.1823,0.2094,0.2573,0.2665,0.066,0.0457,0.5385,0.674
SimGCL,12,97310.9150390625,0.2872493267059326,0.1895,0.2428,0.3179,0.1895,0.2163,0.2655,0.2747,0.0689,0.047,0.552,0.6855
SimGCL,13,96668.50482177734,0.29708433151245117,0.1967,0.2494,0.3276,0.1967,0.2249,0.2765,0.2859,0.0707,0.0487,0.5645,0.6995
SimGCL,14,96076.18395996094,0.28936028480529785,0.2046,0.2583,0.3364,0.2046,0.2328,0.2867,0.2957,0.0732,0.05,0.5815,0.7115
SimGCL,15,95414.36901855469,0.28838229179382324,0.2111,0.266,0.3455,0.2111,0.2399,0.2955,0.3047,0.0753,0.0515,0.593,0.7265
