Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,4.159548103809357,0.20093774795532227,0.0019,0.0031,0.0066,0.0019,0.0031,0.0028,0.0035,0.0016,0.0014,0.016,0.028
BPR,2,4.147706985473633,0.05570173263549805,0.0013,0.0021,0.0088,0.0013,0.0035,0.002,0.0034,0.0012,0.0017,0.012,0.034
BPR,3,4.137727200984955,0.04991912841796875,0.0017,0.003,0.008,0.0017,0.0033,0.0022,0.0032,0.0016,0.0016,0.016,0.032
BPR,4,4.128118515014648,0.0497889518737793,0.0014,0.0019,0.0069,0.0014,0.0031,0.0021,0.0033,0.0012,0.0015,0.012,0.03
BPR,5,4.117845356464386,0.05021357536315918,0.0018,0.0032,0.0068,0.0018,0.0032,0.0024,0.0034,0.0014,0.0014,0.014,0.028
BPR,6,4.107244074344635,0.050122976303100586,0.0018,0.0025,0.0076,0.0018,0.0036,0.003,0.0042,0.0014,0.0016,0.014,0.032
BPR,7,4.096383571624756,0.04965782165527344,0.0022,0.0025,0.0081,0.0022,0.0042,0.0041,0.0054,0.0014,0.0018,0.014,0.036
BPR,8,4.084071338176727,0.04936099052429199,0.002,0.0022,0.0065,0.002,0.0036,0.0037,0.0049,0.0012,0.0015,0.012,0.03
BPR,9,4.070712745189667,0.04982495307922363,0.0018,0.0022,0.0075,0.0018,0.0036,0.0034,0.0045,0.0012,0.0016,0.012,0.032
BPR,10,4.05598658323288,0.04973626136779785,0.0022,0.0029,0.0058,0.0022,0.0033,0.0044,0.0051,0.0014,0.0013,0.014,0.026
BPR,11,4.039438009262085,0.04928708076477051,0.0018,0.0025,0.0058,0.0018,0.0031,0.0036,0.0045,0.0012,0.0013,0.012,0.026
BPR,12,4.022321939468384,0.049713134765625,0.0013,0.0016,0.0068,0.0013,0.0033,0.0029,0.0044,0.0006,0.0014,0.006,0.028
BPR,13,4.003531038761139,0.05572986602783203,0.0013,0.0016,0.0072,0.0013,0.0034,0.003,0.0043,0.0006,0.0013,0.006,0.026
BPR,14,3.982910454273224,0.05007433891296387,0.0014,0.0018,0.0062,0.0014,0.003,0.003,0.004,0.0008,0.0011,0.008,0.022
BPR,15,3.9588903188705444,0.049925804138183594,0.0015,0.0018,0.0057,0.0015,0.0028,0.0032,0.0039,0.0008,0.001,0.008,0.02
BPR,16,3.935858368873596,0.049814701080322266,0.0014,0.0018,0.0057,0.0014,0.0027,0.003,0.0037,0.0008,0.001,0.008,0.02
BPR,17,3.9095430970191956,0.05024075508117676,0.0012,0.0016,0.0046,0.0012,0.0024,0.0027,0.0036,0.0006,0.001,0.006,0.02
BPR,18,3.880500018596649,0.04989957809448242,0.0012,0.0016,0.0046,0.0012,0.0025,0.0027,0.0037,0.0006,0.001,0.006,0.02
BPR,19,3.850731670856476,0.05052971839904785,0.0012,0.0016,0.0054,0.0012,0.0028,0.0027,0.004,0.0006,0.0012,0.006,0.024
BPR,20,3.817793130874634,0.05597877502441406,0.001,0.0016,0.0054,0.001,0.0025,0.0014,0.0026,0.0006,0.0012,0.006,0.024
BPR,21,3.7835923433303833,0.05032181739807129,0.0009,0.0016,0.005,0.0009,0.0023,0.0013,0.0024,0.0006,0.001,0.006,0.02
