Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,4.1547911167144775,0.25494885444641113,0.1692,0.188,0.2447,0.1692,0.1905,0.281,0.2903,0.0648,0.044,0.51,0.648
LightGCN,2,4.1527857184410095,0.06470537185668945,0.1868,0.2049,0.2695,0.1868,0.2112,0.3151,0.3248,0.0732,0.0504,0.564,0.706
LightGCN,3,4.150622010231018,0.1385941505432129,0.2019,0.2169,0.2866,0.2019,0.2286,0.3476,0.3566,0.0786,0.0542,0.608,0.732
LightGCN,4,4.147912919521332,0.06046032905578613,0.2171,0.2334,0.3037,0.2171,0.244,0.3732,0.3821,0.0864,0.0586,0.644,0.768
LightGCN,5,4.144896924495697,0.06046628952026367,0.232,0.2505,0.3263,0.232,0.261,0.3931,0.4031,0.0938,0.0635,0.676,0.816
LightGCN,6,4.141229093074799,0.0637965202331543,0.2419,0.263,0.3408,0.2419,0.2713,0.4076,0.4167,0.1012,0.0675,0.718,0.846
LightGCN,7,4.137019038200378,0.060030221939086914,0.2539,0.2789,0.3518,0.2539,0.2812,0.4235,0.4303,0.1082,0.0702,0.746,0.844
LightGCN,8,4.132124900817871,0.06026601791381836,0.262,0.2853,0.3584,0.262,0.2895,0.4384,0.4458,0.1122,0.0729,0.748,0.858
LightGCN,9,4.1263620257377625,0.06465435028076172,0.264,0.2855,0.3659,0.264,0.2949,0.443,0.4509,0.1128,0.0753,0.754,0.868
LightGCN,10,4.1197673082351685,0.05929684638977051,0.2684,0.2907,0.3715,0.2684,0.2994,0.4449,0.4529,0.1156,0.0769,0.758,0.868
LightGCN,11,4.11208975315094,0.060305118560791016,0.2728,0.2914,0.373,0.2728,0.3041,0.455,0.4616,0.1176,0.0782,0.776,0.868
LightGCN,12,4.103767156600952,0.05982089042663574,0.2758,0.2959,0.3753,0.2758,0.3063,0.4572,0.4639,0.1204,0.0797,0.778,0.868
LightGCN,13,4.094242095947266,0.059522151947021484,0.2794,0.3004,0.3757,0.2794,0.308,0.4611,0.4671,0.1232,0.0801,0.788,0.868
LightGCN,14,4.084041357040405,0.059729576110839844,0.2798,0.3003,0.3741,0.2798,0.3079,0.4602,0.4666,0.1236,0.0801,0.784,0.872
LightGCN,15,4.072209537029266,0.06061553955078125,0.2797,0.3017,0.3777,0.2797,0.3084,0.4601,0.4661,0.1244,0.0807,0.79,0.872
LightGCN,16,4.059154570102692,0.06010556221008301,0.2777,0.3002,0.3739,0.2777,0.3059,0.456,0.4614,0.1238,0.0804,0.792,0.866
LightGCN,17,4.045284152030945,0.0606684684753418,0.2753,0.297,0.3827,0.2753,0.3077,0.4538,0.4606,0.1228,0.0821,0.774,0.866
LightGCN,18,4.0306015610694885,0.06087827682495117,0.2757,0.298,0.384,0.2757,0.308,0.4563,0.4632,0.1234,0.0821,0.776,0.874
LightGCN,19,4.013843417167664,0.06772971153259277,0.2756,0.3004,0.3855,0.2756,0.307,0.453,0.4597,0.1248,0.0822,0.778,0.876
LightGCN,20,3.99692040681839,0.059862613677978516,0.2754,0.3008,0.3782,0.2754,0.3048,0.4549,0.461,0.1242,0.0816,0.78,0.868
LightGCN,21,3.9774868488311768,0.06574130058288574,0.273,0.2984,0.3787,0.273,0.3032,0.4515,0.4582,0.1236,0.0811,0.774,0.868
LightGCN,22,3.957356631755829,0.06534481048583984,0.2711,0.296,0.3769,0.2711,0.3013,0.4491,0.4561,0.123,0.0805,0.768,0.864
LightGCN,23,3.9367740154266357,0.05982685089111328,0.2686,0.2955,0.3725,0.2686,0.2975,0.442,0.4488,0.1224,0.0795,0.766,0.858
LightGCN,24,3.913527011871338,0.05922508239746094,0.2659,0.294,0.3691,0.2659,0.2941,0.4385,0.4444,0.1214,0.0789,0.77,0.85
LightGCN,25,3.8900340795516968,0.06558036804199219,0.2628,0.2894,0.3671,0.2628,0.2918,0.4369,0.4433,0.1196,0.078,0.764,0.85
