Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.333893477916718,0.516953706741333,0.0103,0.0144,0.0234,0.0103,0.0136,0.0165,0.0188,0.0056,0.0045,0.054,0.0865
ASLGCN,2,15.328367412090302,0.30919909477233887,0.0133,0.0174,0.0283,0.0133,0.0174,0.0229,0.0255,0.0068,0.0056,0.0655,0.104
ASLGCN,3,15.321587920188904,0.28728604316711426,0.0159,0.0206,0.0344,0.0159,0.0211,0.0264,0.03,0.0075,0.0066,0.073,0.126
ASLGCN,4,15.312340915203094,0.3014082908630371,0.0181,0.023,0.0412,0.0181,0.0248,0.0303,0.0348,0.0085,0.0079,0.0815,0.1475
ASLGCN,5,15.299619913101196,0.3038170337677002,0.0215,0.028,0.0467,0.0215,0.0285,0.0364,0.0409,0.0103,0.0088,0.099,0.164
ASLGCN,6,15.282411694526672,0.286632776260376,0.0245,0.0314,0.0514,0.0245,0.0317,0.0421,0.0465,0.0118,0.0096,0.1125,0.177
ASLGCN,7,15.25972306728363,0.3051767349243164,0.0259,0.0333,0.0528,0.0259,0.033,0.0439,0.0484,0.0122,0.0099,0.115,0.1825
ASLGCN,8,15.230724334716797,0.29657793045043945,0.0267,0.0342,0.0549,0.0267,0.0344,0.0464,0.051,0.0124,0.0103,0.1175,0.187
ASLGCN,9,15.1944659948349,0.2880594730377197,0.027,0.034,0.0557,0.027,0.0349,0.0478,0.0527,0.0124,0.0104,0.118,0.189
ASLGCN,10,15.151025652885437,0.3073568344116211,0.0265,0.0347,0.0551,0.0265,0.0341,0.0463,0.051,0.0127,0.0106,0.1215,0.19
ASLGCN,11,15.098532378673553,0.2920846939086914,0.0262,0.0334,0.0529,0.0262,0.0336,0.0466,0.0514,0.0124,0.0103,0.118,0.188
ASLGCN,12,15.037673950195312,0.2845625877380371,0.0258,0.0333,0.0524,0.0258,0.0328,0.0462,0.0506,0.0124,0.01,0.1185,0.1815
ASLGCN,13,14.96864640712738,0.30560302734375,0.0255,0.0328,0.0512,0.0255,0.0322,0.0449,0.0491,0.0123,0.0097,0.116,0.177
ASLGCN,14,14.891941010951996,0.2961568832397461,0.0251,0.0323,0.0514,0.0251,0.0322,0.0437,0.0482,0.012,0.0098,0.1125,0.178
ASLGCN,15,14.803075850009918,0.2842679023742676,0.0248,0.0329,0.0503,0.0248,0.0314,0.0426,0.0469,0.0118,0.0097,0.1125,0.1755
ASLGCN,16,14.710987746715546,0.30372047424316406,0.0252,0.0324,0.0491,0.0252,0.0315,0.0439,0.0479,0.0118,0.0096,0.113,0.1725
ASLGCN,17,14.609208226203918,0.3023676872253418,0.0247,0.0317,0.0503,0.0247,0.0315,0.0435,0.0477,0.0116,0.0096,0.1115,0.174
ASLGCN,18,14.49840223789215,0.2850027084350586,0.0243,0.0315,0.0489,0.0243,0.0307,0.0429,0.0469,0.0115,0.0093,0.111,0.17
ASLGCN,19,14.381515800952911,0.29719042778015137,0.0244,0.0325,0.0492,0.0244,0.0306,0.0425,0.0466,0.0115,0.0094,0.1105,0.172
ASLGCN,20,14.253526151180267,0.30620265007019043,0.0234,0.031,0.0478,0.0234,0.0296,0.0412,0.0452,0.0111,0.0091,0.108,0.168
