Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,30.498817265033722,0.530503511428833,0.0022,0.0017,0.0038,0.0022,0.0031,0.0064,0.0077,0.002,0.0021,0.0195,0.0405
BPR,2,30.441960513591766,0.3925313949584961,0.0023,0.0022,0.0042,0.0023,0.0031,0.0053,0.0068,0.0024,0.0023,0.024,0.0465
BPR,3,30.377766132354736,0.40285778045654297,0.0023,0.0023,0.0041,0.0023,0.003,0.0049,0.0061,0.0026,0.0022,0.025,0.0425
BPR,4,30.286351561546326,0.37111926078796387,0.0019,0.0017,0.0038,0.0019,0.0027,0.0046,0.006,0.0019,0.002,0.0185,0.039
BPR,5,30.156346321105957,0.41127824783325195,0.002,0.0017,0.0037,0.002,0.0028,0.0053,0.0066,0.0019,0.0019,0.018,0.038
BPR,6,29.97802096605301,0.3725566864013672,0.0019,0.0018,0.0039,0.0019,0.0028,0.0047,0.0061,0.0019,0.002,0.018,0.038
BPR,7,29.735248684883118,0.41362547874450684,0.0023,0.0023,0.0041,0.0023,0.003,0.0056,0.0068,0.0023,0.0021,0.023,0.0405
BPR,8,29.42122483253479,0.3860628604888916,0.0026,0.0022,0.0041,0.0026,0.0033,0.0076,0.0088,0.0023,0.0021,0.0235,0.042
BPR,9,29.037553429603577,0.381833553314209,0.0028,0.0022,0.0041,0.0028,0.0035,0.0083,0.0096,0.0022,0.0021,0.0225,0.042
BPR,10,28.581479132175446,0.40871357917785645,0.0027,0.0023,0.0038,0.0027,0.0032,0.0075,0.0087,0.0023,0.0021,0.0235,0.0415
BPR,11,28.065130472183228,0.3653895854949951,0.0027,0.0022,0.0038,0.0027,0.0032,0.0075,0.0086,0.0023,0.002,0.023,0.04
BPR,12,27.5007261633873,0.4088723659515381,0.0025,0.0022,0.0036,0.0025,0.0031,0.0066,0.0078,0.0022,0.002,0.0215,0.0395
BPR,13,26.86503714323044,0.3767225742340088,0.0026,0.0022,0.004,0.0026,0.0033,0.0071,0.0084,0.0022,0.0021,0.0225,0.0425
BPR,14,26.19442480802536,0.3986678123474121,0.0025,0.0023,0.0044,0.0025,0.0034,0.0065,0.008,0.0022,0.0023,0.0225,0.046
BPR,15,25.514249801635742,0.3902473449707031,0.0026,0.0023,0.0045,0.0026,0.0035,0.0069,0.0084,0.0023,0.0023,0.023,0.0455
BPR,16,24.815319418907166,0.3916752338409424,0.0028,0.0027,0.0047,0.0028,0.0035,0.0069,0.0082,0.0026,0.0023,0.0265,0.0465
BPR,17,24.10814130306244,0.4115149974822998,0.0027,0.0025,0.0046,0.0027,0.0036,0.0071,0.0085,0.0025,0.0023,0.025,0.046
BPR,18,23.390212178230286,0.3682825565338135,0.0027,0.0025,0.0049,0.0027,0.0037,0.0068,0.0084,0.0025,0.0025,0.0255,0.05
BPR,19,22.704943597316742,0.40947580337524414,0.0027,0.0024,0.0049,0.0027,0.0037,0.0071,0.0088,0.0025,0.0026,0.0255,0.0505
BPR,20,22.008183896541595,0.3767669200897217,0.0027,0.0025,0.0047,0.0027,0.0036,0.0069,0.0085,0.0026,0.0025,0.026,0.049
BPR,21,21.36435580253601,0.40219688415527344,0.0028,0.0026,0.0048,0.0028,0.0037,0.0069,0.0084,0.0026,0.0025,0.0265,0.0485
BPR,22,20.758512288331985,0.38603687286376953,0.0028,0.0026,0.0044,0.0028,0.0035,0.0071,0.0085,0.0027,0.0024,0.0275,0.048
BPR,23,20.130099087953568,0.38487935066223145,0.0029,0.0027,0.0045,0.0029,0.0036,0.0074,0.0086,0.0028,0.0024,0.0285,0.047
BPR,24,19.552744507789612,0.4093449115753174,0.0028,0.0025,0.0048,0.0028,0.0037,0.0068,0.0084,0.0027,0.0026,0.027,0.0495
BPR,25,18.963015139102936,0.37036991119384766,0.0027,0.0025,0.0046,0.0027,0.0036,0.0066,0.0081,0.0026,0.0025,0.026,0.048
BPR,26,18.430238783359528,0.4124424457550049,0.0027,0.0025,0.0048,0.0027,0.0037,0.0069,0.0086,0.0025,0.0026,0.0245,0.0495
BPR,27,17.92309120297432,0.3663501739501953,0.0028,0.0025,0.0047,0.0028,0.0038,0.0071,0.0089,0.0025,0.0026,0.025,0.051
BPR,28,17.438292771577835,0.41022348403930664,0.0026,0.0024,0.0048,0.0026,0.0037,0.0065,0.0083,0.0025,0.0026,0.025,0.051
BPR,29,17.018902122974396,0.3722996711730957,0.0029,0.0025,0.0048,0.0029,0.0038,0.0076,0.0092,0.0027,0.0026,0.027,0.05
BPR,30,16.58758094906807,0.39797401428222656,0.0028,0.0025,0.005,0.0028,0.0038,0.007,0.0088,0.0026,0.0027,0.026,0.0525
BPR,31,16.11260485649109,0.5130414962768555,0.0026,0.0023,0.0051,0.0026,0.0039,0.0068,0.0087,0.0024,0.0027,0.024,0.053
BPR,32,15.73384827375412,0.37172818183898926,0.0029,0.0026,0.0048,0.0029,0.0038,0.0074,0.0089,0.0027,0.0026,0.027,0.05
BPR,33,15.356247007846832,0.40897154808044434,0.0027,0.0024,0.0051,0.0027,0.0039,0.0072,0.009,0.0025,0.0027,0.0245,0.0525
