Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,1156399.0107421875,4.110530614852905,0.0355,0.0166,0.0285,0.0355,0.0352,0.0986,0.1091,0.0338,0.0298,0.2945,0.448
SimGCL,2,986879.2734375,3.8771300315856934,0.0508,0.0241,0.0411,0.0508,0.0505,0.1416,0.1544,0.0465,0.0408,0.376,0.5615
SimGCL,3,941371.9584960938,3.895611524581909,0.06,0.0285,0.048,0.06,0.0597,0.1684,0.183,0.0531,0.0467,0.411,0.62
SimGCL,4,909052.8955078125,3.8819241523742676,0.0674,0.0326,0.0528,0.0674,0.0656,0.1853,0.1987,0.0604,0.0507,0.4595,0.6505
SimGCL,5,885780.119140625,3.8908755779266357,0.0725,0.0355,0.0575,0.0725,0.0708,0.1982,0.2109,0.0646,0.0544,0.487,0.6685
SimGCL,6,869631.1176757812,3.890216827392578,0.0759,0.0374,0.0601,0.0759,0.0737,0.205,0.2179,0.0679,0.0563,0.5015,0.6875
SimGCL,7,853432.4868164062,3.896904230117798,0.0788,0.0388,0.0628,0.0788,0.0767,0.2113,0.2247,0.0703,0.0584,0.5125,0.707
SimGCL,8,843779.7890625,3.8732786178588867,0.0819,0.0404,0.0655,0.0819,0.0801,0.22,0.2335,0.0723,0.0608,0.5245,0.722
SimGCL,9,834319.09375,3.8796935081481934,0.084,0.0416,0.0668,0.084,0.082,0.2246,0.2383,0.0742,0.062,0.5315,0.7285
SimGCL,10,823985.22265625,3.8741259574890137,0.0859,0.0428,0.0685,0.0859,0.0837,0.2277,0.2416,0.0758,0.0631,0.533,0.7325
SimGCL,11,816389.640625,3.88385272026062,0.0887,0.0444,0.0704,0.0887,0.0861,0.2344,0.2484,0.0784,0.0648,0.5455,0.748
SimGCL,12,809417.013671875,3.8830018043518066,0.0909,0.0459,0.0719,0.0909,0.088,0.2384,0.2521,0.0804,0.0662,0.5525,0.7475
SimGCL,13,804180.626953125,3.888101100921631,0.0925,0.0467,0.0733,0.0925,0.0895,0.2418,0.2553,0.0818,0.0672,0.561,0.7545
SimGCL,14,798001.302734375,3.885629892349243,0.0939,0.0477,0.0752,0.0939,0.0914,0.2439,0.258,0.083,0.0687,0.5615,0.7645
SimGCL,15,793001.9321289062,3.8732376098632812,0.0964,0.0489,0.0762,0.0964,0.0929,0.2503,0.2634,0.0852,0.0693,0.574,0.764
SimGCL,16,788989.8452148438,3.8765323162078857,0.0981,0.0498,0.0771,0.0981,0.0944,0.2549,0.2678,0.0863,0.07,0.5775,0.7645
SimGCL,17,784827.7885742188,3.877002239227295,0.0998,0.0506,0.0789,0.0998,0.0965,0.2601,0.2731,0.0876,0.0717,0.5865,0.777
SimGCL,18,780960.1572265625,3.8770718574523926,0.1011,0.0515,0.0798,0.1011,0.0975,0.2624,0.275,0.0887,0.0724,0.5895,0.773
SimGCL,19,777341.8237304688,3.8781778812408447,0.1023,0.0521,0.0811,0.1023,0.0988,0.2637,0.2766,0.09,0.0733,0.591,0.778
SimGCL,20,774208.2973632812,3.8769288063049316,0.1039,0.0527,0.0818,0.1039,0.1,0.2679,0.2805,0.091,0.0736,0.5945,0.7765
SimGCL,21,771213.6069335938,3.8771352767944336,0.1058,0.0536,0.0832,0.1058,0.1018,0.2733,0.2858,0.0924,0.0748,0.601,0.784
SimGCL,22,767676.0278320312,3.8785908222198486,0.1071,0.0543,0.0843,0.1071,0.1031,0.276,0.2886,0.0932,0.0754,0.6025,0.7835
SimGCL,23,765821.1611328125,3.881059408187866,0.1085,0.0551,0.0855,0.1085,0.1044,0.2785,0.2905,0.0949,0.0765,0.6105,0.7845
SimGCL,24,763210.5703125,3.8785932064056396,0.1095,0.0557,0.0867,0.1095,0.1055,0.2812,0.2935,0.0955,0.0774,0.6115,0.79
SimGCL,25,760706.0532226562,3.8872320652008057,0.1112,0.0565,0.0874,0.1112,0.1067,0.2852,0.2971,0.0969,0.0779,0.6165,0.79
SimGCL,26,758867.9296875,3.8716306686401367,0.1119,0.0569,0.0881,0.1119,0.1075,0.2855,0.2977,0.0975,0.0784,0.6165,0.7915
SimGCL,27,756105.5493164062,3.877821922302246,0.1134,0.0581,0.0889,0.1134,0.1084,0.2878,0.2993,0.0992,0.0791,0.625,0.7935
SimGCL,28,753533.8486328125,3.869697332382202,0.1143,0.0582,0.0897,0.1143,0.1094,0.2896,0.3014,0.0997,0.0797,0.626,0.795
SimGCL,29,751694.029296875,3.881216526031494,0.1151,0.059,0.0906,0.1151,0.1101,0.2889,0.3001,0.1012,0.0805,0.633,0.797
SimGCL,30,749795.576171875,3.881793260574341,0.1162,0.0593,0.0916,0.1162,0.1115,0.2929,0.3047,0.1015,0.0812,0.631,0.8
SimGCL,31,747644.9365234375,3.891700506210327,0.1171,0.0598,0.0924,0.1171,0.1123,0.2946,0.3066,0.1021,0.0816,0.63,0.8
SimGCL,32,746030.974609375,3.8682727813720703,0.1179,0.0602,0.0929,0.1179,0.113,0.2959,0.3074,0.1028,0.082,0.637,0.8005
SimGCL,33,744573.416015625,3.880319595336914,0.119,0.0609,0.0937,0.119,0.1139,0.2981,0.3096,0.1038,0.0826,0.639,0.8015
SimGCL,34,743572.4487304688,3.8723948001861572,0.1199,0.0618,0.0944,0.1199,0.1146,0.2982,0.3099,0.105,0.0832,0.6385,0.8055
SimGCL,35,742620.9975585938,3.884441614151001,0.1212,0.0623,0.0955,0.1212,0.1158,0.3014,0.3125,0.1059,0.084,0.644,0.8005
SimGCL,36,740838.9267578125,3.88401460647583,0.1216,0.0625,0.096,0.1216,0.1163,0.3021,0.3131,0.1063,0.0844,0.647,0.8025
SimGCL,37,738135.6030273438,3.8696398735046387,0.1227,0.0632,0.0969,0.1227,0.1173,0.3037,0.3147,0.1076,0.0853,0.65,0.8055
SimGCL,38,736736.2509765625,3.8813891410827637,0.124,0.0636,0.0975,0.124,0.1181,0.3071,0.3178,0.1087,0.0856,0.6555,0.807
SimGCL,39,735904.9619140625,3.86423659324646,0.1243,0.0638,0.098,0.1243,0.1187,0.3076,0.3182,0.1089,0.0862,0.6595,0.8125
SimGCL,40,734396.216796875,3.8776683807373047,0.1251,0.0644,0.0987,0.1251,0.1196,0.3096,0.3205,0.1093,0.0867,0.658,0.8155
SimGCL,41,733622.3061523438,3.8642797470092773,0.1259,0.0649,0.0987,0.1259,0.1198,0.31,0.3205,0.1103,0.0866,0.662,0.812
SimGCL,42,731854.2685546875,3.879149913787842,0.1266,0.0654,0.0999,0.1266,0.1209,0.3119,0.3226,0.1107,0.0876,0.663,0.8175
SimGCL,43,730531.1166992188,3.8753321170806885,0.1275,0.066,0.1003,0.1275,0.1215,0.3131,0.3238,0.1117,0.088,0.6625,0.816
SimGCL,44,730251.0263671875,3.8762998580932617,0.1282,0.0662,0.1009,0.1282,0.1222,0.3149,0.3257,0.1122,0.0887,0.6645,0.819
SimGCL,45,729568.0278320312,3.874145030975342,0.1288,0.0663,0.1016,0.1288,0.1232,0.3167,0.3276,0.1123,0.0893,0.664,0.82
SimGCL,46,728273.0200195312,3.8906543254852295,0.1295,0.0669,0.1019,0.1295,0.1233,0.3169,0.3277,0.1134,0.0894,0.667,0.8205
SimGCL,47,727437.9262695312,3.862553119659424,0.1295,0.067,0.1022,0.1295,0.1236,0.317,0.3281,0.1133,0.0895,0.663,0.82
SimGCL,48,725287.8354492188,3.9172866344451904,0.1303,0.0674,0.1026,0.1303,0.1242,0.3183,0.3293,0.1141,0.0899,0.667,0.821
SimGCL,49,724806.2836914062,3.871337890625,0.1312,0.0679,0.1032,0.1312,0.1251,0.3204,0.3312,0.1148,0.0907,0.6705,0.8245
SimGCL,50,723819.0854492188,3.8980894088745117,0.1315,0.0681,0.1032,0.1315,0.1251,0.3205,0.3313,0.1152,0.0906,0.67,0.822
SimGCL,51,723119.375,3.8630733489990234,0.1323,0.0686,0.1037,0.1323,0.1256,0.3213,0.3324,0.1159,0.0907,0.6675,0.8225
SimGCL,52,722557.8969726562,3.881000280380249,0.1324,0.0685,0.1041,0.1324,0.1262,0.3215,0.3324,0.1159,0.0914,0.671,0.8255
SimGCL,53,721904.6918945312,3.878824234008789,0.1335,0.0693,0.1044,0.1335,0.1267,0.3242,0.3348,0.117,0.0916,0.6755,0.8255
SimGCL,54,720863.1806640625,3.8691585063934326,0.1335,0.0693,0.1049,0.1335,0.1271,0.3231,0.3339,0.117,0.0922,0.6745,0.8275
SimGCL,55,719994.2192382812,3.8875105381011963,0.134,0.0695,0.1052,0.134,0.1275,0.3246,0.3351,0.1175,0.0925,0.6765,0.8245
SimGCL,56,719989.8608398438,3.8847546577453613,0.1338,0.0696,0.1055,0.1338,0.1275,0.3234,0.3338,0.1173,0.0925,0.676,0.824
SimGCL,57,719113.8129882812,3.871283769607544,0.1349,0.0702,0.1057,0.1349,0.1279,0.3252,0.3351,0.1186,0.0927,0.683,0.825
SimGCL,58,717293.1650390625,3.905252456665039,0.1351,0.0702,0.1055,0.1351,0.128,0.3258,0.3359,0.1188,0.0927,0.6835,0.8285
SimGCL,59,717215.48046875,3.9073541164398193,0.1347,0.0699,0.106,0.1347,0.1284,0.3255,0.3358,0.1179,0.0931,0.6795,0.828
