Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.940056800842285,0.44097900390625,0.0111,0.0137,0.0212,0.0111,0.0139,0.0218,0.0238,0.0055,0.0043,0.0545,0.084
LightGCN,2,15.936544120311737,0.24499797821044922,0.0125,0.0151,0.027,0.0125,0.0167,0.0249,0.0276,0.0062,0.0054,0.0615,0.103
LightGCN,3,15.931743621826172,0.2610797882080078,0.0149,0.0211,0.034,0.0149,0.0197,0.0258,0.0293,0.008,0.0066,0.078,0.127
LightGCN,4,15.924498915672302,0.24961304664611816,0.0174,0.0235,0.0394,0.0174,0.0233,0.0305,0.0344,0.0089,0.0077,0.087,0.1445
LightGCN,5,15.913919270038605,0.24463319778442383,0.0204,0.0285,0.0451,0.0204,0.0267,0.0348,0.0392,0.0104,0.0088,0.101,0.167
LightGCN,6,15.898802399635315,0.2591872215270996,0.0219,0.029,0.0476,0.0219,0.0287,0.0393,0.044,0.0108,0.0092,0.105,0.1745
LightGCN,7,15.87864762544632,0.25203537940979004,0.0219,0.0284,0.0486,0.0219,0.0294,0.0396,0.0448,0.0111,0.0098,0.1075,0.185
LightGCN,8,15.852260887622833,0.24385404586791992,0.0227,0.0297,0.0496,0.0227,0.0304,0.0415,0.0468,0.0114,0.01,0.1115,0.1875
LightGCN,9,15.819035947322845,0.2612771987915039,0.0238,0.032,0.0519,0.0238,0.0314,0.0428,0.048,0.0123,0.0106,0.1215,0.198
LightGCN,10,15.778506875038147,0.2546830177307129,0.0229,0.03,0.0539,0.0229,0.0316,0.0414,0.0469,0.0119,0.0106,0.1165,0.1985
LightGCN,11,15.731118440628052,0.2432100772857666,0.0226,0.029,0.052,0.0226,0.031,0.0414,0.0466,0.0115,0.0102,0.1125,0.1895
LightGCN,12,15.675440013408661,0.2437899112701416,0.0224,0.0298,0.0501,0.0224,0.03,0.0402,0.0451,0.0116,0.01,0.1135,0.1865
LightGCN,13,15.612230002880096,0.26668357849121094,0.022,0.029,0.0482,0.022,0.0293,0.0394,0.0443,0.0113,0.0097,0.1105,0.1815
LightGCN,14,15.542043924331665,0.24976420402526855,0.0219,0.0297,0.0475,0.0219,0.0285,0.0378,0.0422,0.0117,0.0096,0.1145,0.1805
LightGCN,15,15.462058126926422,0.2397136688232422,0.022,0.0297,0.0471,0.022,0.0283,0.0383,0.0423,0.0117,0.0093,0.115,0.175
LightGCN,16,15.375048220157623,0.24785804748535156,0.0208,0.0283,0.0469,0.0208,0.0276,0.0361,0.0405,0.0113,0.0093,0.1105,0.174
LightGCN,17,15.284355819225311,0.2587087154388428,0.0204,0.0274,0.0474,0.0204,0.0277,0.0357,0.0405,0.0109,0.0093,0.106,0.1755
LightGCN,18,15.186297535896301,0.2461860179901123,0.0204,0.0276,0.0458,0.0204,0.0272,0.0354,0.0399,0.0111,0.0091,0.1075,0.173
LightGCN,19,15.077005803585052,0.2418050765991211,0.0203,0.0272,0.0461,0.0203,0.0272,0.0354,0.04,0.0108,0.0091,0.105,0.172
LightGCN,20,14.969662368297577,0.3799898624420166,0.0208,0.0283,0.0447,0.0208,0.027,0.0358,0.04,0.011,0.009,0.107,0.169
