Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,72.77850276231766,1.0319485664367676,0.006,0.0022,0.0044,0.006,0.0061,0.0177,0.0212,0.0058,0.0058,0.0555,0.1095
BPR,2,72.6342226266861,0.874657154083252,0.0053,0.002,0.004,0.0053,0.0054,0.0152,0.0183,0.0054,0.0052,0.0535,0.1
BPR,3,72.41353660821915,0.8910801410675049,0.0062,0.0025,0.0043,0.0062,0.0059,0.018,0.0209,0.0062,0.0054,0.0615,0.105
BPR,4,72.03755724430084,0.8733303546905518,0.0057,0.0021,0.0042,0.0057,0.0059,0.0172,0.0209,0.0053,0.0055,0.0525,0.1055
BPR,5,71.4369443655014,0.8727381229400635,0.0058,0.0022,0.0041,0.0058,0.0057,0.0166,0.0197,0.0057,0.0054,0.056,0.1005
BPR,6,70.58963650465012,0.8625314235687256,0.0059,0.0022,0.0043,0.0059,0.0059,0.0177,0.0209,0.0056,0.0053,0.055,0.103
BPR,7,69.5050710439682,0.8608779907226562,0.0057,0.0022,0.0041,0.0057,0.0055,0.0163,0.0193,0.0057,0.0053,0.057,0.1015
BPR,8,68.1931900382042,0.8628926277160645,0.0053,0.002,0.0041,0.0053,0.0055,0.0153,0.0187,0.0053,0.0053,0.0525,0.1015
BPR,9,66.74249696731567,0.8667192459106445,0.0051,0.0021,0.0042,0.0051,0.0056,0.0149,0.0186,0.0052,0.0056,0.052,0.108
BPR,10,65.2290216088295,0.8691024780273438,0.0052,0.0021,0.0041,0.0052,0.0056,0.0144,0.0178,0.0054,0.0056,0.0545,0.1065
BPR,11,63.62450844049454,0.8611502647399902,0.005,0.0021,0.0042,0.005,0.0055,0.0136,0.0172,0.0054,0.0056,0.054,0.107
BPR,12,62.05808728933334,0.8641858100891113,0.0051,0.002,0.004,0.0051,0.0053,0.0143,0.0175,0.0053,0.0053,0.0535,0.1025
BPR,13,60.49662363529205,0.8646962642669678,0.0051,0.002,0.0039,0.0051,0.0052,0.0139,0.017,0.0053,0.0051,0.053,0.0995
BPR,14,59.0629221200943,0.8639099597930908,0.0052,0.002,0.004,0.0052,0.0055,0.0147,0.0181,0.0053,0.0054,0.053,0.103
