Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,3.499272644519806,0.4428102970123291,0.3116,0.4316,0.5203,0.3116,0.3372,0.3045,0.3121,0.058,0.0363,0.5325,0.6425
MHCN,2,2.6806461811065674,0.24913907051086426,0.3442,0.475,0.5524,0.3442,0.3667,0.3381,0.3446,0.0653,0.0391,0.5905,0.683
MHCN,3,2.363992840051651,0.24879145622253418,0.3479,0.4727,0.5568,0.3479,0.3725,0.3481,0.3551,0.065,0.0397,0.589,0.688
MHCN,4,2.231451705098152,0.24859905242919922,0.3545,0.4847,0.5702,0.3545,0.3796,0.3547,0.3614,0.0672,0.0411,0.6065,0.7025
MHCN,5,2.0248900651931763,0.24599885940551758,0.356,0.4829,0.5675,0.356,0.3808,0.3579,0.3651,0.067,0.0408,0.6055,0.706
MHCN,6,1.9419920146465302,0.24583888053894043,0.3562,0.4851,0.5691,0.3562,0.3809,0.3577,0.3647,0.0674,0.0412,0.6115,0.7115
MHCN,7,1.8891947865486145,0.24683332443237305,0.3581,0.4906,0.5691,0.3581,0.3815,0.3588,0.3654,0.0683,0.0413,0.62,0.7135
MHCN,8,1.7672457545995712,0.24604368209838867,0.3598,0.4834,0.5705,0.3598,0.3852,0.3647,0.3717,0.0674,0.0414,0.614,0.7165
MHCN,9,1.709827110171318,0.2454836368560791,0.3563,0.4825,0.5591,0.3563,0.379,0.3606,0.3671,0.0673,0.0405,0.6105,0.702
MHCN,10,1.684989094734192,0.24566102027893066,0.3597,0.484,0.5645,0.3597,0.3834,0.366,0.3731,0.0679,0.041,0.6125,0.7135
MHCN,11,1.6627093255519867,0.24569201469421387,0.3542,0.4769,0.5639,0.3542,0.3795,0.3594,0.3667,0.0671,0.0411,0.6045,0.708
MHCN,12,1.6095983237028122,0.24584197998046875,0.3526,0.4756,0.5604,0.3526,0.3772,0.358,0.3646,0.0671,0.0407,0.606,0.7015
MHCN,13,1.5727189928293228,0.24553680419921875,0.3552,0.481,0.5649,0.3552,0.3794,0.3604,0.367,0.068,0.041,0.6105,0.7055
MHCN,14,1.5515390932559967,0.245086669921875,0.3512,0.4773,0.563,0.3512,0.3762,0.3561,0.3628,0.0672,0.041,0.6045,0.7015
MHCN,15,1.5114694088697433,0.24480414390563965,0.3483,0.4718,0.5619,0.3483,0.3743,0.3535,0.3603,0.0663,0.0409,0.6,0.702
MHCN,16,1.499998927116394,0.24458765983581543,0.348,0.4734,0.565,0.348,0.3747,0.3526,0.3598,0.0663,0.0412,0.5995,0.7035
MHCN,17,1.499679058790207,0.24513506889343262,0.3455,0.4681,0.5597,0.3455,0.372,0.3498,0.3572,0.0659,0.0408,0.595,0.702
MHCN,18,1.4761306196451187,0.2448594570159912,0.346,0.4685,0.5586,0.346,0.3721,0.3502,0.3573,0.066,0.0408,0.594,0.697
MHCN,19,1.4277210533618927,0.24465084075927734,0.3448,0.468,0.5554,0.3448,0.37,0.3493,0.356,0.066,0.0404,0.598,0.6945
