Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,3.52399742603302,0.488910436630249,0.3172,0.4361,0.5199,0.3172,0.3417,0.323,0.3299,0.0625,0.0386,0.571,0.6705
MHCN,2,2.750838875770569,0.26726245880126953,0.3242,0.4396,0.5312,0.3242,0.3511,0.335,0.343,0.0641,0.0403,0.5785,0.693
MHCN,3,2.3939581215381622,0.2542877197265625,0.3266,0.4488,0.5398,0.3266,0.3531,0.3374,0.3449,0.0667,0.0412,0.598,0.704
MHCN,4,2.1814328879117966,0.27976083755493164,0.3323,0.4552,0.54,0.3323,0.357,0.3465,0.3535,0.0679,0.0414,0.604,0.7045
MHCN,5,2.044588342308998,0.27532339096069336,0.3292,0.4507,0.5474,0.3292,0.3578,0.3442,0.3525,0.0672,0.0421,0.599,0.713
MHCN,6,1.916570246219635,0.252683162689209,0.3272,0.451,0.5388,0.3272,0.3533,0.3426,0.35,0.0674,0.0416,0.6025,0.706
MHCN,7,1.834098905324936,0.264451265335083,0.3312,0.4593,0.5438,0.3312,0.3565,0.3475,0.3543,0.0687,0.0422,0.61,0.706
MHCN,8,1.7606741935014725,0.2784390449523926,0.3291,0.459,0.5415,0.3291,0.3536,0.343,0.3495,0.0687,0.042,0.607,0.7015
MHCN,9,1.7083775252103806,0.2732093334197998,0.3287,0.4583,0.5461,0.3287,0.3547,0.3419,0.3485,0.0689,0.0425,0.608,0.704
MHCN,10,1.6521145552396774,0.252047061920166,0.3294,0.4572,0.5416,0.3294,0.3542,0.3432,0.3494,0.0691,0.0421,0.6115,0.7
MHCN,11,1.6198142021894455,0.2772486209869385,0.3275,0.4535,0.5412,0.3275,0.3535,0.3424,0.349,0.0685,0.0422,0.604,0.6965
MHCN,12,1.575187310576439,0.27964162826538086,0.332,0.4544,0.5516,0.332,0.3605,0.3485,0.3556,0.0683,0.0429,0.6045,0.707
MHCN,13,1.5367589890956879,0.2719900608062744,0.3267,0.4521,0.5456,0.3267,0.3544,0.342,0.349,0.0681,0.0425,0.605,0.7055
MHCN,14,1.5212405323982239,0.2635955810546875,0.3263,0.4506,0.5445,0.3263,0.3542,0.3418,0.349,0.0675,0.0423,0.6015,0.7035
MHCN,15,1.4945317506790161,0.2778797149658203,0.3268,0.4518,0.5393,0.3268,0.3528,0.3397,0.3463,0.068,0.0422,0.6025,0.698
