Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.94003701210022,0.4496915340423584,0.0092,0.0128,0.0218,0.0092,0.0127,0.0169,0.0195,0.0056,0.0048,0.056,0.0945
LightGCN,2,15.936473369598389,0.25415587425231934,0.0116,0.0153,0.0298,0.0116,0.017,0.0224,0.026,0.0069,0.0063,0.0685,0.1235
LightGCN,3,15.931664109230042,0.25388240814208984,0.0153,0.0204,0.037,0.0153,0.0214,0.0295,0.0336,0.0086,0.0076,0.084,0.145
LightGCN,4,15.924541592597961,0.25765442848205566,0.0184,0.0252,0.0424,0.0184,0.0249,0.0337,0.0382,0.0102,0.0086,0.0975,0.1635
LightGCN,5,15.91412627696991,0.25480008125305176,0.0221,0.0295,0.0453,0.0221,0.0282,0.0403,0.0447,0.0117,0.0094,0.112,0.175
LightGCN,6,15.899593770503998,0.25383925437927246,0.0238,0.0308,0.0505,0.0238,0.0312,0.0436,0.0484,0.0125,0.0102,0.119,0.1895
LightGCN,7,15.880045354366302,0.2551875114440918,0.0265,0.0335,0.053,0.0265,0.0338,0.0482,0.053,0.0131,0.0106,0.125,0.1955
LightGCN,8,15.854396641254425,0.25713181495666504,0.0275,0.0349,0.055,0.0275,0.0353,0.0492,0.0546,0.0135,0.0112,0.127,0.2075
LightGCN,9,15.82268500328064,0.25409674644470215,0.0273,0.0333,0.0553,0.0273,0.0359,0.0498,0.0558,0.013,0.0113,0.1235,0.2105
LightGCN,10,15.78383606672287,0.25467729568481445,0.0279,0.0343,0.0572,0.0279,0.0366,0.0511,0.0572,0.0135,0.0117,0.1275,0.219
LightGCN,11,15.737695157527924,0.2574326992034912,0.0266,0.0333,0.0565,0.0266,0.0354,0.0477,0.0539,0.013,0.0114,0.1235,0.215
LightGCN,12,15.685296177864075,0.2593257427215576,0.0253,0.0315,0.0545,0.0253,0.034,0.0449,0.0508,0.0125,0.0109,0.119,0.2045
LightGCN,13,15.62489140033722,0.25307559967041016,0.0257,0.0322,0.0538,0.0257,0.0338,0.0454,0.0508,0.0127,0.0107,0.121,0.201
LightGCN,14,15.554550647735596,0.2547414302825928,0.0257,0.032,0.0535,0.0257,0.0338,0.0453,0.0508,0.0126,0.0107,0.1185,0.199
LightGCN,15,15.480016469955444,0.264801025390625,0.0249,0.032,0.0528,0.0249,0.0327,0.0437,0.0489,0.0126,0.0105,0.1185,0.1945
LightGCN,16,15.398344874382019,0.2552764415740967,0.0244,0.0321,0.0518,0.0244,0.032,0.0425,0.0476,0.0123,0.0104,0.1155,0.19
LightGCN,17,15.307962656021118,0.25722765922546387,0.0245,0.0323,0.0525,0.0245,0.0322,0.0425,0.0476,0.0123,0.0104,0.1165,0.192
LightGCN,18,15.21286290884018,0.25567197799682617,0.0238,0.0308,0.0516,0.0238,0.0317,0.041,0.046,0.012,0.0103,0.114,0.189
LightGCN,19,15.110917806625366,0.2553119659423828,0.0237,0.0311,0.0506,0.0237,0.031,0.0408,0.0452,0.012,0.01,0.1155,0.1835
LightGCN,20,15.003025472164154,0.2542390823364258,0.0234,0.0307,0.0493,0.0234,0.0304,0.0401,0.0444,0.0119,0.0098,0.1135,0.1785
LightGCN,21,14.88713526725769,0.2549309730529785,0.0235,0.0305,0.0491,0.0235,0.0306,0.0408,0.0451,0.0119,0.0098,0.113,0.1775
