Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.936039388179779,0.4337131977081299,0.0026,0.0036,0.0063,0.0026,0.0035,0.0046,0.0053,0.0018,0.0014,0.0175,0.0275
DiffNet,2,15.896842777729034,0.2578747272491455,0.0028,0.0047,0.0061,0.0028,0.0033,0.0043,0.0048,0.0019,0.0013,0.019,0.0265
DiffNet,3,15.85569852590561,0.25502634048461914,0.0027,0.0041,0.0073,0.0027,0.0039,0.0049,0.0059,0.0017,0.0016,0.0165,0.032
DiffNet,4,15.79875248670578,0.2544064521789551,0.0033,0.0047,0.0077,0.0033,0.0045,0.0059,0.0068,0.002,0.0017,0.02,0.034
DiffNet,5,15.719593703746796,0.25675415992736816,0.0033,0.0046,0.009,0.0033,0.005,0.0059,0.0072,0.002,0.002,0.0195,0.0385
DiffNet,6,15.611150979995728,0.2544279098510742,0.0031,0.004,0.0075,0.0031,0.0044,0.0055,0.0065,0.002,0.0018,0.019,0.034
DiffNet,7,15.465495944023132,0.25246357917785645,0.0034,0.0042,0.0068,0.0034,0.0045,0.0065,0.0074,0.0021,0.0017,0.0205,0.0335
DiffNet,8,15.276006817817688,0.2543625831604004,0.0035,0.0043,0.0072,0.0035,0.0046,0.0066,0.0076,0.0021,0.0018,0.0205,0.036
DiffNet,9,15.039169490337372,0.2519841194152832,0.0032,0.0038,0.0071,0.0032,0.0044,0.0064,0.0075,0.0019,0.0018,0.0185,0.035
DiffNet,10,14.755746841430664,0.2533097267150879,0.0031,0.0041,0.0064,0.0031,0.0041,0.0055,0.0065,0.002,0.0018,0.02,0.035
DiffNet,11,14.44378274679184,0.25197267532348633,0.0028,0.0037,0.0062,0.0028,0.0038,0.0047,0.0057,0.0019,0.0017,0.018,0.0325
DiffNet,12,14.090199828147888,0.25343823432922363,0.0025,0.0034,0.0065,0.0025,0.0037,0.0043,0.0052,0.0016,0.0015,0.0155,0.03
DiffNet,13,13.714504778385162,0.2587742805480957,0.0024,0.0033,0.0069,0.0024,0.0037,0.0043,0.0054,0.0016,0.0016,0.016,0.032
DiffNet,14,13.33735966682434,0.25467967987060547,0.0026,0.0035,0.0058,0.0026,0.0036,0.0052,0.0061,0.0016,0.0014,0.016,0.0285
DiffNet,15,12.94842129945755,0.25215768814086914,0.0022,0.0029,0.0076,0.0022,0.004,0.0042,0.0056,0.0015,0.0018,0.015,0.0355
DiffNet,16,12.540592670440674,0.25261569023132324,0.0023,0.0028,0.007,0.0023,0.0039,0.0045,0.0058,0.0016,0.0016,0.0155,0.033
DiffNet,17,12.14817726612091,0.25212597846984863,0.0027,0.0039,0.0075,0.0027,0.0041,0.0049,0.0059,0.002,0.0017,0.0195,0.035
DiffNet,18,11.737634658813477,0.2518777847290039,0.0028,0.0041,0.0081,0.0028,0.0044,0.0049,0.0063,0.0019,0.0019,0.019,0.0385
DiffNet,19,11.331265985965729,0.251361608505249,0.0029,0.0043,0.0085,0.0029,0.0046,0.005,0.0065,0.002,0.0021,0.0195,0.042
