Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,11.03157252073288,0.7962296009063721,0.1614,0.1904,0.252,0.1614,0.1852,0.2557,0.2649,0.0656,0.0464,0.5165,0.65
MHCN,2,8.692454904317856,0.6187348365783691,0.1972,0.2233,0.2931,0.1972,0.2243,0.3227,0.332,0.0816,0.0561,0.6015,0.736
MHCN,3,7.18983781337738,0.6160924434661865,0.2032,0.2303,0.3054,0.2032,0.2323,0.3313,0.3404,0.0854,0.0594,0.6235,0.7545
MHCN,4,6.6464813351631165,0.5997426509857178,0.2065,0.2334,0.3122,0.2065,0.237,0.3401,0.3493,0.0875,0.061,0.631,0.762
MHCN,5,6.216926276683807,0.607154369354248,0.2047,0.2313,0.306,0.2047,0.234,0.3392,0.3486,0.0869,0.0604,0.6255,0.7605
MHCN,6,6.014523535966873,0.6179749965667725,0.2028,0.2285,0.3038,0.2028,0.2322,0.3395,0.3487,0.087,0.0605,0.622,0.7545
MHCN,7,5.7880458533763885,0.5988810062408447,0.2074,0.2318,0.3034,0.2074,0.2351,0.3478,0.3562,0.0899,0.0611,0.6435,0.7645
MHCN,8,5.58350582420826,0.613513708114624,0.1998,0.2239,0.3005,0.1998,0.2295,0.3323,0.3419,0.0869,0.0608,0.6255,0.7625
MHCN,9,5.441830784082413,0.6262743473052979,0.1982,0.223,0.2955,0.1982,0.2263,0.332,0.3406,0.087,0.0599,0.6225,0.746
MHCN,10,5.343160793185234,0.5972166061401367,0.2038,0.2263,0.3001,0.2038,0.2326,0.3467,0.3554,0.0885,0.0615,0.639,0.7675
MHCN,11,5.206007823348045,0.6125757694244385,0.2025,0.2232,0.2881,0.2025,0.2281,0.3447,0.3533,0.0879,0.0597,0.631,0.7525
MHCN,12,5.106553480029106,0.6106746196746826,0.1989,0.2183,0.2922,0.1989,0.2273,0.3386,0.3474,0.0857,0.0597,0.6255,0.7555
MHCN,13,5.033856108784676,0.5939130783081055,0.1995,0.2201,0.2867,0.1995,0.226,0.3395,0.3475,0.0859,0.0592,0.624,0.7385
MHCN,14,4.906760290265083,0.6153829097747803,0.1932,0.2173,0.2849,0.1932,0.2202,0.3248,0.3335,0.0836,0.0585,0.609,0.7345
MHCN,15,4.899261772632599,0.6097943782806396,0.1937,0.2167,0.2821,0.1937,0.2195,0.3263,0.3353,0.0848,0.0583,0.613,0.742
MHCN,16,4.771350413560867,0.6007633209228516,0.1945,0.2158,0.2828,0.1945,0.2205,0.3288,0.3373,0.0851,0.0583,0.62,0.7415
MHCN,17,4.758409097790718,0.6145541667938232,0.1921,0.2113,0.2789,0.1921,0.2188,0.3268,0.3357,0.0826,0.0575,0.6035,0.731
MHCN,18,4.670844003558159,0.599384069442749,0.1923,0.2144,0.2844,0.1923,0.2193,0.3284,0.3367,0.0849,0.0589,0.612,0.733
