Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,16.03087431192398,0.5122101306915283,0.0104,0.013,0.0222,0.0104,0.014,0.0204,0.023,0.0057,0.005,0.057,0.0955
ASLGCN,2,16.02496236562729,0.300870418548584,0.0133,0.0177,0.0289,0.0133,0.0176,0.0245,0.0276,0.0073,0.0062,0.0705,0.116
ASLGCN,3,16.017822802066803,0.29894161224365234,0.0167,0.0224,0.0369,0.0167,0.0223,0.0306,0.0345,0.0088,0.0076,0.086,0.143
ASLGCN,4,16.00807124376297,0.3002290725708008,0.0196,0.0269,0.0406,0.0196,0.0249,0.0343,0.0379,0.01,0.0081,0.0975,0.151
ASLGCN,5,15.99460369348526,0.2995569705963135,0.0206,0.0271,0.0428,0.0206,0.0265,0.0357,0.0396,0.0101,0.0083,0.0965,0.154
ASLGCN,6,15.976646065711975,0.2993733882904053,0.0204,0.0283,0.0444,0.0204,0.0267,0.0343,0.0386,0.01,0.0087,0.095,0.1595
ASLGCN,7,15.953110814094543,0.30568456649780273,0.0206,0.0292,0.048,0.0206,0.0276,0.0339,0.0383,0.0108,0.0092,0.1025,0.1665
ASLGCN,8,15.922895729541779,0.29871487617492676,0.0201,0.0273,0.047,0.0201,0.0274,0.0335,0.0381,0.0103,0.009,0.096,0.165
ASLGCN,9,15.885202407836914,0.2961087226867676,0.0197,0.0263,0.0432,0.0197,0.0261,0.0335,0.0378,0.0104,0.0086,0.096,0.158
ASLGCN,10,15.839297235012054,0.29474425315856934,0.0183,0.0252,0.0419,0.0183,0.0245,0.031,0.0353,0.01,0.0084,0.093,0.155
ASLGCN,11,15.78488951921463,0.2948734760284424,0.0164,0.0234,0.0383,0.0164,0.0221,0.0273,0.0312,0.0093,0.0079,0.0865,0.1435
ASLGCN,12,15.721301198005676,0.2966949939727783,0.0156,0.0222,0.036,0.0156,0.0208,0.0259,0.0294,0.0092,0.0076,0.087,0.1385
ASLGCN,13,15.650059044361115,0.2976105213165283,0.015,0.0205,0.0339,0.015,0.02,0.026,0.0292,0.0088,0.0072,0.0835,0.1315
ASLGCN,14,15.569366991519928,0.29611921310424805,0.0141,0.0199,0.0332,0.0141,0.0191,0.024,0.0275,0.0083,0.0071,0.078,0.13
ASLGCN,15,15.479627788066864,0.2957172393798828,0.0135,0.0184,0.0315,0.0135,0.0183,0.0236,0.0267,0.0079,0.0067,0.075,0.1225
ASLGCN,16,15.383362650871277,0.2960829734802246,0.0131,0.0185,0.0318,0.0131,0.0181,0.0226,0.026,0.0077,0.0067,0.0725,0.1245
ASLGCN,17,15.27527117729187,0.29749536514282227,0.0122,0.0171,0.0289,0.0122,0.0166,0.0213,0.0243,0.0072,0.0061,0.0685,0.113
ASLGCN,18,15.161830723285675,0.3003208637237549,0.0114,0.0161,0.0284,0.0114,0.0159,0.0194,0.0225,0.007,0.006,0.0655,0.1115
