Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.94008594751358,0.447706937789917,0.0108,0.0144,0.0259,0.0108,0.015,0.0185,0.0214,0.0054,0.005,0.0535,0.0965
LightGCN,2,15.936534106731415,0.2543494701385498,0.0128,0.0182,0.0287,0.0128,0.0169,0.021,0.0241,0.0067,0.0057,0.064,0.108
LightGCN,3,15.93174135684967,0.252748966217041,0.0144,0.0212,0.0347,0.0144,0.0196,0.024,0.0277,0.008,0.007,0.078,0.1325
LightGCN,4,15.924705743789673,0.25046253204345703,0.0174,0.0254,0.0387,0.0174,0.0226,0.0294,0.033,0.0099,0.0081,0.0955,0.1505
LightGCN,5,15.91432923078537,0.2573072910308838,0.0191,0.0259,0.0446,0.0191,0.0261,0.0337,0.0385,0.0104,0.0092,0.099,0.169
LightGCN,6,15.899512887001038,0.2545599937438965,0.0206,0.0274,0.0465,0.0206,0.0278,0.0374,0.0422,0.0114,0.0098,0.1075,0.179
LightGCN,7,15.87975412607193,0.2518329620361328,0.0203,0.0265,0.0453,0.0203,0.0276,0.0366,0.0416,0.0108,0.0096,0.102,0.174
LightGCN,8,15.853958368301392,0.25383758544921875,0.0203,0.0271,0.0454,0.0203,0.0273,0.0358,0.0403,0.011,0.0094,0.104,0.1725
LightGCN,9,15.821422815322876,0.25357580184936523,0.0195,0.027,0.042,0.0195,0.0254,0.0332,0.0374,0.0104,0.0087,0.0975,0.1605
LightGCN,10,15.780799269676208,0.25110507011413574,0.0182,0.0249,0.0411,0.0182,0.0245,0.0309,0.0353,0.0097,0.0085,0.0915,0.158
LightGCN,11,15.733616828918457,0.251692533493042,0.0177,0.024,0.0394,0.0177,0.0236,0.0298,0.0338,0.0093,0.0079,0.0885,0.147
LightGCN,12,15.677466750144958,0.2519538402557373,0.0171,0.0232,0.0359,0.0171,0.022,0.0285,0.0319,0.0089,0.0073,0.0845,0.1345
LightGCN,13,15.614782929420471,0.25925469398498535,0.0163,0.0217,0.0347,0.0163,0.0212,0.0268,0.0301,0.0084,0.0069,0.0805,0.1285
LightGCN,14,15.542210519313812,0.250960111618042,0.0159,0.0211,0.0352,0.0159,0.0213,0.0261,0.0298,0.0078,0.0069,0.0755,0.1305
LightGCN,15,15.462596118450165,0.25129008293151855,0.0157,0.0214,0.0348,0.0157,0.0207,0.0252,0.0288,0.0079,0.0068,0.0765,0.13
LightGCN,16,15.377658069133759,0.2524888515472412,0.0147,0.0205,0.0324,0.0147,0.0192,0.0237,0.0269,0.0077,0.0063,0.0745,0.1215
LightGCN,17,15.28517770767212,0.25086283683776855,0.0145,0.0197,0.0321,0.0145,0.0191,0.0241,0.0272,0.0074,0.0062,0.073,0.12
