Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.940014362335205,0.48989009857177734,0.0102,0.0141,0.0242,0.0102,0.014,0.0179,0.0205,0.0055,0.0049,0.0545,0.0935
CSGCN,2,15.936488389968872,0.31786489486694336,0.0137,0.0187,0.0331,0.0137,0.019,0.0248,0.0283,0.007,0.0063,0.068,0.119
CSGCN,3,15.93184381723404,0.299299955368042,0.0174,0.0243,0.0379,0.0174,0.0226,0.0302,0.0336,0.0089,0.0072,0.087,0.134
CSGCN,4,15.924832224845886,0.2914097309112549,0.0208,0.0284,0.0434,0.0208,0.0264,0.0351,0.0387,0.0101,0.008,0.0965,0.1505
CSGCN,5,15.914918780326843,0.31053614616394043,0.0233,0.031,0.0488,0.0233,0.0298,0.0404,0.0445,0.0108,0.0089,0.1045,0.1665
CSGCN,6,15.900989472866058,0.28595447540283203,0.0244,0.0328,0.051,0.0244,0.0311,0.0415,0.046,0.0114,0.0093,0.1095,0.1745
CSGCN,7,15.882280945777893,0.28555893898010254,0.0247,0.0329,0.0524,0.0247,0.0319,0.0419,0.0467,0.0117,0.0098,0.113,0.1815
CSGCN,8,15.85809201002121,0.30891871452331543,0.0257,0.0344,0.0526,0.0257,0.0327,0.0428,0.0476,0.012,0.0101,0.1165,0.1875
CSGCN,9,15.828060507774353,0.2883920669555664,0.026,0.0345,0.0539,0.026,0.0333,0.0436,0.0486,0.0122,0.0103,0.116,0.191
CSGCN,10,15.791692912578583,0.28864598274230957,0.0259,0.0342,0.0532,0.0259,0.033,0.0437,0.0485,0.0123,0.01,0.116,0.1865
CSGCN,11,15.748863458633423,0.2980794906616211,0.0256,0.0332,0.0523,0.0256,0.0327,0.0433,0.048,0.0124,0.01,0.117,0.1845
CSGCN,12,15.69744098186493,0.29593658447265625,0.0251,0.0321,0.0533,0.0251,0.0329,0.0431,0.0481,0.0118,0.0101,0.113,0.1835
CSGCN,13,15.641342163085938,0.2841942310333252,0.025,0.0318,0.0533,0.025,0.0329,0.0422,0.0471,0.0116,0.0101,0.112,0.1825
CSGCN,14,15.577158331871033,0.2823302745819092,0.0247,0.0307,0.0514,0.0247,0.0325,0.0422,0.0473,0.0113,0.0099,0.108,0.18
CSGCN,15,15.503387451171875,0.30765628814697266,0.0239,0.031,0.0525,0.0239,0.0319,0.0398,0.0449,0.0112,0.01,0.1075,0.181
CSGCN,16,15.42864990234375,0.285036563873291,0.0236,0.0307,0.0523,0.0236,0.0318,0.0395,0.0447,0.011,0.01,0.1055,0.1805
CSGCN,17,15.345159709453583,0.282886266708374,0.0232,0.0301,0.0523,0.0232,0.0313,0.0381,0.0434,0.0108,0.0098,0.1035,0.18
CSGCN,18,15.25245451927185,0.2849752902984619,0.0233,0.0295,0.0499,0.0233,0.0308,0.0384,0.0432,0.0107,0.0095,0.102,0.1735
CSGCN,19,15.15496289730072,0.430828332901001,0.0233,0.0291,0.0498,0.0233,0.031,0.0382,0.0433,0.0106,0.0095,0.1005,0.176
CSGCN,20,15.050874590873718,0.2850611209869385,0.0221,0.0272,0.0486,0.0221,0.03,0.0364,0.0415,0.0101,0.0092,0.0965,0.1715
