Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.94013774394989,0.4674255847930908,0.0088,0.0117,0.0218,0.0088,0.0127,0.0152,0.0179,0.0047,0.0046,0.047,0.0885
LightGCN,2,15.936699569225311,0.24927592277526855,0.0126,0.0166,0.0274,0.0126,0.0167,0.0213,0.0242,0.0066,0.0057,0.065,0.1085
LightGCN,3,15.931912362575531,0.2835659980773926,0.016,0.0206,0.0335,0.016,0.0209,0.0278,0.0312,0.0083,0.007,0.081,0.1325
LightGCN,4,15.924694776535034,0.28026413917541504,0.0196,0.0244,0.0373,0.0196,0.0246,0.0336,0.0374,0.0094,0.0078,0.0895,0.1455
LightGCN,5,15.914230585098267,0.2454690933227539,0.0215,0.027,0.041,0.0215,0.0269,0.0371,0.0411,0.0102,0.0083,0.0965,0.156
LightGCN,6,15.899075388908386,0.27933502197265625,0.0236,0.0294,0.0441,0.0236,0.0294,0.0411,0.0457,0.011,0.0091,0.104,0.1695
LightGCN,7,15.878690779209137,0.2817881107330322,0.0247,0.0311,0.0479,0.0247,0.0311,0.0433,0.0477,0.012,0.0099,0.114,0.1815
LightGCN,8,15.85201120376587,0.24583864212036133,0.0257,0.0326,0.0494,0.0257,0.0322,0.0457,0.0501,0.0122,0.01,0.117,0.1845
LightGCN,9,15.818847179412842,0.2726428508758545,0.0239,0.0298,0.0492,0.0239,0.0312,0.042,0.0468,0.0115,0.0098,0.111,0.1805
LightGCN,10,15.778197228908539,0.28005552291870117,0.0247,0.0322,0.0484,0.0247,0.0309,0.0422,0.0463,0.0122,0.0097,0.1185,0.1795
LightGCN,11,15.729266703128815,0.25556397438049316,0.0235,0.0302,0.049,0.0235,0.0307,0.0407,0.0456,0.0113,0.0097,0.11,0.181
LightGCN,12,15.672330677509308,0.24894356727600098,0.0222,0.0276,0.0477,0.0222,0.0299,0.0393,0.0446,0.0104,0.0094,0.1015,0.178
LightGCN,13,15.608886122703552,0.28481411933898926,0.0219,0.0278,0.0465,0.0219,0.029,0.0384,0.0431,0.0101,0.009,0.0995,0.171
LightGCN,14,15.536316454410553,0.2813103199005127,0.0211,0.027,0.0444,0.0211,0.0277,0.0372,0.0417,0.0098,0.0086,0.0965,0.163
LightGCN,15,15.455930292606354,0.24558162689208984,0.0208,0.0269,0.0427,0.0208,0.0268,0.0366,0.0407,0.0098,0.0083,0.0965,0.157
LightGCN,16,15.368450582027435,0.24471449851989746,0.0197,0.025,0.0419,0.0197,0.026,0.0347,0.039,0.0091,0.008,0.0905,0.154
LightGCN,17,15.270079433918,0.28461551666259766,0.0193,0.0252,0.0406,0.0193,0.0251,0.0341,0.038,0.0091,0.0078,0.09,0.149
LightGCN,18,15.174233615398407,0.27909278869628906,0.0185,0.0244,0.0397,0.0185,0.0243,0.0326,0.0365,0.0087,0.0076,0.0865,0.145
LightGCN,19,15.06447559595108,0.24437737464904785,0.0181,0.023,0.0395,0.0181,0.0243,0.0323,0.0366,0.0081,0.0075,0.081,0.1445
