Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,59340.630310058594,0.37676358222961426,0.0936,0.1534,0.2194,0.0936,0.112,0.0873,0.0936,0.0215,0.0157,0.208,0.298
SimGCL,2,54627.468688964844,0.17283940315246582,0.126,0.2026,0.2789,0.126,0.1473,0.1183,0.1254,0.0282,0.0198,0.2715,0.3735
SimGCL,3,52990.89288330078,0.17160773277282715,0.1571,0.2485,0.3295,0.1571,0.1799,0.1484,0.1561,0.0344,0.0236,0.328,0.4405
SimGCL,4,52036.53515625,0.17818832397460938,0.1855,0.2835,0.3777,0.1855,0.2119,0.1781,0.1866,0.0394,0.027,0.375,0.5
SimGCL,5,50783.949645996094,0.17142486572265625,0.2081,0.3132,0.4103,0.2081,0.2357,0.2015,0.2103,0.0435,0.0295,0.413,0.5395
SimGCL,6,50069.16571044922,0.17099404335021973,0.2305,0.3482,0.4419,0.2305,0.2574,0.2235,0.2321,0.0481,0.0317,0.4555,0.5785
SimGCL,7,49495.60437011719,0.17356252670288086,0.2498,0.3751,0.4647,0.2498,0.2758,0.2419,0.2502,0.0518,0.0336,0.4875,0.6065
SimGCL,8,49116.350341796875,0.17142391204833984,0.2689,0.3968,0.4941,0.2689,0.297,0.2634,0.2721,0.0549,0.0359,0.5145,0.6405
SimGCL,9,48543.94610595703,0.1709742546081543,0.2834,0.412,0.5152,0.2834,0.3135,0.2794,0.2884,0.0573,0.0377,0.537,0.665
SimGCL,10,48072.81164550781,0.17195534706115723,0.2985,0.4326,0.5285,0.2985,0.3266,0.2942,0.3023,0.0606,0.0389,0.564,0.682
SimGCL,11,47935.903564453125,0.17009425163269043,0.3105,0.4454,0.5458,0.3105,0.3404,0.3067,0.3156,0.0623,0.0405,0.5765,0.703
SimGCL,12,47585.4248046875,0.17090845108032227,0.323,0.4619,0.5595,0.323,0.3522,0.3196,0.3282,0.0648,0.0418,0.5955,0.718
SimGCL,13,47308.45489501953,0.1772153377532959,0.3362,0.4796,0.5744,0.3362,0.3644,0.3325,0.3404,0.0676,0.0429,0.6195,0.735
SimGCL,14,47124.89685058594,0.17325997352600098,0.3463,0.49,0.5883,0.3463,0.3757,0.3436,0.3519,0.0693,0.044,0.632,0.7515
SimGCL,15,46825.38391113281,0.17084789276123047,0.3548,0.4992,0.6009,0.3548,0.3853,0.3519,0.3606,0.0708,0.0452,0.643,0.769
SimGCL,16,46693.485412597656,0.1746528148651123,0.3652,0.5124,0.6132,0.3652,0.3953,0.3625,0.371,0.0729,0.0462,0.6575,0.781
SimGCL,17,46391.0400390625,0.17165732383728027,0.3737,0.5219,0.6225,0.3737,0.404,0.3722,0.3805,0.0745,0.0471,0.67,0.7905
SimGCL,18,46275.192138671875,0.17072319984436035,0.3809,0.5292,0.6276,0.3809,0.4107,0.3798,0.3882,0.0758,0.0475,0.6785,0.795
SimGCL,19,46172.548400878906,0.17104887962341309,0.3895,0.5398,0.6365,0.3895,0.4189,0.3891,0.3974,0.0775,0.0483,0.689,0.805
SimGCL,20,45966.17559814453,0.17121100425720215,0.3972,0.5483,0.6445,0.3972,0.4263,0.3979,0.4057,0.0792,0.049,0.703,0.8125
SimGCL,21,45865.06042480469,0.17819690704345703,0.4025,0.5557,0.65,0.4025,0.4311,0.4025,0.4102,0.0802,0.0494,0.711,0.8195
SimGCL,22,45652.25793457031,0.1745157241821289,0.4083,0.5633,0.6581,0.4083,0.437,0.4083,0.4156,0.0815,0.0501,0.723,0.8265
SimGCL,23,45592.318603515625,0.1708240509033203,0.4128,0.5689,0.6618,0.4128,0.4412,0.4123,0.4196,0.0824,0.0505,0.728,0.8305
SimGCL,24,45568.56317138672,0.1707594394683838,0.4179,0.5742,0.6668,0.4179,0.4461,0.4174,0.4246,0.0834,0.0509,0.7345,0.8355
SimGCL,25,45399.147705078125,0.2842566967010498,0.4222,0.5805,0.673,0.4222,0.4503,0.4215,0.4285,0.0845,0.0514,0.743,0.8405
SimGCL,26,45351.636474609375,0.1724085807800293,0.4289,0.5885,0.6781,0.4289,0.4562,0.4283,0.4349,0.0857,0.0518,0.751,0.845
SimGCL,27,45310.60388183594,0.17168498039245605,0.4348,0.596,0.684,0.4348,0.4616,0.4341,0.4408,0.0868,0.0523,0.755,0.8495
SimGCL,28,45046.837463378906,0.1732630729675293,0.4382,0.5987,0.6924,0.4382,0.4666,0.4387,0.4454,0.0871,0.053,0.76,0.856
SimGCL,29,44970.89385986328,0.1717376708984375,0.4427,0.6047,0.6962,0.4427,0.4704,0.4431,0.4498,0.0881,0.0533,0.765,0.8595
SimGCL,30,44869.597717285156,0.17046475410461426,0.4467,0.6088,0.698,0.4467,0.4738,0.4475,0.4538,0.0889,0.0536,0.772,0.862
SimGCL,31,44825.33251953125,0.17060041427612305,0.4504,0.6114,0.7003,0.4504,0.4775,0.4521,0.4584,0.0893,0.0537,0.7745,0.863
SimGCL,32,44551.24328613281,0.17098355293273926,0.4533,0.6144,0.7035,0.4533,0.4807,0.4556,0.4621,0.0898,0.0541,0.7765,0.866
SimGCL,33,44727.646484375,0.1701054573059082,0.4575,0.6208,0.7057,0.4575,0.4837,0.4595,0.4654,0.0909,0.0543,0.7835,0.8665
SimGCL,34,44658.69006347656,0.170440673828125,0.4599,0.6214,0.7089,0.4599,0.4869,0.4627,0.4687,0.091,0.0546,0.785,0.869
SimGCL,35,44578.821533203125,0.17071032524108887,0.4638,0.6275,0.7109,0.4638,0.4896,0.4656,0.4714,0.092,0.0548,0.79,0.8715
SimGCL,36,44464.50604248047,0.17734813690185547,0.4669,0.63,0.713,0.4669,0.4927,0.4699,0.4756,0.0923,0.0551,0.7925,0.8725
SimGCL,37,44451.094299316406,0.17205286026000977,0.4709,0.6331,0.7154,0.4709,0.4965,0.4744,0.4799,0.093,0.0553,0.7965,0.8735
SimGCL,38,44562.035400390625,0.17061996459960938,0.4739,0.6366,0.719,0.4739,0.4995,0.4773,0.4828,0.0936,0.0556,0.8,0.876
SimGCL,39,44487.320373535156,0.17583155632019043,0.4763,0.6363,0.7207,0.4763,0.5026,0.481,0.4865,0.0935,0.0558,0.799,0.8765
SimGCL,40,44228.586364746094,0.17070937156677246,0.4785,0.6406,0.7228,0.4785,0.5042,0.483,0.4882,0.0942,0.056,0.8045,0.879
SimGCL,41,44437.55432128906,0.17157793045043945,0.4803,0.6413,0.7254,0.4803,0.5066,0.4854,0.4905,0.0944,0.0562,0.807,0.8805
SimGCL,42,44186.208557128906,0.17072701454162598,0.4831,0.646,0.7273,0.4831,0.5085,0.4874,0.4926,0.0954,0.0564,0.8105,0.884
SimGCL,43,44186.724060058594,0.17134761810302734,0.4845,0.6468,0.728,0.4845,0.51,0.4896,0.4946,0.0954,0.0565,0.8125,0.883
SimGCL,44,44163.62390136719,0.17293167114257812,0.4878,0.6517,0.7301,0.4878,0.5125,0.4924,0.4975,0.0962,0.0568,0.8155,0.887
SimGCL,45,44005.329833984375,0.17075157165527344,0.4899,0.6532,0.73,0.4899,0.5143,0.4953,0.5002,0.0964,0.0568,0.818,0.888
SimGCL,46,44116.486083984375,0.1717233657836914,0.4918,0.655,0.7324,0.4918,0.5163,0.4976,0.5025,0.0968,0.057,0.8195,0.889
SimGCL,47,44106.782165527344,0.1702861785888672,0.4942,0.6591,0.7329,0.4942,0.5178,0.4999,0.5046,0.0974,0.0571,0.8235,0.8905
SimGCL,48,44024.84582519531,0.17053627967834473,0.4962,0.661,0.7361,0.4962,0.52,0.5019,0.5067,0.098,0.0574,0.8245,0.8935
SimGCL,49,43874.695739746094,0.17110991477966309,0.498,0.6623,0.7367,0.498,0.5216,0.5044,0.5091,0.0981,0.0575,0.826,0.8935
