Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.333901941776276,0.4899265766143799,0.0108,0.0162,0.0307,0.0108,0.016,0.018,0.0214,0.0057,0.0055,0.057,0.1055
ASLGCN,2,15.328342497348785,0.28911304473876953,0.0149,0.0226,0.0357,0.0149,0.0198,0.0227,0.026,0.0079,0.0066,0.0775,0.125
ASLGCN,3,15.321559369564056,0.2894003391265869,0.0178,0.0235,0.0405,0.0178,0.0242,0.0297,0.0339,0.0087,0.0078,0.083,0.1455
ASLGCN,4,15.31232213973999,0.2895371913909912,0.0216,0.0286,0.0476,0.0216,0.0286,0.0371,0.0417,0.0106,0.0091,0.1015,0.1695
ASLGCN,5,15.299639105796814,0.2871997356414795,0.025,0.0319,0.0524,0.025,0.0324,0.0431,0.0478,0.0116,0.0096,0.111,0.1805
ASLGCN,6,15.282569825649261,0.28719425201416016,0.0275,0.0363,0.0551,0.0275,0.0343,0.0469,0.0513,0.0132,0.0103,0.126,0.1935
ASLGCN,7,15.260037183761597,0.28736042976379395,0.0294,0.0386,0.058,0.0294,0.0368,0.0508,0.0559,0.0139,0.011,0.132,0.2055
ASLGCN,8,15.231221854686737,0.2961287498474121,0.0311,0.041,0.0604,0.0311,0.0383,0.0536,0.0582,0.015,0.0115,0.1435,0.212
ASLGCN,9,15.195896744728088,0.2880089282989502,0.0306,0.0408,0.0621,0.0306,0.0386,0.052,0.0573,0.0149,0.0119,0.1415,0.219
ASLGCN,10,15.152741849422455,0.2857933044433594,0.0314,0.0413,0.0651,0.0314,0.0401,0.0541,0.0595,0.0153,0.0123,0.146,0.2245
ASLGCN,11,15.101236820220947,0.28633737564086914,0.0318,0.0416,0.066,0.0318,0.0406,0.054,0.0595,0.0155,0.0123,0.147,0.2255
ASLGCN,12,15.042241096496582,0.2937040328979492,0.0327,0.0438,0.0646,0.0327,0.0405,0.0551,0.0601,0.0159,0.0122,0.15,0.2215
ASLGCN,13,14.9752978682518,0.2919490337371826,0.0324,0.0428,0.0647,0.0324,0.0405,0.0552,0.0602,0.0159,0.0123,0.15,0.2225
ASLGCN,14,14.900445938110352,0.28872060775756836,0.032,0.0426,0.065,0.032,0.0402,0.0544,0.0594,0.0156,0.0122,0.147,0.2195
ASLGCN,15,14.816630482673645,0.28945183753967285,0.0321,0.0434,0.065,0.0321,0.0402,0.0544,0.0595,0.0157,0.0122,0.1475,0.2215
ASLGCN,16,14.724502921104431,0.284970760345459,0.0321,0.0429,0.0651,0.0321,0.0403,0.0548,0.0599,0.0156,0.0122,0.1455,0.22
ASLGCN,17,14.625406265258789,0.2847616672515869,0.0317,0.0434,0.0651,0.0317,0.0397,0.0532,0.0582,0.0158,0.0122,0.1475,0.2225
ASLGCN,18,14.517418384552002,0.28462672233581543,0.0323,0.0446,0.0637,0.0323,0.0394,0.0537,0.0581,0.0161,0.012,0.1505,0.217
ASLGCN,19,14.402543187141418,0.2847564220428467,0.0311,0.0424,0.0653,0.0311,0.0394,0.0519,0.057,0.0154,0.0121,0.143,0.2175
ASLGCN,20,14.279989778995514,0.4072835445404053,0.0309,0.0422,0.0638,0.0309,0.0389,0.0518,0.0565,0.0153,0.0119,0.1445,0.214
ASLGCN,21,14.150400042533875,0.2871682643890381,0.03,0.0412,0.0636,0.03,0.0384,0.0504,0.0554,0.0147,0.0119,0.1405,0.2155
ASLGCN,22,14.014120936393738,0.28607892990112305,0.03,0.0409,0.0627,0.03,0.038,0.0503,0.0552,0.0147,0.0118,0.1395,0.213
ASLGCN,23,13.87587022781372,0.2862238883972168,0.0298,0.0405,0.063,0.0298,0.038,0.0502,0.0552,0.0147,0.0117,0.139,0.2125
