Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,72.0854542851448,1.0028455257415771,0.0059,0.0022,0.0047,0.0059,0.0063,0.0179,0.0217,0.0056,0.0059,0.055,0.111
BPR,2,71.94302052259445,0.8482801914215088,0.0053,0.0022,0.0044,0.0053,0.0057,0.0148,0.0184,0.0055,0.0056,0.054,0.1075
BPR,3,71.72664737701416,0.8492622375488281,0.0051,0.0022,0.0044,0.0051,0.0057,0.0149,0.0185,0.005,0.0054,0.05,0.1045
BPR,4,71.35076028108597,0.849860429763794,0.005,0.002,0.0044,0.005,0.0055,0.0146,0.0181,0.0048,0.0053,0.048,0.101
BPR,5,70.75397354364395,0.8466532230377197,0.0045,0.0019,0.0046,0.0045,0.0056,0.0127,0.0168,0.0047,0.0056,0.047,0.108
BPR,6,69.92401170730591,0.8470263481140137,0.0049,0.0022,0.0044,0.0049,0.0056,0.0134,0.0171,0.0051,0.0055,0.0505,0.106
BPR,7,68.83646553754807,0.8527107238769531,0.0052,0.0023,0.0042,0.0052,0.0053,0.0136,0.0165,0.0056,0.0053,0.056,0.1
BPR,8,67.55757850408554,0.8503372669219971,0.0048,0.0021,0.0041,0.0048,0.0053,0.0131,0.0165,0.005,0.0053,0.05,0.101
BPR,9,66.11951613426208,0.8451576232910156,0.0048,0.002,0.0041,0.0048,0.0052,0.0135,0.0169,0.005,0.0051,0.0505,0.099
BPR,10,64.58813601732254,0.8479552268981934,0.005,0.002,0.004,0.005,0.0054,0.0147,0.0181,0.005,0.0052,0.05,0.099
BPR,11,62.99363052845001,0.8497931957244873,0.0052,0.0021,0.0042,0.0052,0.0055,0.0151,0.0182,0.0052,0.0052,0.0525,0.1
BPR,12,61.448334097862244,0.8473019599914551,0.0051,0.0021,0.004,0.0051,0.0053,0.0145,0.0176,0.0052,0.005,0.0515,0.097
