Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.937007129192352,0.4338991641998291,0.0014,0.0019,0.0046,0.0014,0.0025,0.0026,0.0035,0.0011,0.0012,0.01,0.0235
DiffNet,2,15.886250078678131,0.2458205223083496,0.0015,0.0023,0.0049,0.0015,0.0027,0.0028,0.0038,0.0011,0.0013,0.011,0.0265
DiffNet,3,15.833979547023773,0.24642038345336914,0.0015,0.0019,0.0042,0.0015,0.0025,0.0032,0.0041,0.0011,0.0012,0.011,0.024
DiffNet,4,15.759152233600616,0.2460324764251709,0.0018,0.0025,0.0044,0.0018,0.0026,0.0038,0.0046,0.0014,0.0012,0.014,0.025
DiffNet,5,15.654368460178375,0.24752187728881836,0.0019,0.0021,0.0055,0.0019,0.0032,0.0045,0.0056,0.0013,0.0014,0.013,0.0285
DiffNet,6,15.507947623729706,0.24825000762939453,0.002,0.0024,0.0048,0.002,0.003,0.0046,0.0054,0.0013,0.0013,0.013,0.026
DiffNet,7,15.31428599357605,0.24547386169433594,0.0019,0.0026,0.0052,0.0019,0.0029,0.0038,0.0045,0.0014,0.0013,0.014,0.0255
DiffNet,8,15.062417089939117,0.24376130104064941,0.0021,0.003,0.0048,0.0021,0.0029,0.0042,0.0049,0.0015,0.0012,0.0145,0.025
DiffNet,9,14.752967059612274,0.2444605827331543,0.002,0.0028,0.0046,0.002,0.0028,0.0037,0.0045,0.0014,0.0012,0.014,0.025
DiffNet,10,14.395638644695282,0.24356436729431152,0.0018,0.0023,0.0047,0.0018,0.0027,0.0036,0.0043,0.0013,0.0012,0.013,0.0235
DiffNet,11,13.988823652267456,0.24466586112976074,0.0021,0.0028,0.0045,0.0021,0.0028,0.004,0.0046,0.0014,0.0011,0.014,0.0225
DiffNet,12,13.53556877374649,0.24281597137451172,0.002,0.0027,0.0047,0.002,0.0028,0.0037,0.0044,0.0013,0.0012,0.013,0.0235
DiffNet,13,13.057726919651031,0.24988555908203125,0.0018,0.0025,0.0053,0.0018,0.003,0.0035,0.0046,0.0012,0.0014,0.012,0.0275
DiffNet,14,12.557966113090515,0.24213886260986328,0.0019,0.0024,0.0053,0.0019,0.003,0.0038,0.0048,0.0012,0.0014,0.012,0.0275
DiffNet,15,12.075206935405731,0.24344921112060547,0.0018,0.0025,0.0055,0.0018,0.0029,0.0035,0.0044,0.0013,0.0013,0.013,0.027
DiffNet,16,11.600907742977142,0.24504804611206055,0.0018,0.0023,0.0048,0.0018,0.0028,0.0037,0.0045,0.0012,0.0012,0.012,0.024
DiffNet,17,11.085972517728806,0.24177312850952148,0.0017,0.002,0.0047,0.0017,0.0027,0.0039,0.0047,0.0011,0.0012,0.011,0.023
DiffNet,18,10.625939279794693,0.24319028854370117,0.0017,0.0019,0.0045,0.0017,0.0027,0.0035,0.0043,0.0012,0.0012,0.0115,0.023
DiffNet,19,10.161976218223572,0.24241971969604492,0.0017,0.002,0.0051,0.0017,0.0029,0.0037,0.0046,0.0012,0.0012,0.0115,0.025
DiffNet,20,9.752089887857437,0.24089288711547852,0.0017,0.0022,0.0046,0.0017,0.0026,0.0033,0.0041,0.0011,0.0011,0.011,0.0225
DiffNet,21,9.359026938676834,0.24886250495910645,0.0016,0.002,0.0044,0.0016,0.0025,0.0033,0.004,0.0011,0.0011,0.0105,0.021
DiffNet,22,8.96865040063858,0.25618553161621094,0.0016,0.0021,0.0046,0.0016,0.0026,0.0035,0.0042,0.0011,0.0011,0.011,0.0215
