Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,72.77805829048157,1.6624600887298584,0.0083,0.0031,0.0063,0.0083,0.0085,0.0238,0.0287,0.0082,0.0081,0.078,0.1505
HAGN,2,72.76399290561676,1.4666175842285156,0.0081,0.0032,0.0064,0.0081,0.0084,0.0239,0.0284,0.0078,0.0079,0.077,0.1455
HAGN,3,72.73385089635849,1.4690771102905273,0.0074,0.0031,0.0059,0.0074,0.0077,0.0206,0.0251,0.0075,0.0074,0.0715,0.1385
HAGN,4,72.66606497764587,1.4809472560882568,0.0069,0.0029,0.0053,0.0069,0.0071,0.0196,0.0236,0.007,0.0068,0.068,0.1275
HAGN,5,72.54108536243439,1.4727351665496826,0.0066,0.0027,0.0052,0.0066,0.0068,0.0184,0.0224,0.0068,0.0067,0.067,0.126
HAGN,6,72.35431748628616,1.4731616973876953,0.0062,0.0025,0.0053,0.0062,0.0068,0.0178,0.022,0.0062,0.0066,0.061,0.124
HAGN,7,72.15832901000977,1.480550765991211,0.006,0.0024,0.0051,0.006,0.0067,0.0177,0.0219,0.006,0.0065,0.059,0.121
HAGN,8,71.96798205375671,1.4718127250671387,0.0064,0.0026,0.0054,0.0064,0.007,0.0183,0.0225,0.0064,0.0069,0.0635,0.1275
HAGN,9,71.75248318910599,1.4670109748840332,0.0062,0.0025,0.0055,0.0062,0.007,0.0181,0.0226,0.0062,0.0068,0.062,0.1285
HAGN,10,71.5332835316658,1.4703960418701172,0.0065,0.0028,0.0058,0.0065,0.0074,0.0186,0.0233,0.0067,0.0074,0.066,0.135
HAGN,11,71.27647423744202,1.4686188697814941,0.0071,0.003,0.0056,0.0071,0.0074,0.02,0.0241,0.0073,0.0072,0.072,0.1325
HAGN,12,71.01700007915497,1.466158151626587,0.0076,0.003,0.0059,0.0076,0.008,0.0223,0.027,0.0075,0.0076,0.0725,0.1405
