Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,4.158132553100586,0.23328065872192383,0.0018,0.0013,0.0035,0.0018,0.0025,0.0055,0.0062,0.001,0.001,0.01,0.02
DiffNet,2,4.143189787864685,0.061827659606933594,0.0026,0.002,0.0042,0.0026,0.0033,0.0082,0.0088,0.0012,0.0011,0.012,0.022
DiffNet,3,4.130572021007538,0.06368732452392578,0.0028,0.0023,0.0034,0.0028,0.0031,0.008,0.0083,0.0014,0.001,0.014,0.02
DiffNet,4,4.11673903465271,0.06176567077636719,0.0027,0.0023,0.0047,0.0027,0.0034,0.0075,0.0081,0.0014,0.0012,0.014,0.024
DiffNet,5,4.101742506027222,0.06048917770385742,0.0027,0.0025,0.0048,0.0027,0.0034,0.0071,0.0077,0.0016,0.0013,0.016,0.026
DiffNet,6,4.0852537751197815,0.06065011024475098,0.0031,0.0031,0.0057,0.0031,0.0038,0.0074,0.0081,0.002,0.0015,0.02,0.03
DiffNet,7,4.066115319728851,0.06180429458618164,0.0023,0.0028,0.0077,0.0023,0.0039,0.0048,0.006,0.0016,0.0017,0.016,0.034
DiffNet,8,4.044642508029938,0.13896679878234863,0.0026,0.0044,0.0074,0.0026,0.0038,0.0039,0.005,0.0016,0.0015,0.016,0.03
DiffNet,9,4.019124209880829,0.06112861633300781,0.0028,0.0049,0.008,0.0028,0.004,0.0037,0.0049,0.0018,0.0018,0.018,0.036
DiffNet,10,3.992533504962921,0.059572458267211914,0.0028,0.0048,0.0075,0.0028,0.004,0.0036,0.0051,0.0016,0.0018,0.016,0.036
DiffNet,11,3.9602460861206055,0.06512117385864258,0.0025,0.0043,0.0076,0.0025,0.004,0.003,0.0045,0.0014,0.0018,0.014,0.036
DiffNet,12,3.9237621426582336,0.06110882759094238,0.0032,0.0036,0.0076,0.0032,0.0049,0.0041,0.0058,0.0012,0.0018,0.012,0.036
DiffNet,13,3.8801157474517822,0.060466766357421875,0.0034,0.0037,0.0067,0.0034,0.0045,0.0043,0.0054,0.0014,0.0015,0.014,0.03
DiffNet,14,3.833145320415497,0.060042381286621094,0.0031,0.0036,0.0064,0.0031,0.0043,0.0037,0.0049,0.0012,0.0015,0.012,0.03
DiffNet,15,3.7813720107078552,0.060224294662475586,0.0032,0.0038,0.0068,0.0032,0.0045,0.0039,0.0051,0.0012,0.0015,0.012,0.03
DiffNet,16,3.723973512649536,0.06013178825378418,0.0032,0.0038,0.0062,0.0032,0.0042,0.0039,0.0049,0.0012,0.0013,0.012,0.026
DiffNet,17,3.664118230342865,0.06052064895629883,0.0033,0.0036,0.0069,0.0033,0.0046,0.0046,0.0058,0.0012,0.0016,0.012,0.032
DiffNet,18,3.597554564476013,0.0602879524230957,0.0033,0.0036,0.0072,0.0033,0.0047,0.0045,0.0058,0.0012,0.0016,0.012,0.032
DiffNet,19,3.528284430503845,0.06076526641845703,0.0027,0.0041,0.0068,0.0027,0.0038,0.0039,0.0052,0.0014,0.0016,0.014,0.032
DiffNet,20,3.4545035362243652,0.06044578552246094,0.0024,0.0038,0.0071,0.0024,0.0038,0.0037,0.0051,0.0014,0.0017,0.014,0.034
DiffNet,21,3.379726827144623,0.05960226058959961,0.0028,0.0046,0.0074,0.0028,0.0038,0.0042,0.0053,0.002,0.0017,0.02,0.034
DiffNet,22,3.3047313690185547,0.05952811241149902,0.0028,0.0047,0.0072,0.0028,0.0038,0.0043,0.0055,0.002,0.0018,0.02,0.036
DiffNet,23,3.2250065207481384,0.05974769592285156,0.0026,0.0045,0.0072,0.0026,0.0038,0.0039,0.0052,0.0018,0.0018,0.018,0.036
DiffNet,24,3.148786723613739,0.06086468696594238,0.0031,0.0053,0.0069,0.0031,0.0037,0.0043,0.0051,0.0022,0.0017,0.022,0.034
