Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942242860794067,0.37856340408325195,0.0015,0.0021,0.0034,0.0015,0.0021,0.0032,0.0036,0.0011,0.0009,0.011,0.018
BPR,2,15.912453174591064,0.2265760898590088,0.0016,0.002,0.0039,0.0016,0.0023,0.0033,0.0039,0.0011,0.001,0.0105,0.02
BPR,3,15.884239673614502,0.22944879531860352,0.0016,0.0023,0.0039,0.0016,0.0023,0.003,0.0035,0.0012,0.001,0.012,0.0205
BPR,4,15.85044938325882,0.22471141815185547,0.0014,0.0018,0.0033,0.0014,0.0021,0.0029,0.0036,0.001,0.001,0.0095,0.019
BPR,5,15.806241154670715,0.2211296558380127,0.0014,0.0019,0.0039,0.0014,0.0022,0.0025,0.0033,0.0011,0.0011,0.0105,0.022
BPR,6,15.749057590961456,0.21904325485229492,0.0014,0.0018,0.0035,0.0014,0.0021,0.0025,0.0032,0.001,0.001,0.01,0.0205
BPR,7,15.677341639995575,0.21692776679992676,0.0012,0.0017,0.0034,0.0012,0.002,0.0022,0.0029,0.0011,0.0011,0.0105,0.021
BPR,8,15.586132287979126,0.21781420707702637,0.0013,0.0018,0.0037,0.0013,0.002,0.0022,0.0029,0.0012,0.0011,0.012,0.022
BPR,9,15.47303318977356,0.2159595489501953,0.0012,0.0015,0.0032,0.0012,0.0019,0.0027,0.0033,0.0011,0.001,0.011,0.0205
BPR,10,15.339041829109192,0.21687769889831543,0.0013,0.0017,0.0028,0.0013,0.0017,0.0027,0.0031,0.0012,0.0009,0.012,0.018
BPR,11,15.180973768234253,0.2165374755859375,0.0014,0.0018,0.0034,0.0014,0.0021,0.0034,0.004,0.0012,0.001,0.0115,0.0205
BPR,12,14.997349560260773,0.21631741523742676,0.0014,0.0017,0.0038,0.0014,0.0022,0.0033,0.0041,0.0011,0.0012,0.0105,0.023
BPR,13,14.788419604301453,0.21577119827270508,0.0012,0.0013,0.0034,0.0012,0.0021,0.0032,0.004,0.001,0.0011,0.0095,0.022
BPR,14,14.5611811876297,0.22348475456237793,0.0013,0.0014,0.0036,0.0013,0.0023,0.0037,0.0045,0.001,0.0011,0.01,0.0225
