Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.93752235174179,0.44162607192993164,0.0019,0.0025,0.0062,0.0019,0.0033,0.0038,0.0049,0.0014,0.0015,0.0135,0.0295
DiffNet,2,15.893441319465637,0.2511730194091797,0.0026,0.0033,0.0054,0.0026,0.0034,0.0059,0.0066,0.0018,0.0014,0.018,0.029
DiffNet,3,15.847249031066895,0.24503540992736816,0.0027,0.0033,0.0046,0.0027,0.0032,0.0059,0.0063,0.0019,0.0013,0.0185,0.026
DiffNet,4,15.783809185028076,0.24967288970947266,0.0024,0.0031,0.0057,0.0024,0.0034,0.005,0.0058,0.0017,0.0015,0.017,0.029
DiffNet,5,15.69468641281128,0.24832940101623535,0.0025,0.0031,0.0061,0.0025,0.0037,0.0056,0.0066,0.0017,0.0016,0.017,0.032
DiffNet,6,15.572998464107513,0.24687862396240234,0.0024,0.0031,0.0064,0.0024,0.0037,0.005,0.006,0.0018,0.0017,0.0175,0.033
DiffNet,7,15.404249668121338,0.2456371784210205,0.0025,0.0034,0.0056,0.0025,0.0033,0.0045,0.0051,0.0018,0.0014,0.018,0.027
DiffNet,8,15.191701173782349,0.24396276473999023,0.0023,0.0028,0.0064,0.0023,0.0036,0.0045,0.0054,0.0016,0.0015,0.016,0.0285
DiffNet,9,14.926626682281494,0.25210070610046387,0.0022,0.0036,0.0063,0.0022,0.0033,0.0036,0.0044,0.0017,0.0015,0.0165,0.0285
DiffNet,10,14.613196790218353,0.24324941635131836,0.0021,0.0032,0.0064,0.0021,0.0033,0.0034,0.0043,0.0017,0.0015,0.0165,0.03
DiffNet,11,14.255661368370056,0.24378681182861328,0.0021,0.0032,0.0061,0.0021,0.0032,0.0034,0.0043,0.0016,0.0015,0.016,0.0295
DiffNet,12,13.871334731578827,0.24349284172058105,0.0022,0.0027,0.0059,0.0022,0.0035,0.0039,0.0049,0.0015,0.0015,0.015,0.0295
DiffNet,13,13.476255476474762,0.25147318840026855,0.0022,0.0029,0.0062,0.0022,0.0035,0.0038,0.0048,0.0016,0.0015,0.0155,0.0295
DiffNet,14,13.04334568977356,0.2463994026184082,0.0021,0.0026,0.006,0.0021,0.0034,0.0035,0.0045,0.0015,0.0015,0.015,0.0305
