Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.936318218708038,0.49933958053588867,0.0025,0.0031,0.006,0.0025,0.0037,0.0059,0.0068,0.0017,0.0016,0.017,0.032
DiffNet,2,15.88742184638977,0.2834441661834717,0.0021,0.0025,0.0052,0.0021,0.0032,0.0047,0.0056,0.0015,0.0014,0.0135,0.0265
DiffNet,3,15.831921398639679,0.2443680763244629,0.0023,0.0032,0.0057,0.0023,0.0034,0.0042,0.0051,0.0016,0.0015,0.016,0.0295
DiffNet,4,15.751423299312592,0.24221110343933105,0.002,0.003,0.0048,0.002,0.0028,0.0036,0.0043,0.0016,0.0013,0.0155,0.025
DiffNet,5,15.629449129104614,0.2836153507232666,0.0019,0.0024,0.0052,0.0019,0.0031,0.0043,0.0053,0.0014,0.0014,0.0135,0.027
DiffNet,6,15.45991188287735,0.2790391445159912,0.0019,0.0022,0.005,0.0019,0.0031,0.0045,0.0055,0.0013,0.0014,0.0125,0.0275
DiffNet,7,15.22120726108551,0.24025273323059082,0.0016,0.002,0.0043,0.0016,0.0026,0.0038,0.0046,0.0012,0.0012,0.0115,0.0235
DiffNet,8,14.915402293205261,0.2558567523956299,0.0016,0.0021,0.004,0.0016,0.0024,0.0037,0.0043,0.0013,0.0012,0.0125,0.0225
DiffNet,9,14.54878282546997,0.28314661979675293,0.0015,0.0018,0.004,0.0015,0.0024,0.0038,0.0046,0.0011,0.0011,0.011,0.0225
DiffNet,10,14.112559258937836,0.27049946784973145,0.0014,0.0018,0.0048,0.0014,0.0026,0.0034,0.0043,0.0011,0.0012,0.011,0.025
DiffNet,11,13.631102204322815,0.23986029624938965,0.0016,0.0021,0.0049,0.0016,0.0028,0.0036,0.0046,0.0013,0.0013,0.0125,0.0265
DiffNet,12,13.117028713226318,0.2827131748199463,0.0015,0.0021,0.0054,0.0015,0.0028,0.0028,0.004,0.0011,0.0014,0.0105,0.0285
