Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,73.47256678342819,1.0128874778747559,0.0064,0.0024,0.005,0.0064,0.0068,0.0197,0.0239,0.006,0.0063,0.0595,0.1215
BPR,2,73.32639402151108,0.862659215927124,0.0071,0.0025,0.0044,0.0071,0.0065,0.0215,0.0244,0.0067,0.0057,0.0645,0.1085
BPR,3,73.10796302556992,0.8608236312866211,0.0067,0.0025,0.0049,0.0067,0.0068,0.0196,0.0233,0.0066,0.0064,0.0645,0.1175
BPR,4,72.73377585411072,0.8658287525177002,0.0062,0.0021,0.0045,0.0062,0.0064,0.0179,0.0215,0.0061,0.0062,0.0595,0.113
BPR,5,72.14021009206772,0.8582539558410645,0.0062,0.0021,0.0042,0.0062,0.0063,0.0184,0.0219,0.0059,0.0059,0.054,0.1065
BPR,6,71.29818016290665,0.858046293258667,0.0065,0.0024,0.0041,0.0065,0.0061,0.019,0.0216,0.0063,0.0056,0.061,0.1015
BPR,7,70.23261827230453,0.8598401546478271,0.0062,0.0022,0.0041,0.0062,0.0061,0.019,0.0221,0.0058,0.0055,0.0565,0.1035
BPR,8,68.96635854244232,0.8563566207885742,0.0058,0.0021,0.004,0.0058,0.0058,0.0179,0.0211,0.0055,0.0053,0.054,0.101
BPR,9,67.55722588300705,0.8587639331817627,0.0058,0.002,0.0037,0.0058,0.0056,0.018,0.0208,0.0054,0.005,0.0535,0.095
BPR,10,66.02028977870941,0.8622989654541016,0.0061,0.0021,0.0039,0.0061,0.0058,0.019,0.0218,0.0057,0.0052,0.055,0.0985
BPR,11,64.46636283397675,0.8548316955566406,0.0062,0.0021,0.0041,0.0062,0.006,0.0191,0.0222,0.0058,0.0055,0.055,0.103
BPR,12,62.92770802974701,0.8560338020324707,0.006,0.002,0.004,0.006,0.0058,0.0182,0.0214,0.0055,0.0054,0.0525,0.1
BPR,13,61.40152961015701,0.8568055629730225,0.006,0.0021,0.0038,0.006,0.0058,0.0186,0.0216,0.0055,0.0053,0.0535,0.0985
