Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,6.928086161613464,0.3537757396697998,0.0006,0.0009,0.0025,0.0006,0.0011,0.0011,0.0013,0.0002,0.0002,0.002,0.0045
DiffNet,2,6.89800351858139,0.13201427459716797,0.0007,0.0015,0.003,0.0007,0.0011,0.0008,0.0009,0.0002,0.0002,0.0025,0.0045
DiffNet,3,6.859786510467529,0.13663220405578613,0.0011,0.002,0.0028,0.0011,0.0013,0.001,0.0011,0.0003,0.0002,0.003,0.004
DiffNet,4,6.809932231903076,0.13567256927490234,0.001,0.0019,0.0022,0.001,0.0011,0.001,0.0011,0.0002,0.0002,0.0025,0.0035
DiffNet,5,6.735170483589172,0.13310599327087402,0.0004,0.0007,0.0012,0.0004,0.0005,0.0004,0.0005,0.0002,0.0001,0.002,0.0025
DiffNet,6,6.657865405082703,0.1323106288909912,0.0008,0.0018,0.0021,0.0008,0.001,0.0008,0.0008,0.0003,0.0002,0.003,0.004
DiffNet,7,6.55726033449173,0.13242220878601074,0.001,0.0019,0.0023,0.001,0.0012,0.001,0.0011,0.0004,0.0002,0.0035,0.0045
DiffNet,8,6.465729653835297,0.13178014755249023,0.0011,0.0019,0.0027,0.0011,0.0013,0.0011,0.0012,0.0004,0.0003,0.0035,0.0055
DiffNet,9,6.390873432159424,0.13275623321533203,0.0014,0.0018,0.0034,0.0014,0.0018,0.0019,0.002,0.0004,0.0003,0.004,0.006
DiffNet,10,6.323241353034973,0.14819860458374023,0.0016,0.0024,0.0044,0.0016,0.0022,0.0021,0.0023,0.0004,0.0004,0.0045,0.007
DiffNet,11,6.287892699241638,0.15226125717163086,0.0017,0.0026,0.0041,0.0017,0.0021,0.0021,0.0023,0.0004,0.0003,0.0045,0.0065
DiffNet,12,6.257927238941193,0.1492149829864502,0.0019,0.0028,0.0035,0.0019,0.0021,0.0022,0.0023,0.0004,0.0002,0.004,0.005
DiffNet,13,6.214678049087524,0.1414945125579834,0.0014,0.0035,0.004,0.0014,0.0016,0.001,0.001,0.0005,0.0003,0.005,0.0055
DiffNet,14,6.202781021595001,0.13388466835021973,0.0013,0.003,0.0035,0.0013,0.0014,0.0009,0.0009,0.0004,0.0002,0.0045,0.005
DiffNet,15,6.178410887718201,0.13535809516906738,0.0008,0.0019,0.0034,0.0008,0.0012,0.0006,0.0007,0.0002,0.0002,0.0025,0.0045
DiffNet,16,6.208149313926697,0.1329820156097412,0.001,0.0018,0.0029,0.001,0.0013,0.0009,0.001,0.0002,0.0002,0.002,0.004
DiffNet,17,6.14716100692749,0.13581514358520508,0.001,0.0022,0.0031,0.001,0.0013,0.0007,0.0008,0.0002,0.0002,0.0025,0.004
DiffNet,18,6.129968822002411,0.13868236541748047,0.0014,0.0031,0.0031,0.0014,0.0014,0.0011,0.0011,0.0005,0.0002,0.005,0.005
DiffNet,19,6.108262002468109,0.14126062393188477,0.0013,0.0028,0.0034,0.0013,0.0015,0.0013,0.0014,0.0004,0.0003,0.004,0.0055
DiffNet,20,6.083434164524078,0.13396978378295898,0.001,0.0015,0.0038,0.001,0.0016,0.0014,0.0016,0.0002,0.0003,0.0025,0.0055
DiffNet,21,6.072913408279419,0.13576245307922363,0.0015,0.0029,0.0029,0.0015,0.0015,0.0017,0.0017,0.0004,0.0002,0.0045,0.0045
DiffNet,22,6.0654643177986145,0.14713549613952637,0.0013,0.0025,0.0029,0.0013,0.0014,0.0015,0.0015,0.0004,0.0002,0.0035,0.0045
DiffNet,23,6.029954433441162,0.13266324996948242,0.0007,0.0018,0.0026,0.0007,0.0009,0.0004,0.0005,0.0002,0.0002,0.0025,0.004
