Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942319393157959,0.4110994338989258,0.0012,0.0016,0.0034,0.0012,0.002,0.0022,0.0028,0.0009,0.0009,0.0085,0.018
BPR,2,15.911655604839325,0.21098661422729492,0.001,0.0014,0.0038,0.001,0.002,0.0017,0.0026,0.0008,0.001,0.0075,0.019
BPR,3,15.884186744689941,0.21144938468933105,0.0012,0.0017,0.004,0.0012,0.0021,0.002,0.0027,0.0009,0.001,0.0085,0.02
BPR,4,15.850391685962677,0.22172260284423828,0.0014,0.0017,0.0037,0.0014,0.0022,0.0025,0.0031,0.0009,0.0009,0.009,0.018
BPR,5,15.808227121829987,0.21667265892028809,0.0014,0.0018,0.0034,0.0014,0.0021,0.0029,0.0034,0.0009,0.0008,0.008,0.0155
BPR,6,15.754564046859741,0.20637917518615723,0.0015,0.0019,0.0041,0.0015,0.0024,0.0029,0.0036,0.0009,0.001,0.009,0.019
BPR,7,15.687467634677887,0.2121286392211914,0.0014,0.0019,0.0044,0.0014,0.0024,0.0026,0.0034,0.0009,0.0011,0.009,0.021
BPR,8,15.601252675056458,0.22111916542053223,0.0013,0.0017,0.0042,0.0013,0.0022,0.0025,0.0031,0.001,0.001,0.0095,0.019
BPR,9,15.499279916286469,0.21806883811950684,0.0014,0.002,0.0042,0.0014,0.0023,0.0023,0.0029,0.001,0.001,0.0095,0.02
BPR,10,15.376856505870819,0.204787015914917,0.0015,0.0022,0.0037,0.0015,0.0022,0.0027,0.0032,0.0012,0.001,0.0115,0.0195
BPR,11,15.23349004983902,0.20566296577453613,0.0016,0.0022,0.0036,0.0016,0.0022,0.0028,0.0034,0.0011,0.001,0.011,0.019
BPR,12,15.06508731842041,0.21901321411132812,0.0016,0.0021,0.004,0.0016,0.0024,0.003,0.0036,0.0011,0.001,0.011,0.02
BPR,13,14.881038308143616,0.22027111053466797,0.0018,0.0023,0.0044,0.0018,0.0026,0.0033,0.004,0.0012,0.0011,0.0115,0.0215
BPR,14,14.668834567070007,0.2132730484008789,0.0014,0.0019,0.0042,0.0014,0.0024,0.0025,0.0034,0.001,0.0011,0.0095,0.021
BPR,15,14.441117703914642,0.20324349403381348,0.0015,0.002,0.0041,0.0015,0.0024,0.0026,0.0034,0.001,0.0011,0.01,0.021
BPR,16,14.188495934009552,0.21669530868530273,0.0015,0.0019,0.0043,0.0015,0.0025,0.0027,0.0036,0.0009,0.0011,0.009,0.0225
BPR,17,13.927944481372833,0.22203803062438965,0.0015,0.002,0.0041,0.0015,0.0024,0.0026,0.0033,0.001,0.0011,0.01,0.021
BPR,18,13.651725172996521,0.30461907386779785,0.0014,0.0019,0.0042,0.0014,0.0024,0.0024,0.0032,0.001,0.0011,0.01,0.0225
BPR,19,13.354611933231354,0.20760154724121094,0.0015,0.0021,0.0043,0.0015,0.0024,0.0025,0.0033,0.0011,0.0011,0.0105,0.0225
BPR,20,13.050782263278961,0.21466374397277832,0.0014,0.0019,0.004,0.0014,0.0023,0.0024,0.0031,0.0009,0.001,0.009,0.0205
BPR,21,12.749837279319763,0.2207803726196289,0.0015,0.0019,0.0035,0.0015,0.0021,0.0027,0.0032,0.001,0.0009,0.01,0.018
BPR,22,12.409358501434326,0.21442031860351562,0.0014,0.002,0.0038,0.0014,0.0022,0.0024,0.0031,0.001,0.001,0.01,0.02
BPR,23,12.09545212984085,0.20296525955200195,0.0014,0.002,0.0037,0.0014,0.0021,0.0023,0.003,0.001,0.001,0.01,0.019
BPR,24,11.776241660118103,0.20568156242370605,0.0013,0.0018,0.0042,0.0013,0.0023,0.0022,0.003,0.0009,0.0011,0.009,0.021
