Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,8.312146246433258,0.32340240478515625,0.0018,0.0037,0.0066,0.0018,0.0026,0.0017,0.002,0.0007,0.0006,0.007,0.012
DiffNet,2,8.289048850536346,0.1479628086090088,0.0021,0.0038,0.0061,0.0021,0.0028,0.002,0.0024,0.0008,0.0006,0.0075,0.0125
DiffNet,3,8.267600238323212,0.14470434188842773,0.0024,0.0047,0.0069,0.0024,0.0031,0.0023,0.0026,0.001,0.0007,0.01,0.014
DiffNet,4,8.241285860538483,0.14482378959655762,0.0023,0.0046,0.0084,0.0023,0.0035,0.0022,0.0027,0.001,0.0009,0.0095,0.0175
DiffNet,5,8.209565997123718,0.1444690227508545,0.0021,0.004,0.0079,0.0021,0.0033,0.0021,0.0027,0.001,0.0009,0.0095,0.0175
DiffNet,6,8.169796288013458,0.14272332191467285,0.0023,0.0045,0.0085,0.0023,0.0036,0.0023,0.0029,0.001,0.001,0.0095,0.019
DiffNet,7,8.118343770503998,0.14268016815185547,0.0024,0.0054,0.0088,0.0024,0.0035,0.0022,0.0027,0.001,0.0009,0.0095,0.0175
DiffNet,8,8.055406332015991,0.1445615291595459,0.0025,0.0055,0.008,0.0025,0.0033,0.0023,0.0027,0.0011,0.0008,0.0105,0.0155
DiffNet,9,7.978937149047852,0.14339637756347656,0.0021,0.0041,0.0074,0.0021,0.0031,0.0021,0.0026,0.0009,0.0008,0.0085,0.015
DiffNet,10,7.887182235717773,0.14298677444458008,0.0025,0.0051,0.0088,0.0025,0.0036,0.0024,0.0028,0.0011,0.0009,0.0105,0.017
DiffNet,11,7.778530657291412,0.14341163635253906,0.0028,0.0052,0.0079,0.0028,0.0037,0.0031,0.0035,0.0011,0.0009,0.0105,0.017
DiffNet,12,7.654370009899139,0.14314556121826172,0.0024,0.0043,0.0084,0.0024,0.0037,0.0028,0.0034,0.0009,0.0009,0.0085,0.017
DiffNet,13,7.507620930671692,0.24173545837402344,0.0023,0.004,0.009,0.0023,0.0038,0.0027,0.0033,0.0009,0.0009,0.009,0.0185
DiffNet,14,7.347957789897919,0.14699530601501465,0.0023,0.0043,0.0084,0.0023,0.0035,0.0026,0.0031,0.001,0.0009,0.0095,0.0175
DiffNet,15,7.174496829509735,0.14321017265319824,0.0019,0.0033,0.0084,0.0019,0.0035,0.0024,0.0031,0.0007,0.0009,0.007,0.0175
DiffNet,16,6.9831148982048035,0.14437150955200195,0.0024,0.0043,0.0087,0.0024,0.0037,0.0026,0.0033,0.0009,0.0009,0.009,0.0185
DiffNet,17,6.783588528633118,0.14263105392456055,0.0025,0.0048,0.0087,0.0025,0.0037,0.0027,0.0033,0.001,0.0009,0.0095,0.0185
DiffNet,18,6.575542569160461,0.14226365089416504,0.0024,0.0044,0.0092,0.0024,0.0039,0.0027,0.0033,0.001,0.001,0.0095,0.0195
DiffNet,19,6.364770174026489,0.1419517993927002,0.0024,0.0044,0.0089,0.0024,0.0038,0.0027,0.0034,0.001,0.001,0.0095,0.0195
DiffNet,20,6.151693284511566,0.14209628105163574,0.0025,0.0046,0.0091,0.0025,0.0039,0.0029,0.0035,0.0011,0.001,0.011,0.02
DiffNet,21,5.937649726867676,0.1421034336090088,0.0028,0.0051,0.0091,0.0028,0.004,0.0031,0.0036,0.0013,0.001,0.0125,0.02
DiffNet,22,5.705940276384354,0.14309024810791016,0.0029,0.0051,0.0104,0.0029,0.0043,0.0032,0.0038,0.0013,0.0011,0.0125,0.0215
DiffNet,23,5.510715872049332,0.1434175968170166,0.0029,0.0052,0.0099,0.0029,0.0042,0.0032,0.0037,0.0013,0.0011,0.0125,0.021
DiffNet,24,5.293884664773941,0.14342069625854492,0.0027,0.0049,0.0094,0.0027,0.004,0.003,0.0036,0.0012,0.001,0.0115,0.0205
DiffNet,25,5.087529808282852,0.14244651794433594,0.0029,0.0053,0.0084,0.0029,0.0038,0.0031,0.0036,0.0013,0.001,0.0125,0.019
DiffNet,26,4.8937084674835205,0.14314508438110352,0.003,0.0053,0.0087,0.003,0.0039,0.0033,0.0037,0.0013,0.001,0.0125,0.0195
DiffNet,27,4.700876533985138,0.14300966262817383,0.0032,0.0053,0.009,0.0032,0.0044,0.0037,0.0043,0.0013,0.001,0.0125,0.0205
DiffNet,28,4.519336760044098,0.14366388320922852,0.0031,0.0051,0.0089,0.0031,0.0043,0.0035,0.0041,0.0012,0.001,0.0115,0.0195
DiffNet,29,4.340835928916931,0.1426680088043213,0.0029,0.0047,0.0091,0.0029,0.0043,0.0034,0.0041,0.0011,0.001,0.0105,0.0205
DiffNet,30,4.178280681371689,0.14720368385314941,0.003,0.0049,0.0091,0.003,0.0043,0.0036,0.0042,0.0011,0.001,0.011,0.02
DiffNet,31,4.01024529337883,0.1422739028930664,0.0032,0.0052,0.0089,0.0032,0.0044,0.0039,0.0045,0.0012,0.001,0.012,0.02
DiffNet,32,3.8377822935581207,0.14945197105407715,0.0032,0.0053,0.0092,0.0032,0.0044,0.0038,0.0043,0.0013,0.0011,0.0125,0.021
DiffNet,33,3.688515216112137,0.14302635192871094,0.0034,0.0053,0.0083,0.0034,0.0043,0.0041,0.0045,0.0013,0.001,0.0125,0.019
DiffNet,34,3.559025913476944,0.1433870792388916,0.003,0.0049,0.0086,0.003,0.0042,0.0037,0.0043,0.0011,0.001,0.011,0.02
DiffNet,35,3.394329249858856,0.14262151718139648,0.0029,0.0051,0.0085,0.0029,0.004,0.0035,0.004,0.0012,0.001,0.0115,0.0195
DiffNet,36,3.2856611609458923,0.142225980758667,0.0027,0.0042,0.0082,0.0027,0.004,0.0034,0.0041,0.001,0.001,0.01,0.0195
DiffNet,37,3.160660743713379,0.1423015594482422,0.0027,0.0045,0.008,0.0027,0.0038,0.0032,0.0038,0.0011,0.001,0.0105,0.019
DiffNet,38,3.032196491956711,0.14240145683288574,0.0025,0.0045,0.0078,0.0025,0.0036,0.0029,0.0035,0.0011,0.0009,0.0105,0.0185
DiffNet,39,2.927476167678833,0.14232134819030762,0.0025,0.0045,0.0078,0.0025,0.0036,0.0028,0.0034,0.0011,0.0009,0.0105,0.0185
DiffNet,40,2.819660261273384,0.14228177070617676,0.0025,0.0047,0.0079,0.0025,0.0036,0.0028,0.0033,0.0011,0.0009,0.011,0.0185
