Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.935942888259888,0.45163393020629883,0.0023,0.0032,0.0062,0.0023,0.0034,0.0044,0.0053,0.0015,0.0015,0.015,0.029
DiffNet,2,15.896690726280212,0.24606966972351074,0.0027,0.0031,0.0051,0.0027,0.0035,0.0062,0.0068,0.0016,0.0013,0.0155,0.025
DiffNet,3,15.853508174419403,0.27984189987182617,0.0025,0.0032,0.0067,0.0025,0.0039,0.005,0.006,0.0016,0.0016,0.0155,0.0305
DiffNet,4,15.794718146324158,0.2719883918762207,0.0025,0.0035,0.0068,0.0025,0.0038,0.0045,0.0055,0.0017,0.0016,0.016,0.0305
DiffNet,5,15.712872803211212,0.23984003067016602,0.0031,0.0041,0.0063,0.0031,0.004,0.0056,0.0063,0.0017,0.0014,0.017,0.0275
DiffNet,6,15.596729218959808,0.2737452983856201,0.0028,0.0035,0.0067,0.0028,0.004,0.0053,0.0062,0.0016,0.0015,0.016,0.0295
DiffNet,7,15.437897741794586,0.27672481536865234,0.0025,0.0032,0.006,0.0025,0.0035,0.0049,0.0057,0.0016,0.0014,0.0155,0.0275
DiffNet,8,15.231571853160858,0.24639678001403809,0.0019,0.0023,0.0065,0.0019,0.0035,0.0041,0.0053,0.0012,0.0015,0.0115,0.03
DiffNet,9,14.972443044185638,0.23854732513427734,0.0016,0.0018,0.0049,0.0016,0.0029,0.0037,0.0047,0.0011,0.0013,0.0105,0.0265
DiffNet,10,14.667048513889313,0.27877211570739746,0.0018,0.0024,0.0049,0.0018,0.0029,0.0038,0.0048,0.0013,0.0014,0.013,0.027
DiffNet,11,14.347910463809967,0.2777845859527588,0.002,0.0026,0.0052,0.002,0.0031,0.0044,0.0054,0.0015,0.0014,0.0145,0.0285
DiffNet,12,14.001871824264526,0.2453603744506836,0.0026,0.0036,0.0059,0.0026,0.0036,0.0053,0.0061,0.0019,0.0015,0.019,0.03
DiffNet,13,13.642246007919312,0.2499377727508545,0.0025,0.0032,0.0057,0.0025,0.0035,0.005,0.0058,0.0017,0.0015,0.017,0.0295
DiffNet,14,13.295708954334259,0.2863199710845947,0.0025,0.0036,0.0066,0.0025,0.0038,0.0049,0.006,0.0017,0.0017,0.017,0.0335
DiffNet,15,12.900703012943268,0.27030324935913086,0.0023,0.003,0.0062,0.0023,0.0036,0.0048,0.0059,0.0016,0.0016,0.0155,0.032
DiffNet,16,12.535844504833221,0.2385261058807373,0.0023,0.003,0.0064,0.0023,0.0035,0.0045,0.0056,0.0016,0.0015,0.016,0.0305
