Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,214950.10375213623,0.6662299633026123,0.0651,0.0835,0.1202,0.0651,0.0792,0.109,0.1168,0.0308,0.023,0.271,0.384
SimGCL,2,187637.0076380968,0.3606595993041992,0.0911,0.1123,0.1601,0.0911,0.1089,0.1517,0.1605,0.0403,0.0296,0.3475,0.476
SimGCL,3,180431.90393817425,0.35996460914611816,0.1085,0.1356,0.1848,0.1085,0.1272,0.1763,0.1848,0.0471,0.0335,0.4,0.5225
SimGCL,4,176911.40157055855,0.36496400833129883,0.1223,0.1522,0.2087,0.1223,0.1438,0.1959,0.2047,0.0522,0.0375,0.4325,0.5615
SimGCL,5,173761.16513943672,0.3606233596801758,0.1375,0.1693,0.2318,0.1375,0.1615,0.2186,0.2278,0.0576,0.0414,0.4705,0.6015
SimGCL,6,171276.34049260616,0.36438775062561035,0.1509,0.1853,0.2469,0.1509,0.1747,0.2375,0.2466,0.0627,0.0441,0.5005,0.628
SimGCL,7,169521.49603700638,0.35691404342651367,0.1637,0.1998,0.2628,0.1637,0.1881,0.2542,0.2633,0.0679,0.0473,0.5305,0.6635
SimGCL,8,167615.385440588,0.3632371425628662,0.1761,0.2103,0.2781,0.1761,0.2023,0.275,0.2839,0.0721,0.0502,0.5575,0.689
SimGCL,9,166119.70342302322,0.3646097183227539,0.1879,0.2229,0.2899,0.1879,0.2139,0.2932,0.3021,0.0765,0.0525,0.58,0.7075
SimGCL,10,165038.26132714748,0.3739452362060547,0.1963,0.2322,0.3022,0.1963,0.2238,0.3046,0.3138,0.0802,0.0551,0.595,0.726
SimGCL,11,164318.79691505432,0.35962438583374023,0.2069,0.2433,0.3144,0.2069,0.2347,0.3203,0.3291,0.0844,0.0574,0.618,0.742
SimGCL,12,162961.61972784996,0.3573164939880371,0.2156,0.2534,0.3264,0.2156,0.2443,0.3318,0.3403,0.0882,0.0599,0.6375,0.76
SimGCL,13,161935.93922531605,0.3677096366882324,0.2235,0.2616,0.3376,0.2235,0.2535,0.3451,0.3534,0.0909,0.062,0.6535,0.772
SimGCL,14,161075.49362683296,0.36364245414733887,0.2315,0.2712,0.3515,0.2315,0.2629,0.3563,0.3644,0.0945,0.0644,0.6705,0.788
SimGCL,15,160507.30908739567,0.3562908172607422,0.2382,0.2806,0.3621,0.2382,0.2702,0.363,0.3713,0.0978,0.0666,0.68,0.801
SimGCL,16,159456.15490031242,0.3648107051849365,0.245,0.2875,0.3706,0.245,0.2779,0.3731,0.3817,0.1002,0.0683,0.6885,0.811
SimGCL,17,159683.3798122406,0.3683004379272461,0.2518,0.2953,0.3792,0.2518,0.2851,0.3821,0.3907,0.1036,0.0702,0.702,0.825
SimGCL,18,158692.9634538293,0.3571462631225586,0.2579,0.3037,0.3868,0.2579,0.2911,0.3871,0.3954,0.1066,0.0719,0.711,0.8285
SimGCL,19,158129.79956543446,0.3594989776611328,0.2632,0.3096,0.3932,0.2632,0.2966,0.3937,0.402,0.1088,0.0731,0.719,0.837
SimGCL,20,157609.04830539227,0.36694931983947754,0.2686,0.3158,0.4005,0.2686,0.3025,0.4004,0.4085,0.1115,0.0747,0.7305,0.845
SimGCL,21,157752.11081409454,0.35657286643981934,0.2731,0.3225,0.4062,0.2731,0.3067,0.4047,0.4126,0.1139,0.076,0.74,0.8515
SimGCL,22,157071.60399001837,0.3565385341644287,0.2782,0.328,0.4116,0.2782,0.3117,0.4123,0.4199,0.1161,0.0769,0.7485,0.856
SimGCL,23,156891.45168840885,0.3604111671447754,0.2831,0.3332,0.4166,0.2831,0.3166,0.4172,0.4245,0.1184,0.0781,0.7565,0.86
SimGCL,24,156651.03342431784,0.3634364604949951,0.2865,0.3373,0.4208,0.2865,0.3201,0.4204,0.4279,0.12,0.0792,0.7585,0.865
SimGCL,25,156443.40518808365,0.3589756488800049,0.2917,0.344,0.4255,0.2917,0.3247,0.4268,0.4338,0.1223,0.0803,0.767,0.8685
SimGCL,26,155762.82578027248,0.47873520851135254,0.2954,0.3477,0.4302,0.2954,0.3289,0.4328,0.4398,0.1237,0.0812,0.7715,0.872
SimGCL,27,155958.67660462856,0.35507917404174805,0.2993,0.3524,0.4351,0.2993,0.3328,0.4377,0.4448,0.1254,0.0821,0.7765,0.8785
SimGCL,28,155695.55261778831,0.36196446418762207,0.302,0.3553,0.4394,0.302,0.336,0.4406,0.4478,0.1267,0.0829,0.779,0.882
SimGCL,29,155056.60458660126,0.3628826141357422,0.3044,0.3579,0.4434,0.3044,0.3389,0.4426,0.4497,0.1277,0.0838,0.782,0.884
SimGCL,30,154559.3363417387,0.37018728256225586,0.3076,0.3607,0.4472,0.3076,0.3426,0.4472,0.4545,0.1289,0.0847,0.7855,0.889
SimGCL,31,154698.13343465328,0.3572709560394287,0.3106,0.364,0.451,0.3106,0.3457,0.4519,0.4592,0.1301,0.0853,0.789,0.893
SimGCL,32,154448.46223819256,0.3589792251586914,0.3127,0.3656,0.453,0.3127,0.3481,0.4544,0.4618,0.1307,0.0858,0.7905,0.8955
SimGCL,33,154101.33593833447,0.35671353340148926,0.3157,0.3707,0.4577,0.3157,0.3507,0.4562,0.4633,0.1328,0.0867,0.7975,0.8985
SimGCL,34,153846.3361802101,0.3569014072418213,0.3171,0.3716,0.4595,0.3171,0.3526,0.4574,0.4645,0.1332,0.0872,0.7975,0.8975
SimGCL,35,153795.85938292742,0.35562658309936523,0.3205,0.3746,0.4624,0.3205,0.3559,0.463,0.4702,0.1345,0.0878,0.799,0.8995
