Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,6.271037817001343,0.3712301254272461,0.109,0.1675,0.2208,0.109,0.1235,0.1013,0.1062,0.0211,0.0143,0.2065,0.278
ASLGCN,2,6.268352210521698,0.14550137519836426,0.1327,0.2021,0.2542,0.1327,0.1472,0.1239,0.1289,0.0258,0.0167,0.2525,0.324
ASLGCN,3,6.265307426452637,0.14530658721923828,0.1547,0.2297,0.29,0.1547,0.1717,0.1476,0.1535,0.0295,0.0194,0.2885,0.3715
ASLGCN,4,6.261488914489746,0.1442420482635498,0.1798,0.2613,0.3205,0.1798,0.1966,0.1741,0.1797,0.034,0.0216,0.3295,0.41
ASLGCN,5,6.25665670633316,0.1454174518585205,0.1961,0.2806,0.3482,0.1961,0.2154,0.1911,0.1977,0.0366,0.0237,0.3535,0.448
ASLGCN,6,6.250814080238342,0.14557147026062012,0.2127,0.3061,0.3759,0.2127,0.2328,0.2071,0.214,0.0401,0.0259,0.386,0.4865
ASLGCN,7,6.24372261762619,0.14495229721069336,0.2249,0.3224,0.3941,0.2249,0.2456,0.2196,0.2264,0.0427,0.0275,0.4105,0.5095
ASLGCN,8,6.234793961048126,0.1457827091217041,0.2302,0.3283,0.4127,0.2302,0.2548,0.2252,0.2334,0.0436,0.0289,0.4165,0.532
ASLGCN,9,6.224593102931976,0.14599132537841797,0.2407,0.3445,0.4277,0.2407,0.2648,0.235,0.2428,0.0461,0.03,0.4385,0.55
ASLGCN,10,6.211965620517731,0.1497657299041748,0.2468,0.353,0.4402,0.2468,0.2722,0.2405,0.2488,0.0474,0.031,0.449,0.5655
ASLGCN,11,6.197634994983673,0.14637184143066406,0.2545,0.3625,0.4478,0.2545,0.2792,0.2492,0.257,0.0489,0.0316,0.46,0.573
ASLGCN,12,6.181029856204987,0.14418315887451172,0.2599,0.3687,0.4527,0.2599,0.2842,0.2552,0.2627,0.0497,0.0319,0.4665,0.5725
ASLGCN,13,6.16234165430069,0.14603447914123535,0.2641,0.3755,0.457,0.2641,0.2875,0.2585,0.2653,0.0509,0.0322,0.4785,0.5765
ASLGCN,14,6.140818774700165,0.146470308303833,0.2655,0.3775,0.4604,0.2655,0.2894,0.2602,0.2671,0.0512,0.0326,0.482,0.5845
ASLGCN,15,6.117823481559753,0.14572978019714355,0.269,0.3815,0.4618,0.269,0.2924,0.2637,0.2707,0.0515,0.0326,0.486,0.587
ASLGCN,16,6.09194952249527,0.14454436302185059,0.2703,0.3827,0.4655,0.2703,0.2947,0.2653,0.2727,0.0515,0.033,0.4865,0.5925
ASLGCN,17,6.063187956809998,0.14554071426391602,0.2718,0.3866,0.4706,0.2718,0.2963,0.2665,0.2737,0.0522,0.0335,0.492,0.5985
ASLGCN,18,6.03249317407608,0.14602136611938477,0.2734,0.3901,0.4707,0.2734,0.2972,0.2673,0.2746,0.0527,0.0336,0.4945,0.5985
ASLGCN,19,5.998687505722046,0.14703845977783203,0.274,0.3922,0.4736,0.274,0.2977,0.2673,0.2744,0.0532,0.0338,0.499,0.6045
ASLGCN,20,5.9635655879974365,0.1451854705810547,0.2735,0.3923,0.4742,0.2735,0.2974,0.2665,0.2738,0.0533,0.0338,0.499,0.605
ASLGCN,21,5.9251797795295715,0.14512348175048828,0.2742,0.3931,0.4748,0.2742,0.2982,0.267,0.2744,0.0535,0.034,0.499,0.606
ASLGCN,22,5.883561015129089,0.1455090045928955,0.2718,0.3939,0.4774,0.2718,0.2963,0.2627,0.2704,0.0537,0.0343,0.4995,0.6105
ASLGCN,23,5.8414623737335205,0.14800381660461426,0.2727,0.393,0.4761,0.2727,0.2972,0.2644,0.2721,0.0535,0.0341,0.498,0.6075
ASLGCN,24,5.795182108879089,0.14699053764343262,0.2729,0.3969,0.4762,0.2729,0.2961,0.2629,0.2701,0.0541,0.034,0.504,0.608
ASLGCN,25,5.747381269931793,0.2617485523223877,0.2734,0.3965,0.4752,0.2734,0.2964,0.2642,0.2712,0.0541,0.0339,0.505,0.6065
ASLGCN,26,5.699234485626221,0.1463632583618164,0.2721,0.3957,0.4765,0.2721,0.2957,0.2624,0.2696,0.0542,0.0341,0.5045,0.608
ASLGCN,27,5.645243883132935,0.1455996036529541,0.2716,0.3965,0.4759,0.2716,0.2947,0.2613,0.2684,0.0543,0.034,0.505,0.6075
ASLGCN,28,5.593625962734222,0.14467597007751465,0.2715,0.3947,0.4754,0.2715,0.295,0.2625,0.2696,0.0541,0.0339,0.504,0.606
ASLGCN,29,5.538033187389374,0.1449756622314453,0.2714,0.3934,0.4747,0.2714,0.2951,0.2633,0.2704,0.054,0.0339,0.5035,0.6055
ASLGCN,30,5.47726184129715,0.14534878730773926,0.2702,0.392,0.4779,0.2702,0.295,0.2618,0.2692,0.0539,0.034,0.5015,0.609
ASLGCN,31,5.421597182750702,0.1456587314605713,0.2714,0.3927,0.4782,0.2714,0.296,0.2635,0.2709,0.0541,0.0341,0.5025,0.6095
ASLGCN,32,5.35553252696991,0.14464879035949707,0.2721,0.392,0.4812,0.2721,0.2977,0.2652,0.2727,0.0539,0.0343,0.5025,0.6125
