Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.242740094661713,0.42337870597839355,0.0018,0.0025,0.0057,0.0018,0.0031,0.0028,0.0038,0.0011,0.0013,0.01,0.0245
DiffNet,2,15.20119023323059,0.24448871612548828,0.0026,0.0039,0.0064,0.0026,0.0036,0.0043,0.0051,0.0016,0.0014,0.016,0.028
DiffNet,3,15.155421316623688,0.2396714687347412,0.0023,0.0031,0.0049,0.0023,0.0031,0.0043,0.0051,0.0013,0.0012,0.013,0.024
DiffNet,4,15.093386769294739,0.24402356147766113,0.0023,0.0028,0.0054,0.0023,0.0033,0.0042,0.0051,0.0013,0.0013,0.013,0.026
DiffNet,5,15.00412780046463,0.23937702178955078,0.0025,0.0035,0.0056,0.0025,0.0034,0.0043,0.0051,0.0015,0.0013,0.0145,0.0255
DiffNet,6,14.877322793006897,0.23922419548034668,0.0023,0.003,0.0066,0.0023,0.0037,0.0039,0.0051,0.0013,0.0015,0.0125,0.03
DiffNet,7,14.712592124938965,0.23688054084777832,0.0024,0.0031,0.0053,0.0024,0.0032,0.0043,0.0049,0.0015,0.0012,0.0145,0.024
DiffNet,8,14.491013407707214,0.23647308349609375,0.0024,0.0028,0.0058,0.0024,0.0036,0.0048,0.0057,0.0013,0.0013,0.013,0.0265
DiffNet,9,14.219094574451447,0.24039840698242188,0.0024,0.0028,0.0064,0.0024,0.0037,0.0047,0.0056,0.0013,0.0013,0.013,0.0265
DiffNet,10,13.89588725566864,0.24637150764465332,0.0022,0.0027,0.0061,0.0022,0.0035,0.0047,0.0056,0.0012,0.0013,0.012,0.026
DiffNet,11,13.532127439975739,0.23840022087097168,0.0022,0.0026,0.0058,0.0022,0.0034,0.0045,0.0054,0.0012,0.0013,0.0115,0.025
DiffNet,12,13.118917107582092,0.239943265914917,0.0021,0.0027,0.0058,0.0021,0.0033,0.004,0.005,0.0012,0.0013,0.012,0.025
DiffNet,13,12.697421610355377,0.24017715454101562,0.002,0.0025,0.0058,0.002,0.0032,0.0039,0.0048,0.0013,0.0014,0.0125,0.027
