Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,31.18942952156067,0.7639045715332031,0.005,0.0042,0.0087,0.005,0.0069,0.0137,0.0166,0.0042,0.0044,0.0415,0.084
CSGCN,2,31.18349462747574,0.5755891799926758,0.0062,0.0055,0.0103,0.0062,0.0082,0.0169,0.02,0.0053,0.005,0.0515,0.097
CSGCN,3,31.174204409122467,0.5540382862091064,0.0075,0.0067,0.0126,0.0075,0.0099,0.0201,0.0237,0.0064,0.0063,0.0635,0.118
CSGCN,4,31.158613741397858,0.5449318885803223,0.0081,0.0071,0.013,0.0081,0.0103,0.0212,0.0248,0.0071,0.0064,0.0675,0.12
CSGCN,5,31.13360095024109,0.5430965423583984,0.0078,0.0067,0.0131,0.0078,0.0102,0.021,0.0248,0.0067,0.0063,0.065,0.1215
CSGCN,6,31.09686440229416,0.5592441558837891,0.0074,0.0066,0.0129,0.0074,0.0099,0.02,0.0237,0.0061,0.006,0.0605,0.114
CSGCN,7,31.044271111488342,0.5624353885650635,0.0076,0.0069,0.0126,0.0076,0.0097,0.0201,0.0233,0.0065,0.006,0.064,0.1135
CSGCN,8,30.97585642337799,0.5485479831695557,0.0077,0.0074,0.0129,0.0077,0.0098,0.0198,0.0231,0.0067,0.006,0.066,0.114
CSGCN,9,30.890403866767883,0.5450620651245117,0.0076,0.0071,0.0125,0.0076,0.0096,0.0198,0.0227,0.0066,0.0058,0.0645,0.1075
CSGCN,10,30.78692317008972,0.5448803901672363,0.0072,0.0068,0.0121,0.0072,0.0093,0.0185,0.0217,0.0061,0.0055,0.0585,0.1045
CSGCN,11,30.668289065361023,0.5440826416015625,0.0064,0.0061,0.0112,0.0064,0.0084,0.0163,0.0193,0.0055,0.0052,0.054,0.098
CSGCN,12,30.534584760665894,0.5702462196350098,0.006,0.0056,0.0107,0.006,0.0081,0.0154,0.0186,0.0051,0.0051,0.0495,0.097
CSGCN,13,30.38377022743225,0.5486316680908203,0.0059,0.0054,0.0104,0.0059,0.0079,0.0153,0.0182,0.0052,0.005,0.0505,0.095
CSGCN,14,30.227646112442017,0.5442283153533936,0.0057,0.0052,0.0099,0.0057,0.0077,0.015,0.018,0.005,0.0048,0.048,0.0915
CSGCN,15,30.058922469615936,0.5501017570495605,0.0058,0.0053,0.01,0.0058,0.0076,0.0149,0.0178,0.005,0.0047,0.0485,0.091
