Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.939969718456268,0.5121126174926758,0.0104,0.0134,0.0232,0.0104,0.0142,0.0198,0.0224,0.0054,0.0048,0.0535,0.0925
HAGN,2,15.936051547527313,0.2968134880065918,0.0124,0.015,0.026,0.0124,0.0166,0.0243,0.0273,0.0063,0.0055,0.061,0.1045
HAGN,3,15.930668771266937,0.2969660758972168,0.014,0.018,0.0299,0.014,0.0185,0.0256,0.0288,0.0075,0.0063,0.072,0.12
HAGN,4,15.9222811460495,0.29778289794921875,0.0138,0.0192,0.0328,0.0138,0.0192,0.0237,0.0275,0.0078,0.007,0.0745,0.1315
HAGN,5,15.909070491790771,0.2958824634552002,0.0139,0.0194,0.0333,0.0139,0.0193,0.0239,0.0275,0.0078,0.0068,0.0755,0.13
HAGN,6,15.88988310098648,0.2962679862976074,0.013,0.0186,0.034,0.013,0.0187,0.0228,0.0264,0.0074,0.0065,0.0735,0.1255
HAGN,7,15.862400650978088,0.3084750175476074,0.0119,0.0159,0.0308,0.0119,0.0174,0.0221,0.0256,0.0061,0.006,0.0615,0.1165
HAGN,8,15.824325978755951,0.298969030380249,0.0108,0.0147,0.0258,0.0108,0.0148,0.0196,0.0222,0.0057,0.0049,0.057,0.0965
HAGN,9,15.776741802692413,0.2997398376464844,0.0096,0.0135,0.0242,0.0096,0.0135,0.0171,0.0198,0.0049,0.0045,0.049,0.09
HAGN,10,15.717041075229645,0.29154539108276367,0.0082,0.0118,0.0213,0.0082,0.0118,0.014,0.0165,0.0041,0.0039,0.041,0.0785
HAGN,11,15.64553314447403,0.29099059104919434,0.0076,0.0114,0.019,0.0076,0.0105,0.0127,0.0148,0.004,0.0035,0.04,0.07
HAGN,12,15.565192878246307,0.29129648208618164,0.0073,0.0107,0.0186,0.0073,0.0103,0.0116,0.0138,0.0037,0.0034,0.037,0.0685
HAGN,13,15.473320066928864,0.2916905879974365,0.0064,0.0089,0.0163,0.0064,0.0093,0.0107,0.0127,0.0031,0.0031,0.0315,0.0615
HAGN,14,15.374287188053131,0.29102563858032227,0.0065,0.0089,0.0162,0.0065,0.0093,0.0107,0.0128,0.003,0.0031,0.0305,0.0615
