Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,16.03085571527481,0.5195248126983643,0.0121,0.0159,0.0262,0.0121,0.0161,0.0211,0.024,0.0066,0.0055,0.0625,0.104
ASLGCN,2,16.024877786636353,0.3062162399291992,0.015,0.019,0.0303,0.015,0.0193,0.0276,0.0305,0.008,0.0064,0.0775,0.1215
ASLGCN,3,16.01776498556137,0.3159000873565674,0.0174,0.0229,0.0382,0.0174,0.023,0.0309,0.0345,0.0092,0.0075,0.088,0.1395
ASLGCN,4,16.008155703544617,0.31652379035949707,0.0209,0.0287,0.0434,0.0209,0.0264,0.0354,0.039,0.0107,0.0083,0.101,0.1545
ASLGCN,5,15.995122253894806,0.31081724166870117,0.0237,0.0324,0.0492,0.0237,0.0301,0.0406,0.045,0.0118,0.0096,0.11,0.1745
ASLGCN,6,15.977712452411652,0.3124730587005615,0.0254,0.0339,0.0507,0.0254,0.0318,0.0452,0.0496,0.0124,0.0098,0.117,0.18
ASLGCN,7,15.955259501934052,0.3003048896789551,0.0266,0.0346,0.0543,0.0266,0.034,0.0485,0.0531,0.0128,0.0105,0.124,0.192
ASLGCN,8,15.92571234703064,0.30365967750549316,0.0274,0.0348,0.0555,0.0274,0.0352,0.0503,0.0553,0.0128,0.0107,0.123,0.197
ASLGCN,9,15.889789760112762,0.3007497787475586,0.0276,0.0347,0.0555,0.0276,0.0351,0.0504,0.0547,0.0131,0.0104,0.128,0.192
ASLGCN,10,15.847573697566986,0.3003993034362793,0.027,0.0344,0.0559,0.027,0.0349,0.0492,0.0543,0.0127,0.0107,0.1235,0.197
ASLGCN,11,15.796142637729645,0.2985062599182129,0.0271,0.0361,0.0554,0.0271,0.0342,0.0478,0.0525,0.013,0.0104,0.1255,0.1935
ASLGCN,12,15.738117098808289,0.299560546875,0.0262,0.0351,0.0537,0.0262,0.0333,0.0458,0.0504,0.0127,0.0103,0.123,0.1895
ASLGCN,13,15.670947253704071,0.2978534698486328,0.0254,0.0338,0.0538,0.0254,0.0331,0.0438,0.0487,0.0123,0.0103,0.1185,0.1895
ASLGCN,14,15.596185624599457,0.3019118309020996,0.0244,0.0325,0.0541,0.0244,0.0325,0.0414,0.0466,0.0117,0.0101,0.1125,0.1865
ASLGCN,15,15.512269079685211,0.29817795753479004,0.024,0.0328,0.0525,0.024,0.0313,0.0393,0.0441,0.0116,0.0098,0.1115,0.1825
ASLGCN,16,15.421689987182617,0.2988710403442383,0.0235,0.0318,0.0508,0.0235,0.0306,0.0382,0.0426,0.0116,0.0096,0.1105,0.1765
ASLGCN,17,15.322754442691803,0.42450785636901855,0.0223,0.0303,0.0503,0.0223,0.0298,0.0357,0.0404,0.011,0.0095,0.106,0.1735
ASLGCN,18,15.218822956085205,0.2993748188018799,0.0221,0.0301,0.0496,0.0221,0.0294,0.0353,0.0399,0.0108,0.0094,0.104,0.172
ASLGCN,19,15.101240992546082,0.2992117404937744,0.022,0.0301,0.0484,0.022,0.0289,0.0348,0.0392,0.0107,0.0091,0.1025,0.1665
ASLGCN,20,14.982083082199097,0.297954797744751,0.0213,0.0295,0.0486,0.0213,0.0285,0.034,0.0384,0.0105,0.0091,0.1015,0.166
