Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,11.138250470161438,0.78169846534729,0.1597,0.1882,0.2543,0.1597,0.1846,0.257,0.2665,0.065,0.0459,0.516,0.6495
MHCN,2,9.148362636566162,0.6061420440673828,0.2117,0.2456,0.3207,0.2117,0.241,0.3434,0.3524,0.0897,0.0615,0.6545,0.7795
MHCN,3,7.247739613056183,0.6063227653503418,0.2112,0.2389,0.3139,0.2112,0.2405,0.3451,0.3553,0.0877,0.0606,0.634,0.7765
MHCN,4,6.650710761547089,0.6001017093658447,0.2079,0.236,0.312,0.2079,0.2374,0.343,0.3526,0.087,0.0602,0.6395,0.7765
MHCN,5,6.3212060034275055,0.6028838157653809,0.2117,0.2409,0.3126,0.2117,0.2396,0.3478,0.3562,0.09,0.0612,0.653,0.777
MHCN,6,6.021007269620895,0.6044888496398926,0.2101,0.2379,0.3143,0.2101,0.2397,0.3478,0.3574,0.09,0.062,0.646,0.7815
MHCN,7,5.798208862543106,0.6035149097442627,0.207,0.2349,0.3085,0.207,0.2356,0.3417,0.351,0.09,0.0618,0.6425,0.775
MHCN,8,5.54163733124733,0.6051890850067139,0.2008,0.2239,0.3012,0.2008,0.2301,0.3369,0.346,0.0864,0.0594,0.6275,0.7595
MHCN,9,5.43333725631237,0.6137773990631104,0.2049,0.2286,0.3082,0.2049,0.2356,0.3449,0.3542,0.0887,0.062,0.638,0.772
MHCN,10,5.270148992538452,0.6001663208007812,0.1993,0.2226,0.2996,0.1993,0.2292,0.3384,0.3481,0.0847,0.0598,0.62,0.759
MHCN,11,5.177922755479813,0.5987863540649414,0.1992,0.2223,0.2946,0.1992,0.2273,0.3364,0.3453,0.086,0.0593,0.6225,0.7485
MHCN,12,5.108368441462517,0.6084418296813965,0.2047,0.226,0.3024,0.2047,0.2343,0.3496,0.3583,0.0884,0.0613,0.6365,0.763
MHCN,13,4.991618975996971,0.6086797714233398,0.2013,0.2224,0.2966,0.2013,0.2301,0.346,0.3545,0.0863,0.0599,0.6325,0.754
MHCN,14,4.937793239951134,0.5978848934173584,0.1924,0.2137,0.2889,0.1924,0.2218,0.3299,0.3396,0.083,0.0586,0.608,0.745
MHCN,15,4.837053596973419,0.5967090129852295,0.1981,0.225,0.2941,0.1981,0.2252,0.3334,0.3418,0.0869,0.0594,0.6305,0.7505
MHCN,16,4.79893085360527,0.6006293296813965,0.1929,0.2187,0.2882,0.1929,0.2198,0.3236,0.3325,0.0847,0.0581,0.617,0.746
