Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,24.06214365363121,1.6516594886779785,0.1427,0.1262,0.1766,0.1427,0.1601,0.3245,0.3346,0.0959,0.0697,0.644,0.787
MHCN,2,16.869532585144043,1.488562822341919,0.1463,0.1284,0.1801,0.1463,0.1642,0.3277,0.3378,0.0981,0.0718,0.65,0.7915
MHCN,3,15.354585379362106,1.5076861381530762,0.1521,0.1311,0.1814,0.1521,0.1681,0.3498,0.3587,0.1035,0.0745,0.685,0.811
MHCN,4,14.458931505680084,1.5009703636169434,0.1445,0.1234,0.1721,0.1445,0.1598,0.338,0.3475,0.0994,0.0722,0.663,0.7995
MHCN,5,13.965374231338501,1.4988811016082764,0.1432,0.1211,0.1696,0.1432,0.1581,0.334,0.3428,0.0997,0.0724,0.6665,0.793
MHCN,6,13.521011739969254,1.4989960193634033,0.1384,0.1176,0.1712,0.1384,0.1557,0.3216,0.3316,0.0975,0.0727,0.6555,0.798
MHCN,7,13.160864621400833,1.5109076499938965,0.1362,0.1142,0.1641,0.1362,0.1524,0.3236,0.3333,0.0942,0.0705,0.6455,0.781
MHCN,8,12.844246327877045,1.501654863357544,0.1356,0.1141,0.164,0.1356,0.1511,0.3192,0.3296,0.0956,0.0707,0.6395,0.7895
MHCN,9,12.595541536808014,1.4748797416687012,0.129,0.1079,0.1542,0.129,0.1434,0.3066,0.3174,0.0913,0.0677,0.6175,0.7695
MHCN,10,12.325560957193375,1.482625961303711,0.1295,0.1065,0.1546,0.1295,0.1446,0.3144,0.3242,0.0907,0.0679,0.6255,0.7675
MHCN,11,12.060947060585022,1.4934444427490234,0.1328,0.1072,0.1538,0.1328,0.1466,0.322,0.3318,0.092,0.068,0.6315,0.7755
MHCN,12,11.890728771686554,1.4946272373199463,0.1276,0.1045,0.151,0.1276,0.1419,0.3118,0.3224,0.0894,0.0672,0.619,0.769
MHCN,13,11.787864446640015,1.5108187198638916,0.1304,0.1065,0.1537,0.1304,0.1446,0.3139,0.324,0.0918,0.0675,0.6255,0.7655
MHCN,14,11.54134301841259,1.4852795600891113,0.1232,0.102,0.1472,0.1232,0.1371,0.2968,0.3074,0.0874,0.0652,0.607,0.7595
