Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,4.849127173423767,0.31867551803588867,0.1575,0.2443,0.3058,0.1575,0.1738,0.138,0.1431,0.0275,0.0175,0.2709,0.344
CSGCN,2,4.847252547740936,0.12392115592956543,0.1889,0.2845,0.3539,0.1889,0.2074,0.1686,0.1742,0.0323,0.0206,0.3195,0.4006
CSGCN,3,4.845016360282898,0.12380266189575195,0.2188,0.3265,0.4017,0.2188,0.2389,0.1964,0.2023,0.0374,0.0236,0.3696,0.4562
CSGCN,4,4.842101752758026,0.12195777893066406,0.2462,0.3598,0.4449,0.2462,0.2688,0.2234,0.2299,0.0417,0.0263,0.4071,0.5018
CSGCN,5,4.838460028171539,0.12232708930969238,0.2695,0.3891,0.4772,0.2695,0.2931,0.2472,0.2541,0.0452,0.0282,0.4402,0.5388
CSGCN,6,4.8338868618011475,0.12122011184692383,0.2933,0.4226,0.5009,0.2933,0.3146,0.2709,0.2773,0.0492,0.0299,0.4767,0.5674
CSGCN,7,4.828104317188263,0.1205594539642334,0.3093,0.4437,0.5248,0.3093,0.3313,0.2868,0.2934,0.052,0.0314,0.5003,0.5949
CSGCN,8,4.821079134941101,0.12185859680175781,0.324,0.4625,0.545,0.324,0.3463,0.3019,0.3083,0.0543,0.0327,0.5233,0.6164
CSGCN,9,4.812678039073944,0.12245535850524902,0.3351,0.4782,0.552,0.3351,0.3556,0.3122,0.3182,0.0561,0.0333,0.5388,0.6234
CSGCN,10,4.802589058876038,0.12208676338195801,0.3439,0.4872,0.5643,0.3439,0.365,0.321,0.327,0.0573,0.034,0.5513,0.6355
CSGCN,11,4.790810585021973,0.12314343452453613,0.352,0.4947,0.5768,0.352,0.3743,0.3282,0.3344,0.0586,0.0349,0.5613,0.6495
CSGCN,12,4.7771576046943665,0.12300586700439453,0.3559,0.501,0.586,0.3559,0.3792,0.3317,0.338,0.0594,0.0356,0.5684,0.659
CSGCN,13,4.76144015789032,0.12353181838989258,0.3615,0.5064,0.5936,0.3615,0.3855,0.3374,0.3439,0.0602,0.0361,0.5739,0.665
CSGCN,14,4.74404114484787,0.12264347076416016,0.3672,0.5147,0.5951,0.3672,0.3893,0.342,0.3479,0.0616,0.0364,0.5839,0.6665
CSGCN,15,4.724222838878632,0.12264204025268555,0.3707,0.5187,0.598,0.3707,0.3928,0.3458,0.3517,0.0619,0.0366,0.5864,0.669
CSGCN,16,4.702540814876556,0.12192440032958984,0.3725,0.5246,0.6058,0.3725,0.3946,0.3463,0.3521,0.0628,0.037,0.5924,0.678
CSGCN,17,4.678422629833221,0.12145304679870605,0.3742,0.5254,0.6073,0.3742,0.3967,0.3481,0.3542,0.063,0.0373,0.5919,0.681
CSGCN,18,4.651807427406311,0.12679123878479004,0.3751,0.5275,0.6095,0.3751,0.3976,0.3489,0.3552,0.0632,0.0373,0.5934,0.6835
CSGCN,19,4.623451054096222,0.12192988395690918,0.3768,0.5298,0.611,0.3768,0.399,0.3506,0.357,0.0636,0.0375,0.5949,0.6875
CSGCN,20,4.592495143413544,0.12575602531433105,0.3761,0.5293,0.6126,0.3761,0.3989,0.349,0.3554,0.0638,0.0377,0.5959,0.6885
CSGCN,21,4.559614837169647,0.12405800819396973,0.3768,0.5312,0.6159,0.3768,0.4001,0.3492,0.3558,0.064,0.0379,0.5974,0.693
CSGCN,22,4.524352848529816,0.23745346069335938,0.3759,0.5284,0.6181,0.3759,0.4006,0.349,0.3559,0.0635,0.0381,0.5944,0.6935
CSGCN,23,4.4868775606155396,0.12348270416259766,0.3747,0.5276,0.6171,0.3747,0.3994,0.3478,0.3547,0.0634,0.038,0.5939,0.6925
CSGCN,24,4.448843240737915,0.12253928184509277,0.3744,0.5298,0.6158,0.3744,0.3982,0.347,0.3538,0.0637,0.0379,0.5959,0.691
CSGCN,25,4.407041907310486,0.12214350700378418,0.373,0.5286,0.6169,0.373,0.3973,0.3455,0.3524,0.0636,0.0381,0.5949,0.692
CSGCN,26,4.363860666751862,0.12321686744689941,0.3717,0.5252,0.6185,0.3717,0.3974,0.3452,0.3525,0.0632,0.0381,0.5919,0.6945
CSGCN,27,4.3199567794799805,0.12285208702087402,0.3713,0.5224,0.6204,0.3713,0.3982,0.3456,0.3532,0.0629,0.0383,0.5889,0.698
CSGCN,28,4.271845579147339,0.1217355728149414,0.3697,0.5218,0.6177,0.3697,0.3961,0.3437,0.3511,0.0627,0.0381,0.5894,0.6945
CSGCN,29,4.223012983798981,0.12271809577941895,0.3692,0.5246,0.6159,0.3692,0.3942,0.3421,0.349,0.0631,0.038,0.5929,0.693
CSGCN,30,4.173555314540863,0.12216734886169434,0.3697,0.5253,0.6157,0.3697,0.3946,0.3424,0.3494,0.0629,0.038,0.5924,0.6935
CSGCN,31,4.121470749378204,0.12160897254943848,0.3687,0.5234,0.6133,0.3687,0.3935,0.3416,0.3485,0.0627,0.0378,0.5894,0.6895
CSGCN,32,4.068536102771759,0.12151408195495605,0.3684,0.5225,0.6119,0.3684,0.3929,0.3415,0.3482,0.0627,0.0377,0.5894,0.686
