Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,3.8066259622573853,0.9196093082427979,0.2828,0.3945,0.4833,0.2828,0.3087,0.2826,0.2908,0.0553,0.0353,0.5105,0.628
MHCN,2,2.881069153547287,0.256397008895874,0.3264,0.4509,0.5399,0.3264,0.3524,0.3312,0.3384,0.0654,0.0407,0.592,0.6985
MHCN,3,2.5279302299022675,0.2520477771759033,0.3229,0.4482,0.5366,0.3229,0.349,0.3273,0.3352,0.0653,0.0408,0.581,0.6945
MHCN,4,2.2394819408655167,0.2532200813293457,0.3284,0.459,0.5393,0.3284,0.3523,0.3311,0.3385,0.0676,0.0412,0.596,0.703
MHCN,5,2.081014335155487,0.2516646385192871,0.3273,0.4558,0.5412,0.3273,0.3526,0.3324,0.3398,0.0671,0.0416,0.5985,0.706
MHCN,6,1.9488962441682816,0.25174665451049805,0.3317,0.452,0.5458,0.3317,0.359,0.3431,0.3509,0.0669,0.0416,0.597,0.708
MHCN,7,1.8724297434091568,0.25211429595947266,0.3304,0.4548,0.5432,0.3304,0.3566,0.339,0.3462,0.0677,0.0421,0.601,0.7045
MHCN,8,1.791257530450821,0.2502751350402832,0.3324,0.4534,0.54,0.3324,0.3582,0.3447,0.3519,0.0675,0.0417,0.6025,0.704
MHCN,9,1.7263716906309128,0.25098705291748047,0.3329,0.4515,0.548,0.3329,0.3615,0.3459,0.3539,0.0671,0.0424,0.598,0.7115
MHCN,10,1.6757125556468964,0.25501489639282227,0.3312,0.4553,0.5441,0.3312,0.3572,0.3412,0.3481,0.0678,0.0418,0.6015,0.7025
MHCN,11,1.635826975107193,0.2546110153198242,0.3305,0.4526,0.5414,0.3305,0.3568,0.3431,0.3504,0.0669,0.0417,0.5985,0.7025
MHCN,12,1.5978680104017258,0.25965142250061035,0.3308,0.4494,0.5428,0.3308,0.3584,0.3448,0.3527,0.067,0.042,0.591,0.704
MHCN,13,1.5872027426958084,0.26502442359924316,0.3316,0.4533,0.5401,0.3316,0.3573,0.347,0.3539,0.0673,0.0416,0.5995,0.6965
MHCN,14,1.5470963716506958,0.2564997673034668,0.3303,0.4504,0.542,0.3303,0.3572,0.3456,0.3528,0.0669,0.0417,0.596,0.6995
MHCN,15,1.504654124379158,0.2588663101196289,0.3314,0.4518,0.5424,0.3314,0.3577,0.3468,0.3541,0.0675,0.0417,0.598,0.704
MHCN,16,1.4995382875204086,0.2645421028137207,0.3277,0.4465,0.5449,0.3277,0.3563,0.3435,0.3512,0.0669,0.0422,0.5915,0.706
MHCN,17,1.4550215601921082,0.2536916732788086,0.328,0.4453,0.5386,0.328,0.355,0.3451,0.3525,0.0667,0.0414,0.593,0.7
MHCN,18,1.4416994601488113,0.25194859504699707,0.3211,0.4399,0.5355,0.3211,0.349,0.3363,0.3434,0.0658,0.0413,0.5885,0.692
MHCN,19,1.4115025252103806,0.38366127014160156,0.322,0.4403,0.5348,0.322,0.3496,0.337,0.3444,0.0659,0.0413,0.5885,0.6925
MHCN,20,1.3978594094514847,0.26064562797546387,0.3215,0.4432,0.5321,0.3215,0.3477,0.3355,0.3426,0.0665,0.0413,0.5895,0.69
