Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.940039694309235,0.5067422389984131,0.0109,0.0149,0.0244,0.0109,0.0145,0.0186,0.0211,0.0056,0.0049,0.0555,0.094
CSGCN,2,15.936488926410675,0.28330445289611816,0.0129,0.015,0.0266,0.0129,0.0173,0.0247,0.0278,0.0062,0.0056,0.0605,0.1085
CSGCN,3,15.931704699993134,0.2933957576751709,0.0152,0.0175,0.0305,0.0152,0.0199,0.0295,0.0326,0.0072,0.0062,0.07,0.116
CSGCN,4,15.924606382846832,0.29187631607055664,0.0169,0.0219,0.0353,0.0169,0.0218,0.0316,0.0349,0.0086,0.007,0.084,0.132
CSGCN,5,15.914382100105286,0.2858455181121826,0.0182,0.0236,0.0412,0.0182,0.0246,0.0338,0.038,0.0093,0.0081,0.0895,0.1535
CSGCN,6,15.899839103221893,0.2938694953918457,0.0194,0.0259,0.0461,0.0194,0.0267,0.035,0.0398,0.0098,0.0088,0.0955,0.166
CSGCN,7,15.880177080631256,0.2926521301269531,0.022,0.0311,0.0469,0.022,0.028,0.0364,0.0405,0.0113,0.0092,0.111,0.173
CSGCN,8,15.854935646057129,0.2870054244995117,0.0217,0.0295,0.0508,0.0217,0.0296,0.0363,0.0416,0.0108,0.0098,0.105,0.1865
CSGCN,9,15.82380211353302,0.28606152534484863,0.0215,0.0295,0.0502,0.0215,0.0292,0.0358,0.0411,0.0109,0.0098,0.106,0.185
CSGCN,10,15.784808576107025,0.3058338165283203,0.0209,0.0291,0.0505,0.0209,0.029,0.0352,0.0408,0.0108,0.0099,0.106,0.188
CSGCN,11,15.738227903842926,0.2884867191314697,0.0207,0.0288,0.0492,0.0207,0.0284,0.0342,0.0396,0.0109,0.0097,0.106,0.1855
CSGCN,12,15.684484899044037,0.28213953971862793,0.0201,0.0268,0.0502,0.0201,0.0288,0.0339,0.0397,0.0105,0.0099,0.102,0.1865
CSGCN,13,15.623338043689728,0.29783177375793457,0.0197,0.0262,0.049,0.0197,0.0282,0.0331,0.0388,0.0103,0.0098,0.1,0.1845
CSGCN,14,15.55593228340149,0.29252004623413086,0.0193,0.0263,0.0474,0.0193,0.0271,0.0321,0.0373,0.0101,0.0092,0.0985,0.1765
CSGCN,15,15.479067862033844,0.40935587882995605,0.0191,0.0263,0.0445,0.0191,0.0259,0.0317,0.0362,0.0101,0.0087,0.098,0.165
CSGCN,16,15.39599895477295,0.29280972480773926,0.0189,0.0255,0.0434,0.0189,0.0254,0.0319,0.0361,0.0101,0.0084,0.0975,0.16
CSGCN,17,15.307027220726013,0.29224491119384766,0.0183,0.0252,0.0413,0.0183,0.0242,0.0308,0.0348,0.0099,0.008,0.095,0.1535
CSGCN,18,15.209929645061493,0.28483152389526367,0.0181,0.0245,0.0407,0.0181,0.0239,0.031,0.0349,0.0097,0.0079,0.093,0.1505
