Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,12.474865317344666,0.4627659320831299,0.0103,0.0151,0.0265,0.0103,0.0146,0.0163,0.0193,0.0053,0.0049,0.05,0.0935
CSGCN,2,12.472832202911377,0.3730940818786621,0.0115,0.0165,0.031,0.0115,0.0169,0.0177,0.0212,0.0057,0.0057,0.056,0.1095
CSGCN,3,12.470545291900635,0.24613308906555176,0.0142,0.0204,0.0344,0.0142,0.0191,0.0224,0.0254,0.0073,0.0061,0.072,0.1175
CSGCN,4,12.467593371868134,0.24590659141540527,0.015,0.021,0.0401,0.015,0.0217,0.0243,0.0282,0.0077,0.0071,0.0755,0.1345
CSGCN,5,12.463592648506165,0.2637491226196289,0.0169,0.0232,0.0427,0.0169,0.0239,0.0284,0.0323,0.0081,0.0074,0.0805,0.1375
CSGCN,6,12.458330810070038,0.27645015716552734,0.0186,0.0265,0.0453,0.0186,0.0253,0.0301,0.0339,0.0089,0.0077,0.0875,0.1425
CSGCN,7,12.451659858226776,0.2451333999633789,0.0208,0.0299,0.0506,0.0208,0.0281,0.0333,0.0375,0.01,0.0085,0.095,0.158
CSGCN,8,12.44314730167389,0.24752473831176758,0.0222,0.0315,0.0525,0.0222,0.0296,0.036,0.0402,0.0105,0.0088,0.1005,0.1635
CSGCN,9,12.432318210601807,0.2465832233428955,0.0222,0.0321,0.0538,0.0222,0.0297,0.0348,0.039,0.0107,0.0089,0.102,0.164
CSGCN,10,12.41939902305603,0.24514412879943848,0.0214,0.0309,0.0568,0.0214,0.0302,0.0333,0.038,0.0106,0.0093,0.1005,0.171
CSGCN,11,12.403680860996246,0.2441554069519043,0.0211,0.031,0.056,0.0211,0.0299,0.0329,0.0379,0.0102,0.0093,0.0975,0.17
CSGCN,12,12.384839594364166,0.24413371086120605,0.0207,0.0294,0.059,0.0207,0.031,0.033,0.0389,0.0099,0.0097,0.093,0.179
CSGCN,13,12.362790763378143,0.24410295486450195,0.02,0.0289,0.061,0.02,0.031,0.0311,0.0373,0.0098,0.01,0.0925,0.1855
CSGCN,14,12.337760388851166,0.24425101280212402,0.0194,0.0285,0.0598,0.0194,0.0301,0.0302,0.0361,0.0093,0.0096,0.089,0.176
CSGCN,15,12.308532416820526,0.24598908424377441,0.0194,0.0281,0.0588,0.0194,0.0299,0.0308,0.0364,0.0093,0.0094,0.0895,0.1725
CSGCN,16,12.27720820903778,0.2686443328857422,0.0187,0.0274,0.0558,0.0187,0.0283,0.0296,0.0349,0.0089,0.0089,0.086,0.1655
CSGCN,17,12.241782307624817,0.26151323318481445,0.0178,0.0259,0.0532,0.0178,0.0271,0.0286,0.034,0.0083,0.0084,0.0795,0.1575
CSGCN,18,12.202774703502655,0.2695348262786865,0.0176,0.0264,0.0504,0.0176,0.0258,0.0278,0.0324,0.0084,0.008,0.081,0.15
CSGCN,19,12.16158938407898,0.24293947219848633,0.0171,0.0248,0.05,0.0171,0.0256,0.0277,0.0324,0.0081,0.0078,0.0785,0.148
CSGCN,20,12.115811347961426,0.2447974681854248,0.0169,0.0248,0.0505,0.0169,0.0257,0.0269,0.0318,0.008,0.008,0.078,0.151
