Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.94002515077591,0.5838713645935059,0.0117,0.0151,0.0253,0.0117,0.0155,0.0218,0.0246,0.006,0.0051,0.06,0.1015
LightGCN,2,15.936483979225159,0.28167295455932617,0.0141,0.0188,0.0298,0.0141,0.0184,0.0265,0.0296,0.0069,0.0059,0.069,0.115
LightGCN,3,15.931731760501862,0.25950026512145996,0.0169,0.0208,0.0377,0.0169,0.0232,0.0327,0.0368,0.0084,0.0076,0.082,0.1425
LightGCN,4,15.92472106218338,0.2526130676269531,0.0197,0.0261,0.0423,0.0197,0.0257,0.0368,0.0407,0.0102,0.0084,0.098,0.156
LightGCN,5,15.914319217205048,0.2808675765991211,0.0208,0.0277,0.0457,0.0208,0.0273,0.0374,0.0417,0.0107,0.009,0.1025,0.167
LightGCN,6,15.899951577186584,0.28241944313049316,0.0209,0.0279,0.0458,0.0209,0.0277,0.0378,0.0425,0.0106,0.0092,0.1015,0.1715
LightGCN,7,15.880206882953644,0.2820127010345459,0.0214,0.0279,0.048,0.0214,0.0289,0.0392,0.0439,0.0108,0.0096,0.1045,0.1735
LightGCN,8,15.855213284492493,0.28081774711608887,0.0215,0.0276,0.0475,0.0215,0.0288,0.0388,0.0436,0.011,0.0095,0.106,0.176
LightGCN,9,15.823671817779541,0.2774851322174072,0.0213,0.0273,0.0478,0.0213,0.0287,0.0384,0.0432,0.0109,0.0094,0.1035,0.1735
LightGCN,10,15.785645484924316,0.2920522689819336,0.0211,0.0272,0.0485,0.0211,0.0286,0.0379,0.0424,0.011,0.0094,0.106,0.173
LightGCN,11,15.738974750041962,0.258770227432251,0.0197,0.0264,0.0485,0.0197,0.0275,0.0346,0.0394,0.0106,0.0093,0.1025,0.1735
LightGCN,12,15.686504065990448,0.25937557220458984,0.02,0.0281,0.0477,0.02,0.0268,0.0337,0.0379,0.011,0.0091,0.1065,0.17
LightGCN,13,15.625328063964844,0.2816500663757324,0.0184,0.0258,0.0463,0.0184,0.0257,0.031,0.0355,0.0102,0.009,0.0995,0.1665
LightGCN,14,15.558366596698761,0.28191208839416504,0.0178,0.0249,0.0469,0.0178,0.0257,0.0299,0.0349,0.0097,0.009,0.094,0.168
LightGCN,15,15.484135925769806,0.2823331356048584,0.0172,0.0248,0.0463,0.0172,0.0249,0.0286,0.0336,0.0092,0.0088,0.0895,0.1635
LightGCN,16,15.401960134506226,0.2827296257019043,0.0169,0.024,0.0449,0.0169,0.0245,0.0289,0.0337,0.0087,0.0085,0.086,0.158
LightGCN,17,15.315291583538055,0.27580952644348145,0.0163,0.0237,0.0438,0.0163,0.0237,0.0269,0.0318,0.0086,0.0083,0.0835,0.1555
LightGCN,18,15.218211770057678,0.27923107147216797,0.0163,0.0241,0.0441,0.0163,0.0237,0.0271,0.0319,0.0087,0.0084,0.0845,0.1555
LightGCN,19,15.120074927806854,0.2776949405670166,0.0156,0.0227,0.0433,0.0156,0.0231,0.0258,0.0306,0.0083,0.0081,0.081,0.151
