Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,30.496285676956177,0.681771993637085,0.0063,0.0062,0.0106,0.0063,0.008,0.0159,0.0185,0.0055,0.005,0.053,0.0935
LightGCN,2,30.490594804286957,0.5050771236419678,0.0066,0.0059,0.0107,0.0066,0.0085,0.0179,0.0212,0.0054,0.0053,0.0535,0.102
LightGCN,3,30.481644093990326,0.5033824443817139,0.0081,0.0071,0.0135,0.0081,0.0107,0.0223,0.0263,0.0067,0.0067,0.065,0.1245
LightGCN,4,30.466688096523285,0.5135173797607422,0.0089,0.0078,0.014,0.0089,0.0113,0.0234,0.0273,0.0077,0.0071,0.0725,0.1305
LightGCN,5,30.442961931228638,0.5078134536743164,0.0093,0.008,0.0137,0.0093,0.0114,0.0241,0.0277,0.0077,0.0068,0.074,0.127
LightGCN,6,30.40796250104904,0.5024151802062988,0.0088,0.0077,0.0137,0.0088,0.0111,0.0229,0.0265,0.0073,0.0068,0.0685,0.1225
LightGCN,7,30.360059022903442,0.4941723346710205,0.0078,0.0068,0.0133,0.0078,0.0105,0.0199,0.024,0.0067,0.0067,0.0625,0.1225
LightGCN,8,30.295790374279022,0.5002679824829102,0.0076,0.0066,0.0126,0.0076,0.0101,0.0194,0.023,0.0064,0.0062,0.0615,0.114
LightGCN,9,30.217206060886383,0.49065113067626953,0.0069,0.0059,0.0119,0.0069,0.0095,0.018,0.0216,0.0058,0.0059,0.0565,0.1085
LightGCN,10,30.120176911354065,0.48584651947021484,0.0065,0.0058,0.011,0.0065,0.0087,0.0167,0.02,0.0057,0.0056,0.056,0.104
LightGCN,11,30.00806164741516,0.4892442226409912,0.0063,0.0058,0.0107,0.0063,0.0082,0.0155,0.0185,0.0058,0.0054,0.056,0.1005
LightGCN,12,29.88456904888153,0.480560302734375,0.0058,0.0053,0.0105,0.0058,0.008,0.0143,0.0175,0.0053,0.0053,0.0495,0.0975
LightGCN,13,29.742110013961792,0.4974830150604248,0.0053,0.0049,0.0097,0.0053,0.0074,0.0129,0.0157,0.005,0.0051,0.049,0.093
LightGCN,14,29.590756714344025,0.49307942390441895,0.0054,0.0048,0.0094,0.0054,0.0074,0.0137,0.0166,0.005,0.005,0.0485,0.0905
LightGCN,15,29.428961038589478,0.4871675968170166,0.0055,0.0046,0.0097,0.0055,0.0076,0.0142,0.017,0.0048,0.005,0.047,0.0905
LightGCN,16,29.25826406478882,0.4870147705078125,0.0055,0.0046,0.0096,0.0055,0.0076,0.0145,0.0175,0.0048,0.005,0.0455,0.091
