Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,66694.5895690918,0.36745715141296387,0.2862,0.4145,0.492,0.2862,0.3085,0.271,0.2781,0.0544,0.0336,0.5115,0.614
SimGCL,2,63361.30422973633,0.15890812873840332,0.3489,0.4892,0.5711,0.3489,0.3728,0.3382,0.3452,0.0655,0.0399,0.604,0.7055
SimGCL,3,61802.782806396484,0.15689468383789062,0.3896,0.538,0.6166,0.3896,0.4128,0.3819,0.3883,0.0728,0.0435,0.661,0.7515
SimGCL,4,60422.462478637695,0.16710519790649414,0.4176,0.5655,0.6512,0.4176,0.4432,0.4127,0.4196,0.0772,0.0464,0.6935,0.791
SimGCL,5,59798.69151306152,0.1596682071685791,0.4407,0.5944,0.6783,0.4407,0.4661,0.436,0.4429,0.0815,0.0488,0.7235,0.8215
SimGCL,6,58826.797912597656,0.1575300693511963,0.4567,0.6147,0.6927,0.4567,0.4804,0.4518,0.4578,0.085,0.05,0.7495,0.8345
SimGCL,7,58299.898834228516,0.15691089630126953,0.4716,0.6346,0.7085,0.4716,0.494,0.4672,0.4723,0.0884,0.0514,0.7745,0.8475
SimGCL,8,57873.1120300293,0.15650391578674316,0.4835,0.6477,0.7239,0.4835,0.5067,0.4786,0.4839,0.0907,0.0528,0.7865,0.861
SimGCL,9,57707.8946685791,0.1599736213684082,0.4949,0.6577,0.7404,0.4949,0.52,0.4914,0.497,0.0926,0.0543,0.799,0.879
SimGCL,10,57433.329162597656,0.1565709114074707,0.5039,0.6676,0.7498,0.5039,0.5292,0.5012,0.5066,0.0942,0.0552,0.81,0.8875
SimGCL,11,56993.15213012695,0.16118526458740234,0.5162,0.6829,0.7625,0.5162,0.5405,0.5133,0.5185,0.0969,0.0563,0.8245,0.899
SimGCL,12,56873.95756530762,0.15740442276000977,0.5254,0.6929,0.7743,0.5254,0.5505,0.5236,0.5288,0.0986,0.0575,0.8345,0.9085
SimGCL,13,56974.42414855957,0.15616297721862793,0.5343,0.7026,0.7841,0.5343,0.5595,0.5328,0.538,0.1003,0.0584,0.843,0.915
SimGCL,14,56637.69093322754,0.15743565559387207,0.5422,0.7115,0.7888,0.5422,0.5663,0.541,0.5456,0.1021,0.059,0.8535,0.9175
SimGCL,15,56247.54783630371,0.15725111961364746,0.5514,0.7215,0.7986,0.5514,0.5754,0.5501,0.5547,0.1037,0.0598,0.863,0.9255
SimGCL,16,56299.45610046387,0.15700173377990723,0.5577,0.7283,0.8039,0.5577,0.5813,0.5563,0.5606,0.1051,0.0604,0.8695,0.9285
SimGCL,17,56263.23764038086,0.15992045402526855,0.565,0.7376,0.8067,0.565,0.5869,0.563,0.5669,0.1069,0.0607,0.878,0.9305
SimGCL,18,55873.90948486328,0.15672874450683594,0.5706,0.7437,0.8109,0.5706,0.5918,0.5682,0.572,0.1082,0.0611,0.8835,0.934
SimGCL,19,56062.38655090332,0.1572585105895996,0.5769,0.7536,0.8171,0.5769,0.5969,0.5736,0.5768,0.1097,0.0617,0.8935,0.94
SimGCL,20,55912.651107788086,0.15677356719970703,0.5809,0.7562,0.8203,0.5809,0.6012,0.5781,0.5813,0.1103,0.062,0.8955,0.9405
SimGCL,21,55562.99607849121,0.15728259086608887,0.586,0.7616,0.8256,0.586,0.6062,0.5828,0.5861,0.1113,0.0626,0.8975,0.9435
SimGCL,22,55793.137603759766,0.15719056129455566,0.5893,0.7662,0.8295,0.5893,0.6093,0.5854,0.5886,0.1122,0.063,0.9005,0.945
SimGCL,23,55380.50323486328,0.15916204452514648,0.592,0.7683,0.8331,0.592,0.6125,0.5883,0.5915,0.1126,0.0634,0.904,0.9475
SimGCL,24,55589.33135986328,0.1559767723083496,0.5959,0.772,0.8372,0.5959,0.6166,0.5923,0.5956,0.1133,0.0638,0.905,0.95
SimGCL,25,55520.59634399414,0.2646751403808594,0.5991,0.7759,0.8388,0.5991,0.6192,0.5958,0.5987,0.114,0.064,0.9095,0.949
SimGCL,26,55551.66899108887,0.15791869163513184,0.6022,0.78,0.8404,0.6022,0.6217,0.5985,0.6012,0.1147,0.0642,0.9135,0.95
SimGCL,27,55216.59957885742,0.1560192108154297,0.6048,0.7829,0.8432,0.6048,0.6243,0.6008,0.6035,0.1153,0.0645,0.9155,0.9515
SimGCL,28,55237.168380737305,0.15768933296203613,0.6075,0.7857,0.8453,0.6075,0.6269,0.6033,0.6058,0.1157,0.0648,0.918,0.953
SimGCL,29,55064.08442687988,0.16122078895568848,0.6103,0.7889,0.8479,0.6103,0.6295,0.6062,0.6085,0.1164,0.065,0.9215,0.953
SimGCL,30,55082.02143859863,0.1573486328125,0.6132,0.7911,0.8504,0.6132,0.6325,0.6088,0.6113,0.1168,0.0653,0.9205,0.9555
SimGCL,31,54854.6953125,0.15696978569030762,0.6156,0.7927,0.8521,0.6156,0.6351,0.6116,0.614,0.1171,0.0656,0.9235,0.956
SimGCL,32,55239.00079345703,0.15622997283935547,0.6184,0.7971,0.8534,0.6184,0.6367,0.6135,0.6157,0.1182,0.0656,0.926,0.957
SimGCL,33,54811.31578063965,0.1575310230255127,0.62,0.7972,0.8551,0.62,0.6389,0.6155,0.6177,0.1181,0.0659,0.927,0.9575
SimGCL,34,54758.20799255371,0.1577005386352539,0.623,0.801,0.857,0.623,0.6413,0.6177,0.6198,0.1189,0.0661,0.9295,0.958
SimGCL,35,54744.37419128418,0.15938115119934082,0.6243,0.8023,0.858,0.6243,0.6426,0.6197,0.6215,0.1191,0.0662,0.932,0.9585
SimGCL,36,54939.06854248047,0.15688014030456543,0.6262,0.8046,0.8605,0.6262,0.6445,0.6213,0.6232,0.1197,0.0664,0.9325,0.9595
SimGCL,37,54839.246520996094,0.15967512130737305,0.6271,0.8058,0.862,0.6271,0.6454,0.6222,0.6241,0.1199,0.0666,0.933,0.9605
SimGCL,38,54828.87254333496,0.15762782096862793,0.6292,0.8079,0.8642,0.6292,0.6475,0.624,0.6259,0.1204,0.0668,0.9335,0.9615
SimGCL,39,54671.47329711914,0.1545884609222412,0.6307,0.8093,0.8644,0.6307,0.6487,0.6252,0.6271,0.1207,0.0669,0.935,0.9625
SimGCL,40,55031.558532714844,0.15889382362365723,0.6329,0.812,0.8674,0.6329,0.651,0.6276,0.6295,0.1213,0.0672,0.936,0.964
SimGCL,41,54469.57972717285,0.1586620807647705,0.6335,0.8116,0.8697,0.6335,0.6524,0.6284,0.6305,0.1212,0.0674,0.934,0.9645
SimGCL,42,54653.27323913574,0.16206836700439453,0.6345,0.8143,0.8709,0.6345,0.653,0.6281,0.63,0.1218,0.0675,0.9375,0.9655
SimGCL,43,54447.0192565918,0.1694788932800293,0.6355,0.8149,0.8714,0.6355,0.6539,0.6291,0.6311,0.122,0.0676,0.936,0.965
SimGCL,44,54539.91096496582,0.15788722038269043,0.6371,0.8159,0.8736,0.6371,0.6558,0.6305,0.6324,0.1222,0.0678,0.938,0.9665
SimGCL,45,54569.762451171875,0.15577101707458496,0.6386,0.8182,0.8747,0.6386,0.6569,0.632,0.634,0.1227,0.0679,0.939,0.967
SimGCL,46,54502.34524536133,0.15581512451171875,0.6395,0.8194,0.8757,0.6395,0.6578,0.6322,0.6342,0.1229,0.0681,0.94,0.9685
SimGCL,47,54444.1530456543,0.15646815299987793,0.6418,0.8206,0.8765,0.6418,0.6599,0.6354,0.6373,0.1232,0.0682,0.9405,0.969
SimGCL,48,54556.64106750488,0.1567838191986084,0.6415,0.82,0.8786,0.6415,0.6605,0.6355,0.6373,0.1231,0.0684,0.942,0.9695
SimGCL,49,54581.68408203125,0.1550912857055664,0.643,0.8211,0.8799,0.643,0.662,0.6366,0.6386,0.1234,0.0685,0.942,0.9715
SimGCL,50,54365.78623962402,0.15667319297790527,0.6435,0.8214,0.8811,0.6435,0.6628,0.6369,0.6389,0.1234,0.0686,0.942,0.971
SimGCL,51,54478.29180908203,0.15672755241394043,0.6449,0.8237,0.8823,0.6449,0.6639,0.638,0.6398,0.1238,0.0688,0.9445,0.9725
SimGCL,52,54407.377685546875,0.15751242637634277,0.6459,0.8249,0.882,0.6459,0.6644,0.6385,0.6404,0.124,0.0687,0.9445,0.9715
SimGCL,53,54371.15155029297,0.15692949295043945,0.6466,0.8257,0.8838,0.6466,0.6655,0.6391,0.641,0.1242,0.0689,0.945,0.974
SimGCL,54,54255.206771850586,0.2515730857849121,0.6483,0.8273,0.8849,0.6483,0.667,0.6401,0.6421,0.1246,0.0691,0.945,0.9745
SimGCL,55,54154.54835510254,0.1600022315979004,0.6492,0.8275,0.8854,0.6492,0.668,0.6417,0.6437,0.1247,0.0691,0.945,0.974
SimGCL,56,54174.8313293457,0.15691399574279785,0.6507,0.829,0.8849,0.6507,0.6688,0.6427,0.6449,0.1251,0.0691,0.9435,0.974
SimGCL,57,54369.68492126465,0.15722155570983887,0.6513,0.8298,0.8868,0.6513,0.6698,0.6428,0.6449,0.1252,0.0692,0.945,0.9755
SimGCL,58,54256.775955200195,0.15769171714782715,0.6527,0.8318,0.8865,0.6527,0.6704,0.6439,0.6459,0.1256,0.0692,0.946,0.9755
SimGCL,59,54292.07356262207,0.15665459632873535,0.653,0.8314,0.8864,0.653,0.6708,0.644,0.6461,0.1257,0.0692,0.945,0.9755
SimGCL,60,53999.89308166504,0.1582343578338623,0.654,0.8326,0.8878,0.654,0.6719,0.6448,0.647,0.1259,0.0693,0.946,0.977
SimGCL,61,54309.811935424805,0.15688347816467285,0.6544,0.8337,0.8878,0.6544,0.6719,0.6448,0.647,0.1262,0.0693,0.9455,0.9765
SimGCL,62,54386.16052246094,0.1578047275543213,0.6557,0.8346,0.8892,0.6557,0.6733,0.6462,0.6483,0.1264,0.0695,0.947,0.977
SimGCL,63,54217.38511657715,0.15697693824768066,0.6565,0.8351,0.8893,0.6565,0.674,0.647,0.6492,0.1266,0.0695,0.9475,0.977
SimGCL,64,53935.04470825195,0.15597867965698242,0.6577,0.8364,0.8895,0.6577,0.6748,0.6478,0.6499,0.1269,0.0695,0.9475,0.977
SimGCL,65,53965.04098510742,0.1593611240386963,0.6584,0.8358,0.8897,0.6584,0.6759,0.6488,0.651,0.1268,0.0696,0.9465,0.9765
SimGCL,66,54065.92771911621,0.15874624252319336,0.6594,0.838,0.8897,0.6594,0.6761,0.6487,0.6508,0.1273,0.0695,0.948,0.9765
SimGCL,67,53942.4598236084,0.15728449821472168,0.6598,0.839,0.8904,0.6598,0.6765,0.6493,0.6514,0.1274,0.0696,0.949,0.9775
SimGCL,68,54007.431381225586,0.1572716236114502,0.661,0.8399,0.8913,0.661,0.6777,0.6501,0.6521,0.1277,0.0697,0.9495,0.9765
SimGCL,69,53830.76400756836,0.15685510635375977,0.662,0.8413,0.8925,0.662,0.6786,0.651,0.6531,0.1279,0.0699,0.95,0.978
SimGCL,70,54043.09999084473,0.15782380104064941,0.6612,0.8402,0.8923,0.6612,0.6781,0.6501,0.6522,0.1278,0.0699,0.949,0.978
SimGCL,71,53908.496658325195,0.16604924201965332,0.6616,0.8405,0.8932,0.6616,0.6788,0.6506,0.6526,0.1277,0.07,0.95,0.9775
