Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.93998122215271,0.4970569610595703,0.0095,0.0127,0.0226,0.0095,0.0132,0.0186,0.0212,0.0052,0.0046,0.0505,0.088
HAGN,2,15.936135709285736,0.30720090866088867,0.0131,0.0183,0.0293,0.0131,0.017,0.023,0.0257,0.0073,0.0058,0.072,0.112
HAGN,3,15.930798530578613,0.3026309013366699,0.0161,0.0218,0.0386,0.0161,0.0219,0.0285,0.0321,0.0083,0.007,0.082,0.135
HAGN,4,15.922388970851898,0.29686951637268066,0.0172,0.0236,0.038,0.0172,0.0225,0.029,0.0325,0.0086,0.007,0.0845,0.135
HAGN,5,15.90944516658783,0.3064844608306885,0.0162,0.0218,0.0337,0.0162,0.0206,0.0265,0.0293,0.0078,0.0062,0.077,0.1185
HAGN,6,15.889815509319305,0.29293298721313477,0.0135,0.0185,0.0295,0.0135,0.0178,0.0214,0.0245,0.0063,0.0055,0.0625,0.1075
HAGN,7,15.861235201358795,0.3062896728515625,0.0099,0.0132,0.0242,0.0099,0.014,0.016,0.0189,0.0044,0.0044,0.044,0.0865
HAGN,8,15.82181453704834,0.3036806583404541,0.007,0.0108,0.0192,0.007,0.0102,0.0104,0.0125,0.0037,0.0036,0.0365,0.07
HAGN,9,15.770827889442444,0.29708170890808105,0.0048,0.0075,0.0149,0.0048,0.0075,0.0078,0.0094,0.003,0.0028,0.0295,0.054
HAGN,10,15.707925200462341,0.2893686294555664,0.004,0.0056,0.0128,0.004,0.0066,0.0067,0.0085,0.0025,0.0026,0.024,0.0505
HAGN,11,15.632974863052368,0.2904698848724365,0.0038,0.0054,0.0117,0.0038,0.006,0.0064,0.0078,0.0025,0.0023,0.024,0.046
HAGN,12,15.548625469207764,0.2878761291503906,0.0036,0.0052,0.0102,0.0036,0.0055,0.006,0.0073,0.0024,0.0022,0.023,0.044
HAGN,13,15.460193157196045,0.28524303436279297,0.0036,0.005,0.0085,0.0036,0.005,0.0062,0.0073,0.0024,0.002,0.023,0.04
HAGN,14,15.360055387020111,0.28530311584472656,0.0033,0.0045,0.0082,0.0033,0.0047,0.0056,0.0066,0.0023,0.0019,0.0215,0.0375
HAGN,15,15.25766807794571,0.4094693660736084,0.0033,0.0048,0.0076,0.0033,0.0045,0.0054,0.0065,0.0021,0.0018,0.0195,0.035
