Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,38.799766063690186,0.9312691688537598,0.0029,0.0038,0.0071,0.0029,0.0042,0.0053,0.0063,0.0017,0.0016,0.0164,0.0314
DiffNet,2,38.687741577625275,0.6386826038360596,0.0028,0.004,0.0073,0.0028,0.0042,0.0049,0.006,0.0018,0.0016,0.0178,0.0328
DiffNet,3,38.49914687871933,0.6304986476898193,0.0025,0.0037,0.0065,0.0025,0.0037,0.004,0.0049,0.0016,0.0015,0.0158,0.0296
DiffNet,4,38.16314381361008,0.626471996307373,0.0029,0.004,0.0068,0.0029,0.0039,0.0048,0.0056,0.0018,0.0015,0.0176,0.0296
DiffNet,5,37.61701321601868,0.6265168190002441,0.0028,0.0037,0.0067,0.0028,0.0041,0.005,0.0061,0.0016,0.0016,0.0156,0.0306
DiffNet,6,36.84441947937012,0.6279959678649902,0.0027,0.0039,0.0068,0.0027,0.0039,0.0047,0.0057,0.0016,0.0016,0.0158,0.031
DiffNet,7,35.850204050540924,0.6275417804718018,0.0025,0.0035,0.0066,0.0025,0.0038,0.0043,0.0053,0.0015,0.0016,0.0154,0.0312
DiffNet,8,34.66858285665512,0.6270723342895508,0.0025,0.0034,0.0067,0.0025,0.0038,0.0043,0.0053,0.0015,0.0015,0.015,0.0298
DiffNet,9,33.37449395656586,0.7633862495422363,0.0024,0.0032,0.0067,0.0024,0.0038,0.0042,0.0053,0.0014,0.0015,0.0144,0.03
DiffNet,10,32.048229932785034,0.6312997341156006,0.0025,0.0033,0.0064,0.0025,0.0037,0.0044,0.0054,0.0014,0.0014,0.0142,0.029
DiffNet,11,30.675813496112823,0.6283450126647949,0.0024,0.0033,0.0059,0.0024,0.0034,0.0041,0.005,0.0014,0.0013,0.014,0.027
DiffNet,12,29.388491094112396,0.6236674785614014,0.0023,0.0031,0.0058,0.0023,0.0034,0.004,0.0049,0.0014,0.0013,0.0138,0.0268
DiffNet,13,28.149721652269363,0.6238663196563721,0.0024,0.0032,0.0058,0.0024,0.0034,0.0043,0.0051,0.0015,0.0013,0.0146,0.0266
DiffNet,14,26.939635396003723,0.6240725517272949,0.0022,0.003,0.0057,0.0022,0.0033,0.0039,0.0047,0.0014,0.0013,0.0136,0.0262
DiffNet,15,25.860077381134033,0.6225857734680176,0.0022,0.0031,0.0061,0.0022,0.0035,0.0039,0.0049,0.0013,0.0014,0.0134,0.028
