Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,4.15483158826828,0.27657032012939453,0.157,0.1802,0.2273,0.157,0.1753,0.2668,0.2745,0.0652,0.043,0.526,0.636
CSGCN,2,4.1527650356292725,0.07214760780334473,0.1776,0.1997,0.2494,0.1776,0.1975,0.305,0.3131,0.0734,0.0485,0.574,0.69
CSGCN,3,4.150635540485382,0.07304716110229492,0.1953,0.2141,0.2727,0.1953,0.2181,0.3356,0.343,0.081,0.0539,0.618,0.726
CSGCN,4,4.1480594873428345,0.07553744316101074,0.21,0.2253,0.2945,0.21,0.237,0.3682,0.3761,0.0866,0.0593,0.646,0.762
CSGCN,5,4.144958078861237,0.07144451141357422,0.2212,0.2381,0.3131,0.2212,0.2503,0.3866,0.3945,0.0938,0.0638,0.674,0.786
CSGCN,6,4.141286730766296,0.07224392890930176,0.2334,0.2497,0.3293,0.2334,0.264,0.4109,0.4182,0.0996,0.0675,0.696,0.8
CSGCN,7,4.1370848417282104,0.07122039794921875,0.2438,0.2642,0.3385,0.2438,0.2725,0.4217,0.4263,0.1064,0.0704,0.732,0.8
CSGCN,8,4.132098734378815,0.07607793807983398,0.2505,0.2691,0.3429,0.2505,0.279,0.4311,0.4364,0.1104,0.0728,0.732,0.808
CSGCN,9,4.126592040061951,0.07146048545837402,0.2558,0.2746,0.3461,0.2558,0.2837,0.4375,0.4432,0.1136,0.0745,0.734,0.818
CSGCN,10,4.119961380958557,0.07620120048522949,0.2565,0.2727,0.3496,0.2565,0.2869,0.4394,0.4455,0.1136,0.076,0.73,0.814
CSGCN,11,4.112457513809204,0.08444523811340332,0.2598,0.2762,0.3544,0.2598,0.2904,0.4442,0.4513,0.1162,0.0775,0.732,0.832
CSGCN,12,4.104403734207153,0.0732271671295166,0.263,0.2797,0.3563,0.263,0.2928,0.4487,0.4564,0.1188,0.0785,0.734,0.844
CSGCN,13,4.094595849514008,0.07316446304321289,0.2632,0.2809,0.36,0.2632,0.2938,0.4512,0.4577,0.1196,0.0794,0.746,0.84
CSGCN,14,4.08451521396637,0.0716853141784668,0.2627,0.2787,0.3612,0.2627,0.2946,0.4518,0.4585,0.1196,0.0801,0.74,0.832
CSGCN,15,4.072719633579254,0.07193565368652344,0.2607,0.278,0.3591,0.2607,0.2921,0.4465,0.4533,0.1202,0.08,0.742,0.836
CSGCN,16,4.0601619482040405,0.07046890258789062,0.2587,0.2799,0.361,0.2587,0.2902,0.4395,0.4456,0.1208,0.0808,0.75,0.838
CSGCN,17,4.046634018421173,0.0695352554321289,0.2543,0.2676,0.3557,0.2543,0.2884,0.4376,0.445,0.1172,0.0799,0.734,0.84
CSGCN,18,4.031495809555054,0.07126927375793457,0.2532,0.2679,0.3554,0.2532,0.2869,0.4339,0.4405,0.1176,0.0801,0.736,0.83
CSGCN,19,4.015190601348877,0.07312560081481934,0.2529,0.2669,0.3535,0.2529,0.2862,0.4343,0.4408,0.117,0.0799,0.734,0.828
CSGCN,20,3.9978888630867004,0.07282686233520508,0.2499,0.267,0.3518,0.2499,0.2825,0.4261,0.4325,0.1172,0.08,0.73,0.82
CSGCN,21,3.9790722131729126,0.07572364807128906,0.2481,0.2658,0.3521,0.2481,0.2814,0.4221,0.4284,0.1166,0.0803,0.728,0.82
CSGCN,22,3.9586257338523865,0.07803058624267578,0.2412,0.2584,0.3481,0.2412,0.2755,0.4114,0.419,0.1142,0.0792,0.712,0.822
CSGCN,23,3.936256766319275,0.07709765434265137,0.2381,0.2562,0.3383,0.2381,0.2695,0.4066,0.4136,0.1134,0.0771,0.71,0.816
CSGCN,24,3.914062738418579,0.17740273475646973,0.2322,0.2513,0.3335,0.2322,0.2641,0.3967,0.404,0.1106,0.0761,0.698,0.806
