Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.246935963630676,0.4913828372955322,0.0096,0.0133,0.0232,0.0096,0.0134,0.0161,0.0187,0.005,0.0046,0.05,0.088
HAGN,2,15.243236184120178,0.30647802352905273,0.011,0.0162,0.0274,0.011,0.0153,0.0178,0.0206,0.0056,0.005,0.0555,0.096
HAGN,3,15.237040400505066,0.30254602432250977,0.01,0.0148,0.0254,0.01,0.0139,0.0162,0.0187,0.0052,0.0046,0.05,0.088
HAGN,4,15.225366413593292,0.296267032623291,0.0077,0.0113,0.019,0.0077,0.0106,0.0126,0.0147,0.0042,0.0037,0.04,0.071
HAGN,5,15.203738451004028,0.2953665256500244,0.0061,0.0087,0.016,0.0061,0.0088,0.0099,0.0119,0.0033,0.0031,0.031,0.0595
HAGN,6,15.169497907161713,0.29456567764282227,0.0051,0.0071,0.0136,0.0051,0.0075,0.0082,0.0099,0.0027,0.0027,0.025,0.051
HAGN,7,15.12035071849823,0.29644131660461426,0.0048,0.007,0.0114,0.0048,0.0065,0.0074,0.0087,0.0025,0.0023,0.0235,0.043
HAGN,8,15.067420065402985,0.30173373222351074,0.0044,0.0066,0.011,0.0044,0.006,0.0063,0.0076,0.0023,0.0021,0.021,0.039
HAGN,9,15.011975407600403,0.2989833354949951,0.0046,0.0067,0.0107,0.0046,0.0061,0.0071,0.0082,0.0025,0.0021,0.023,0.0395
HAGN,10,14.963205873966217,0.2968144416809082,0.0041,0.0064,0.0096,0.0041,0.0054,0.0058,0.0067,0.0024,0.0019,0.022,0.036
HAGN,11,14.930553495883942,0.2977426052093506,0.0033,0.0058,0.0102,0.0033,0.005,0.0045,0.0057,0.0022,0.0021,0.0195,0.0385
HAGN,12,14.894444763660431,0.29802536964416504,0.0035,0.0057,0.0105,0.0035,0.0054,0.0052,0.0066,0.0022,0.0022,0.0205,0.0415
HAGN,13,14.860623478889465,0.2964637279510498,0.0036,0.0055,0.0118,0.0036,0.006,0.0057,0.0073,0.0023,0.0024,0.021,0.0445
