Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,8.9126455783844,0.1820061206817627,0.1583,0.1999,0.2801,0.1583,0.1862,0.231,0.2396,0.0637,0.0439,0.4558,0.5815
ASLGCN,2,7.931236386299133,0.1815950870513916,0.1505,0.1889,0.2639,0.1505,0.1772,0.222,0.2308,0.0609,0.0423,0.4391,0.5659
ASLGCN,3,6.069697231054306,0.1796114444732666,0.149,0.185,0.2595,0.149,0.1758,0.2212,0.2306,0.0601,0.0419,0.4296,0.5615
ASLGCN,4,4.601765036582947,0.17687439918518066,0.1529,0.1894,0.2673,0.1529,0.1808,0.2269,0.2365,0.0615,0.043,0.4374,0.571
ASLGCN,5,3.7850299179553986,0.17688846588134766,0.1596,0.1974,0.274,0.1596,0.1871,0.2365,0.2453,0.0641,0.0443,0.4574,0.5815
ASLGCN,6,3.3592301309108734,0.1808760166168213,0.1646,0.2042,0.285,0.1646,0.1933,0.2424,0.2511,0.0663,0.0458,0.4713,0.5949
ASLGCN,7,3.1325646191835403,0.17772650718688965,0.17,0.2118,0.2949,0.17,0.1995,0.2491,0.2574,0.0682,0.0472,0.4858,0.6077
ASLGCN,8,2.8995998799800873,0.17931437492370605,0.1742,0.2171,0.3025,0.1742,0.2043,0.254,0.2622,0.0698,0.0482,0.4936,0.6144
ASLGCN,9,2.7341388463974,0.1800394058227539,0.1765,0.219,0.3121,0.1765,0.2089,0.2581,0.2673,0.0707,0.0492,0.4964,0.6305
ASLGCN,10,2.6334646195173264,0.18082475662231445,0.1791,0.225,0.3215,0.1791,0.2127,0.2606,0.27,0.0718,0.0504,0.5047,0.6422
ASLGCN,11,2.5205328315496445,0.1802959442138672,0.1815,0.2301,0.3269,0.1815,0.2154,0.2619,0.2714,0.0729,0.0511,0.5109,0.6472
ASLGCN,12,2.4336395114660263,0.17817258834838867,0.1832,0.235,0.3324,0.1832,0.2172,0.262,0.2716,0.0737,0.0515,0.5186,0.6583
ASLGCN,13,2.3623190075159073,0.18103909492492676,0.1846,0.2367,0.3389,0.1846,0.2203,0.2636,0.2734,0.0741,0.0525,0.5225,0.6661
ASLGCN,14,2.3158069998025894,0.17830109596252441,0.1853,0.2368,0.3407,0.1853,0.2218,0.2651,0.2748,0.0741,0.0527,0.5281,0.6678
ASLGCN,15,2.2525263726711273,0.17963790893554688,0.1875,0.2418,0.3467,0.1875,0.2244,0.2656,0.2757,0.0752,0.0536,0.5337,0.68
ASLGCN,16,2.1972353756427765,0.17903923988342285,0.1896,0.2436,0.348,0.1896,0.2266,0.2693,0.2791,0.0757,0.0539,0.5376,0.6778
ASLGCN,17,2.1500402987003326,0.18267440795898438,0.1922,0.2467,0.3506,0.1922,0.229,0.2728,0.2826,0.0765,0.0543,0.542,0.6834
ASLGCN,18,2.1056828796863556,0.18036317825317383,0.1941,0.2511,0.3512,0.1941,0.2295,0.2735,0.2829,0.0779,0.0544,0.5504,0.6867
ASLGCN,19,2.0238947719335556,0.17846179008483887,0.1954,0.2521,0.355,0.1954,0.2319,0.2761,0.2855,0.0778,0.0549,0.5526,0.6895
ASLGCN,20,1.9729095548391342,0.18052363395690918,0.1955,0.2508,0.3567,0.1955,0.233,0.276,0.2861,0.0777,0.0551,0.5492,0.6923
ASLGCN,21,1.9042215943336487,0.17847299575805664,0.1979,0.2553,0.3604,0.1979,0.235,0.2781,0.2879,0.079,0.0556,0.5548,0.6939
ASLGCN,22,1.9082236289978027,0.1788771152496338,0.2006,0.2598,0.3679,0.2006,0.2384,0.2814,0.2908,0.0802,0.0564,0.5654,0.7023
ASLGCN,23,1.85306316614151,0.26682186126708984,0.2024,0.2622,0.3697,0.2024,0.2399,0.2832,0.2926,0.081,0.0566,0.5687,0.7056
ASLGCN,24,1.8204666525125504,0.1832287311553955,0.2039,0.2649,0.3735,0.2039,0.2419,0.2844,0.2942,0.0817,0.0572,0.5704,0.7112
ASLGCN,25,1.8258582055568695,0.17905426025390625,0.2046,0.2661,0.3771,0.2046,0.2435,0.2847,0.2946,0.082,0.0577,0.5715,0.7134
ASLGCN,26,1.7459165751934052,0.17879605293273926,0.205,0.2658,0.3796,0.205,0.245,0.2863,0.296,0.0816,0.058,0.576,0.7145
ASLGCN,27,1.7189029306173325,0.1805408000946045,0.2064,0.269,0.3832,0.2064,0.2465,0.2866,0.2962,0.0824,0.0583,0.5799,0.7179
ASLGCN,28,1.7030380368232727,0.17849183082580566,0.2088,0.2716,0.3829,0.2088,0.2482,0.2897,0.2992,0.083,0.0584,0.5832,0.7168
ASLGCN,29,1.6747173815965652,0.18056058883666992,0.209,0.2724,0.3873,0.209,0.2496,0.2894,0.2995,0.0831,0.0591,0.5793,0.7229
ASLGCN,30,1.624486193060875,0.17846941947937012,0.2106,0.2742,0.3891,0.2106,0.251,0.292,0.3016,0.0837,0.0592,0.5871,0.7251
ASLGCN,31,1.6211856380105019,0.18140316009521484,0.2105,0.2749,0.39,0.2105,0.2512,0.2919,0.3018,0.0838,0.0593,0.5882,0.7295
ASLGCN,32,1.5953633859753609,0.17976808547973633,0.2131,0.2783,0.3921,0.2131,0.2532,0.2951,0.3049,0.0846,0.0595,0.5938,0.7323
ASLGCN,33,1.577049896121025,0.17795085906982422,0.2144,0.2812,0.3964,0.2144,0.255,0.2957,0.3055,0.0854,0.0601,0.5965,0.7362
ASLGCN,34,1.531470738351345,0.18023133277893066,0.2145,0.2819,0.3984,0.2145,0.2556,0.2946,0.3045,0.0855,0.0604,0.5999,0.7396
ASLGCN,35,1.4791210517287254,0.17848610877990723,0.2148,0.2816,0.3999,0.2148,0.2562,0.2948,0.305,0.0858,0.0605,0.5982,0.7429
ASLGCN,36,1.4790514037013054,0.1788926124572754,0.2161,0.2832,0.3991,0.2161,0.2567,0.2965,0.3066,0.0863,0.0603,0.5993,0.7429
ASLGCN,37,1.4623384773731232,0.17988348007202148,0.2177,0.285,0.4001,0.2177,0.2582,0.2979,0.3079,0.0869,0.0607,0.5999,0.7407
ASLGCN,38,1.3874812945723534,0.17846465110778809,0.2195,0.2896,0.402,0.2195,0.259,0.2978,0.3075,0.088,0.061,0.6049,0.744
ASLGCN,39,1.3848781883716583,0.18432831764221191,0.2197,0.2902,0.4069,0.2197,0.2605,0.2982,0.308,0.0881,0.0615,0.6077,0.7485
ASLGCN,40,1.3998572528362274,0.1783440113067627,0.2212,0.2919,0.4084,0.2212,0.2622,0.3003,0.3098,0.0886,0.0619,0.6127,0.7479
ASLGCN,41,1.3454939126968384,0.17977046966552734,0.2226,0.2936,0.4111,0.2226,0.2639,0.3028,0.3121,0.0888,0.0621,0.6188,0.7507
ASLGCN,42,1.2922979891300201,0.17935967445373535,0.223,0.2956,0.4136,0.223,0.2644,0.3022,0.3116,0.0895,0.0625,0.621,0.7557
ASLGCN,43,1.2958429083228111,0.17920589447021484,0.2239,0.2965,0.4129,0.2239,0.2649,0.3034,0.3126,0.0898,0.0625,0.6233,0.7546
ASLGCN,44,1.303831785917282,0.18042969703674316,0.2248,0.2988,0.4168,0.2248,0.2662,0.3031,0.3122,0.0905,0.063,0.6266,0.7579
ASLGCN,45,1.2931919246912003,0.17833876609802246,0.2253,0.3009,0.4161,0.2253,0.266,0.303,0.3118,0.0904,0.0628,0.6299,0.7551
ASLGCN,46,1.2461593076586723,0.1826636791229248,0.2254,0.3009,0.4171,0.2254,0.2665,0.3021,0.3114,0.0904,0.063,0.6272,0.7574
ASLGCN,47,1.2249495387077332,0.17998194694519043,0.2279,0.3047,0.417,0.2279,0.2678,0.3048,0.3134,0.0914,0.0631,0.6344,0.7563
ASLGCN,48,1.2044145688414574,0.1799602508544922,0.228,0.3037,0.4195,0.228,0.2693,0.3053,0.3143,0.0912,0.0636,0.6316,0.7602
