Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,8.921089768409729,0.1707901954650879,0.1454,0.1847,0.2594,0.1454,0.1719,0.2175,0.2255,0.0587,0.0409,0.4391,0.5543
CSGCN,2,7.99414187669754,0.16846776008605957,0.1361,0.1692,0.2423,0.1361,0.1622,0.2063,0.2143,0.055,0.039,0.414,0.5303
CSGCN,3,6.18948370218277,0.16584181785583496,0.137,0.1717,0.2421,0.137,0.1622,0.2059,0.2139,0.0559,0.039,0.4179,0.5331
CSGCN,4,4.740287214517593,0.16307353973388672,0.1401,0.1756,0.2487,0.1401,0.1662,0.2108,0.219,0.0572,0.0402,0.4257,0.5454
CSGCN,5,3.9634477496147156,0.16339921951293945,0.145,0.182,0.2607,0.145,0.1729,0.2175,0.2256,0.059,0.0419,0.4441,0.5643
CSGCN,6,3.436668187379837,0.1619710922241211,0.1515,0.1904,0.2685,0.1515,0.1794,0.2271,0.2351,0.0617,0.0432,0.4602,0.576
CSGCN,7,3.2086046785116196,0.16796112060546875,0.1563,0.1951,0.2817,0.1563,0.187,0.2344,0.2429,0.063,0.0449,0.4702,0.5943
CSGCN,8,2.989180415868759,0.17135834693908691,0.1613,0.2017,0.2917,0.1613,0.1933,0.2411,0.2498,0.0646,0.0464,0.4802,0.606
CSGCN,9,2.840944990515709,0.1685028076171875,0.1648,0.2072,0.301,0.1648,0.1982,0.246,0.2549,0.0658,0.0476,0.4886,0.6171
CSGCN,10,2.691504269838333,0.16500282287597656,0.1697,0.2132,0.3061,0.1697,0.2028,0.252,0.2609,0.0677,0.0483,0.4986,0.6227
CSGCN,11,2.6108322590589523,0.1637256145477295,0.1745,0.2222,0.3144,0.1745,0.2075,0.2564,0.2648,0.0698,0.0494,0.5153,0.6361
CSGCN,12,2.515199676156044,0.16650152206420898,0.1783,0.2267,0.3192,0.1783,0.2113,0.2611,0.2696,0.0708,0.0498,0.5231,0.6422
CSGCN,13,2.4075019657611847,0.165177583694458,0.1815,0.2297,0.3262,0.1815,0.2157,0.2663,0.2752,0.0716,0.0507,0.5264,0.6533
CSGCN,14,2.360391080379486,0.2583620548248291,0.1849,0.2318,0.3302,0.1849,0.2198,0.2728,0.2816,0.0722,0.0513,0.5337,0.6589
