Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,84.82659411430359,1.719074010848999,0.0403,0.0462,0.0696,0.0403,0.0473,0.0778,0.0833,0.0239,0.0191,0.1978,0.2794
DiffNet,2,59.628761768341064,1.5455327033996582,0.0403,0.0458,0.071,0.0403,0.0476,0.0786,0.0846,0.0238,0.019,0.1971,0.2851
DiffNet,3,57.77495759725571,1.5474371910095215,0.0422,0.0464,0.074,0.0422,0.0503,0.0842,0.0904,0.0245,0.02,0.2006,0.2905
DiffNet,4,55.95315435528755,1.5470638275146484,0.0424,0.0464,0.0757,0.0424,0.0511,0.0854,0.092,0.0251,0.0208,0.2034,0.2993
DiffNet,5,53.89188542962074,1.5483806133270264,0.0447,0.0492,0.0795,0.0447,0.0535,0.0893,0.0961,0.0265,0.0218,0.2133,0.3125
DiffNet,6,51.5999321937561,1.545466661453247,0.0458,0.0506,0.0808,0.0458,0.0544,0.0915,0.0983,0.0273,0.0224,0.2203,0.3197
DiffNet,7,49.37218415737152,1.7242186069488525,0.0469,0.052,0.083,0.0469,0.0559,0.0925,0.0994,0.0286,0.0233,0.2265,0.3258
DiffNet,8,47.13733530044556,1.5488417148590088,0.0487,0.0534,0.085,0.0487,0.0578,0.0961,0.103,0.0294,0.0241,0.2315,0.332
DiffNet,9,45.26826095581055,1.5447659492492676,0.05,0.0545,0.0878,0.05,0.0596,0.0988,0.1059,0.0302,0.0247,0.2366,0.3391
DiffNet,10,43.45678624510765,1.555769443511963,0.0512,0.0562,0.0897,0.0512,0.0608,0.0996,0.1066,0.0314,0.0255,0.2434,0.3445
DiffNet,11,41.593424797058105,1.5477869510650635,0.0533,0.059,0.0926,0.0533,0.0628,0.1027,0.1097,0.0325,0.0261,0.2501,0.3531
DiffNet,12,39.96381676197052,1.5436408519744873,0.0542,0.0596,0.0922,0.0542,0.0634,0.103,0.1101,0.0327,0.0262,0.2502,0.3531
DiffNet,13,38.456487476825714,1.7154955863952637,0.0543,0.0596,0.0949,0.0543,0.0646,0.1039,0.1113,0.0331,0.0271,0.2538,0.36
DiffNet,14,36.852073177695274,1.5447001457214355,0.0565,0.0615,0.0966,0.0565,0.0664,0.1088,0.1159,0.0344,0.0275,0.2615,0.3657
DiffNet,15,35.32222791016102,1.546351671218872,0.0578,0.0632,0.0987,0.0578,0.0679,0.1114,0.1187,0.0352,0.0282,0.2665,0.3719
DiffNet,16,34.05762657523155,1.5444154739379883,0.0586,0.0649,0.0993,0.0586,0.0685,0.1129,0.1201,0.0354,0.0283,0.269,0.3739
DiffNet,17,32.642277866601944,1.5453929901123047,0.0594,0.0659,0.1019,0.0594,0.0697,0.1137,0.1211,0.0361,0.029,0.2726,0.3802
