Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,38.80670338869095,0.8034877777099609,0.0076,0.0106,0.0196,0.0076,0.0109,0.0133,0.0157,0.0043,0.0039,0.042,0.0766
CSGCN,2,38.67384248971939,0.8061919212341309,0.0035,0.0049,0.0108,0.0035,0.0057,0.0059,0.0076,0.002,0.0023,0.0198,0.0442
CSGCN,3,38.20840269327164,0.8074522018432617,0.0028,0.0039,0.0075,0.0028,0.0042,0.0048,0.0058,0.0016,0.0016,0.0162,0.0322
CSGCN,4,37.43843483924866,0.8014950752258301,0.003,0.0049,0.0095,0.003,0.0048,0.0045,0.0058,0.0018,0.002,0.018,0.0388
CSGCN,5,36.46911698579788,0.8085751533508301,0.0043,0.0063,0.0113,0.0043,0.0062,0.0069,0.0084,0.0025,0.0023,0.0244,0.0456
CSGCN,6,35.28813636302948,0.9287796020507812,0.0064,0.0088,0.0168,0.0064,0.0093,0.0104,0.0123,0.0034,0.0033,0.0338,0.0638
CSGCN,7,33.94225096702576,0.8063933849334717,0.0084,0.0115,0.0194,0.0084,0.0114,0.014,0.0162,0.0043,0.0038,0.0426,0.0748
CSGCN,8,32.44866997003555,0.8074774742126465,0.0105,0.0138,0.0233,0.0105,0.0142,0.0184,0.0209,0.0053,0.0047,0.0516,0.0892
CSGCN,9,30.811987459659576,0.8068070411682129,0.0115,0.015,0.0267,0.0115,0.0159,0.0203,0.0232,0.0059,0.0053,0.0578,0.1
CSGCN,10,29.14630937576294,0.8046245574951172,0.013,0.0176,0.0295,0.013,0.0175,0.0227,0.0256,0.0069,0.006,0.067,0.1122
CSGCN,11,27.520281493663788,0.8057763576507568,0.0143,0.0191,0.0318,0.0143,0.019,0.025,0.028,0.0076,0.0063,0.0734,0.1178
CSGCN,12,25.964460730552673,0.8039698600769043,0.0149,0.0196,0.0322,0.0149,0.0197,0.0264,0.0296,0.0079,0.0066,0.0756,0.1226
CSGCN,13,24.470707893371582,0.8067409992218018,0.0154,0.0207,0.0325,0.0154,0.0199,0.0272,0.0302,0.0081,0.0066,0.0784,0.123
CSGCN,14,23.08559000492096,0.9264047145843506,0.0157,0.0212,0.0335,0.0157,0.0204,0.0275,0.0307,0.0083,0.0069,0.0804,0.1282
CSGCN,15,21.809505939483643,0.8125355243682861,0.0158,0.0211,0.0331,0.0158,0.0204,0.0283,0.0315,0.0083,0.0069,0.0808,0.1286
CSGCN,16,20.62696784734726,0.8064322471618652,0.0159,0.0215,0.0331,0.0159,0.0205,0.0284,0.0317,0.0083,0.007,0.0812,0.1292
CSGCN,17,19.584573596715927,0.8110237121582031,0.016,0.0216,0.0334,0.016,0.0206,0.0285,0.0316,0.0085,0.0069,0.0826,0.1288
CSGCN,18,18.638407766819,0.8010411262512207,0.0163,0.022,0.0343,0.0163,0.021,0.0287,0.0319,0.0087,0.0071,0.0838,0.1318
CSGCN,19,17.743145436048508,0.8108842372894287,0.0164,0.0222,0.0344,0.0164,0.0211,0.0288,0.0322,0.0086,0.0071,0.0834,0.1328
CSGCN,20,16.979587495326996,0.8098864555358887,0.0165,0.0222,0.0351,0.0165,0.0215,0.0295,0.033,0.0086,0.0072,0.0838,0.1358
CSGCN,21,16.21285715699196,0.8072879314422607,0.0163,0.0213,0.0358,0.0163,0.0218,0.0297,0.0334,0.0085,0.0073,0.0832,0.1374
CSGCN,22,15.5621777176857,0.9283344745635986,0.0164,0.0211,0.036,0.0164,0.022,0.03,0.0337,0.0085,0.0073,0.0822,0.1374
CSGCN,23,14.925273299217224,0.7992410659790039,0.0162,0.0208,0.0359,0.0162,0.0218,0.0296,0.0334,0.0085,0.0073,0.082,0.137
CSGCN,24,14.397930100560188,0.8054804801940918,0.016,0.0208,0.0359,0.016,0.0217,0.0294,0.0331,0.0085,0.0072,0.0822,0.1358
CSGCN,25,13.858078435063362,0.803368330001831,0.0159,0.0208,0.0352,0.0159,0.0213,0.029,0.0326,0.0084,0.0071,0.0814,0.1336
CSGCN,26,13.401073455810547,0.8015868663787842,0.0158,0.0204,0.0353,0.0158,0.0214,0.029,0.0328,0.0083,0.0072,0.0798,0.1348
CSGCN,27,12.940407037734985,0.8088428974151611,0.0158,0.0204,0.0349,0.0158,0.0212,0.0291,0.0328,0.0083,0.0071,0.0798,0.1344
CSGCN,28,12.561886936426163,0.8015267848968506,0.0157,0.0204,0.0348,0.0157,0.021,0.0287,0.0323,0.0083,0.0071,0.0806,0.134
CSGCN,29,12.181107267737389,0.9286177158355713,0.0156,0.0202,0.0345,0.0156,0.0209,0.0287,0.0322,0.0082,0.007,0.0802,0.1322
CSGCN,30,11.860150456428528,0.8016400337219238,0.0155,0.0202,0.0344,0.0155,0.0208,0.0286,0.0321,0.0082,0.007,0.0794,0.1314
CSGCN,31,11.510904401540756,0.803380012512207,0.0157,0.0206,0.034,0.0157,0.0207,0.0288,0.0321,0.0083,0.0069,0.0808,0.1302
