Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,6.228007733821869,0.16455841064453125,0.4685,0.5952,0.669,0.4685,0.4907,0.4883,0.4932,0.089,0.0515,0.7345,0.8055
ASLGCN,2,6.181862115859985,0.16546010971069336,0.5026,0.6341,0.7155,0.5026,0.5267,0.5204,0.5255,0.097,0.0558,0.773,0.845
ASLGCN,3,6.091438174247742,0.1646878719329834,0.5132,0.6492,0.7265,0.5132,0.5365,0.5299,0.5348,0.0997,0.0572,0.785,0.8545
ASLGCN,4,5.941721200942993,0.16454315185546875,0.5158,0.6558,0.7301,0.5158,0.5382,0.5316,0.5362,0.1011,0.0575,0.793,0.8565
ASLGCN,5,5.727713108062744,0.1718919277191162,0.512,0.6553,0.7367,0.512,0.5365,0.5252,0.5299,0.1013,0.0582,0.7935,0.8595
ASLGCN,6,5.437105238437653,0.1657860279083252,0.512,0.6546,0.7368,0.512,0.5366,0.525,0.5298,0.1017,0.0584,0.791,0.858
ASLGCN,7,5.08025586605072,0.16441869735717773,0.5128,0.6565,0.7385,0.5128,0.5373,0.5258,0.5304,0.1019,0.0586,0.7945,0.8605
ASLGCN,8,4.67896169424057,0.16535210609436035,0.5116,0.6645,0.7358,0.5116,0.5331,0.5206,0.5244,0.1032,0.0584,0.8005,0.855
ASLGCN,9,4.241950482130051,0.1640024185180664,0.5081,0.6622,0.7348,0.5081,0.5297,0.5156,0.5196,0.103,0.0583,0.7975,0.8565
ASLGCN,10,3.7984069287776947,0.16438889503479004,0.5064,0.6599,0.7359,0.5064,0.5289,0.5151,0.5192,0.1026,0.0583,0.7985,0.8585
ASLGCN,11,3.3545521795749664,0.1653447151184082,0.5061,0.6611,0.7351,0.5061,0.5284,0.5153,0.5192,0.1026,0.0583,0.8005,0.856
ASLGCN,12,2.9531058967113495,0.1655895709991455,0.5075,0.6621,0.7347,0.5075,0.5295,0.517,0.5208,0.1027,0.0582,0.8015,0.856
ASLGCN,13,2.572263479232788,0.16524052619934082,0.5078,0.6627,0.739,0.5078,0.5305,0.5166,0.521,0.103,0.0585,0.8,0.863
ASLGCN,14,2.2373341470956802,0.1660449504852295,0.5113,0.6649,0.7402,0.5113,0.5339,0.5211,0.5254,0.1033,0.0587,0.803,0.864
ASLGCN,15,1.944216936826706,0.1666116714477539,0.5127,0.6677,0.7428,0.5127,0.5353,0.522,0.5263,0.1037,0.0589,0.806,0.8665
