Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,6.238371133804321,0.10789942741394043,0.0035,0.0068,0.0125,0.0035,0.0052,0.0033,0.0039,0.0011,0.001,0.0105,0.0205
BPR,2,6.237218856811523,0.10921216011047363,0.0039,0.0069,0.0126,0.0039,0.0055,0.0037,0.0043,0.0011,0.001,0.0105,0.02
BPR,3,6.237077057361603,0.10776925086975098,0.0035,0.0059,0.0119,0.0035,0.0053,0.0032,0.0039,0.001,0.001,0.0095,0.0195
BPR,4,6.237265884876251,0.10692143440246582,0.0038,0.0062,0.0107,0.0038,0.0052,0.0035,0.004,0.001,0.0009,0.0095,0.0175
BPR,5,6.237453401088715,0.10770654678344727,0.0041,0.0068,0.0093,0.0041,0.0049,0.0038,0.0042,0.001,0.0008,0.0095,0.016
BPR,6,6.237694263458252,0.10941791534423828,0.0033,0.0065,0.0102,0.0033,0.0044,0.0028,0.0033,0.001,0.0009,0.0095,0.0175
BPR,7,6.237907409667969,0.11308407783508301,0.0029,0.0058,0.0096,0.0029,0.0041,0.0024,0.0029,0.0009,0.0009,0.009,0.0165
BPR,8,6.238062262535095,0.10955643653869629,0.0023,0.0047,0.0101,0.0023,0.004,0.002,0.0027,0.0007,0.0009,0.007,0.017
BPR,9,6.2381471991539,0.1079566478729248,0.0018,0.0037,0.0102,0.0018,0.0037,0.0014,0.0021,0.0005,0.0009,0.0055,0.0165
BPR,10,6.238214373588562,0.10833239555358887,0.0015,0.003,0.009,0.0015,0.0032,0.0012,0.0019,0.0004,0.0008,0.0045,0.0155
BPR,11,6.23824805021286,0.10833311080932617,0.0015,0.0027,0.0088,0.0015,0.0032,0.0013,0.002,0.0005,0.0008,0.005,0.015
BPR,12,6.238269746303558,0.10702204704284668,0.0015,0.0026,0.008,0.0015,0.0031,0.0015,0.0021,0.0005,0.0007,0.005,0.014
BPR,13,6.2382917404174805,0.10732054710388184,0.0018,0.0034,0.008,0.0018,0.0032,0.0016,0.0022,0.0006,0.0007,0.0065,0.0145
BPR,14,6.238302171230316,0.10730767250061035,0.002,0.0039,0.0085,0.002,0.0033,0.0018,0.0023,0.0007,0.0008,0.007,0.015
BPR,15,6.238308846950531,0.10892558097839355,0.0023,0.0049,0.0078,0.0023,0.0032,0.0018,0.0023,0.0008,0.0007,0.008,0.0145
BPR,16,6.238315999507904,0.10761427879333496,0.0019,0.0039,0.0083,0.0019,0.0033,0.0017,0.0022,0.0006,0.0008,0.0065,0.015
