Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.93669730424881,0.2403101921081543,0.0018,0.0026,0.0049,0.0018,0.0026,0.003,0.0038,0.0012,0.0012,0.012,0.0235
DiffNet,2,15.921098113059998,0.2371063232421875,0.0016,0.0023,0.004,0.0016,0.0023,0.0029,0.0035,0.0011,0.001,0.0105,0.02
DiffNet,3,15.905613720417023,0.2373650074005127,0.0014,0.0019,0.0049,0.0014,0.0025,0.0026,0.0035,0.0009,0.0012,0.009,0.023
DiffNet,4,15.889259099960327,0.2365272045135498,0.002,0.003,0.0054,0.002,0.003,0.0036,0.0044,0.0013,0.0013,0.013,0.0265
DiffNet,5,15.86940735578537,0.236525297164917,0.0019,0.0031,0.0055,0.0019,0.003,0.0034,0.0043,0.0013,0.0014,0.013,0.0275
DiffNet,6,15.847221791744232,0.23705697059631348,0.0021,0.0032,0.006,0.0021,0.0031,0.0035,0.0043,0.0015,0.0013,0.015,0.027
DiffNet,7,15.8208447098732,0.23775434494018555,0.0025,0.0038,0.0069,0.0025,0.0037,0.0044,0.0055,0.0016,0.0016,0.016,0.032
DiffNet,8,15.789492726325989,0.23817133903503418,0.0024,0.0036,0.0069,0.0024,0.0037,0.0044,0.0054,0.0015,0.0015,0.015,0.0305
DiffNet,9,15.752845525741577,0.23649263381958008,0.0024,0.0032,0.0073,0.0024,0.004,0.0046,0.0058,0.0014,0.0017,0.0135,0.0325
DiffNet,10,15.709011018276215,0.23587656021118164,0.0026,0.0036,0.0074,0.0026,0.004,0.0054,0.0065,0.0017,0.0017,0.017,0.0335
DiffNet,11,15.659842610359192,0.24992895126342773,0.0026,0.0032,0.0068,0.0026,0.0039,0.0055,0.0066,0.0019,0.0017,0.018,0.034
DiffNet,12,15.602352142333984,0.2411634922027588,0.0026,0.0034,0.0067,0.0026,0.0039,0.0055,0.0066,0.0019,0.0017,0.018,0.0335
DiffNet,13,15.538118481636047,0.24032020568847656,0.0028,0.0035,0.0066,0.0028,0.0039,0.0058,0.0068,0.002,0.0017,0.0195,0.0335
DiffNet,14,15.460978925228119,0.3291618824005127,0.0028,0.0038,0.0068,0.0028,0.0039,0.0053,0.0062,0.0021,0.0018,0.0205,0.0345
DiffNet,15,15.380252480506897,0.23454952239990234,0.003,0.0038,0.0065,0.003,0.004,0.0059,0.0068,0.0022,0.0018,0.021,0.035
DiffNet,16,15.285905599594116,0.23325514793395996,0.003,0.004,0.0074,0.003,0.0043,0.0059,0.007,0.0022,0.0019,0.0215,0.0375
DiffNet,17,15.181228935718536,0.2332015037536621,0.0031,0.0041,0.0075,0.0031,0.0044,0.006,0.0071,0.0022,0.002,0.0215,0.038
DiffNet,18,15.071439564228058,0.2353510856628418,0.0033,0.0042,0.0077,0.0033,0.0046,0.0062,0.0073,0.0024,0.002,0.0235,0.0385
DiffNet,19,14.945351243019104,0.23591876029968262,0.0032,0.0043,0.008,0.0032,0.0047,0.0061,0.0074,0.0024,0.0021,0.023,0.04
DiffNet,20,14.814802944660187,0.2316875457763672,0.0036,0.0051,0.0084,0.0036,0.0049,0.0063,0.0075,0.0026,0.0022,0.0255,0.0425
DiffNet,21,14.677668392658234,0.23524880409240723,0.0037,0.0052,0.0083,0.0037,0.0049,0.0067,0.0078,0.0027,0.0021,0.027,0.0425
DiffNet,22,14.526886224746704,0.233659029006958,0.0033,0.0041,0.0089,0.0033,0.0052,0.0066,0.0082,0.0024,0.0023,0.023,0.0455
DiffNet,23,14.37146121263504,0.23232388496398926,0.0034,0.0044,0.0092,0.0034,0.0053,0.0066,0.0081,0.0024,0.0023,0.024,0.0455
DiffNet,24,14.198216080665588,0.23507404327392578,0.0033,0.0043,0.0089,0.0033,0.0052,0.0064,0.008,0.0024,0.0023,0.024,0.046
DiffNet,25,14.035339176654816,0.23705220222473145,0.0034,0.0044,0.0094,0.0034,0.0054,0.0066,0.0081,0.0025,0.0024,0.025,0.0475
DiffNet,26,13.853233516216278,0.23325538635253906,0.0036,0.0048,0.0092,0.0036,0.0054,0.0069,0.0084,0.0026,0.0024,0.0265,0.0475
DiffNet,27,13.66403877735138,0.23293852806091309,0.0037,0.0048,0.0084,0.0037,0.0051,0.0069,0.0082,0.0026,0.0022,0.0265,0.0445
DiffNet,28,13.48450481891632,0.23534274101257324,0.0037,0.0049,0.0085,0.0037,0.0051,0.007,0.0083,0.0027,0.0022,0.027,0.0445
DiffNet,29,13.289193153381348,0.23459649085998535,0.0036,0.0046,0.0089,0.0036,0.0053,0.0071,0.0084,0.0026,0.0023,0.0265,0.046
DiffNet,30,13.081668734550476,0.23430204391479492,0.0035,0.0045,0.0089,0.0035,0.0052,0.0067,0.0081,0.0026,0.0023,0.026,0.046
DiffNet,31,12.890743434429169,0.23482227325439453,0.0037,0.0047,0.0091,0.0037,0.0053,0.0071,0.0084,0.0026,0.0024,0.0265,0.047
DiffNet,32,12.689739525318146,0.2375805377960205,0.0037,0.0047,0.0089,0.0037,0.0053,0.0071,0.0085,0.0027,0.0024,0.027,0.047
DiffNet,33,12.474159896373749,0.23669958114624023,0.0037,0.005,0.009,0.0037,0.0053,0.0069,0.0082,0.0028,0.0023,0.028,0.047
DiffNet,34,12.273228228092194,0.23604702949523926,0.0038,0.0052,0.0086,0.0038,0.0052,0.007,0.0082,0.0029,0.0023,0.029,0.0455
DiffNet,35,12.06974869966507,0.23607683181762695,0.0036,0.0047,0.0089,0.0036,0.0052,0.0066,0.0081,0.0026,0.0023,0.026,0.0465
DiffNet,36,11.860111653804779,0.23776793479919434,0.0035,0.0045,0.0086,0.0035,0.0052,0.0069,0.0084,0.0025,0.0023,0.025,0.046
DiffNet,37,11.651736438274384,0.2367382049560547,0.0037,0.0047,0.0083,0.0037,0.0052,0.0072,0.0087,0.0025,0.0023,0.0255,0.046
DiffNet,38,11.445754766464233,0.2373979091644287,0.0039,0.0047,0.0082,0.0039,0.0053,0.0078,0.0092,0.0025,0.0022,0.0255,0.045
DiffNet,39,11.253953129053116,0.23850178718566895,0.0038,0.0047,0.0083,0.0038,0.0053,0.0077,0.009,0.0025,0.0023,0.0255,0.0455
DiffNet,40,11.045229494571686,0.32959556579589844,0.0038,0.0045,0.0083,0.0038,0.0053,0.0076,0.009,0.0025,0.0023,0.025,0.045
DiffNet,41,10.851447939872742,0.2383289337158203,0.0038,0.0046,0.0084,0.0038,0.0054,0.0079,0.0093,0.0025,0.0023,0.025,0.0455
DiffNet,42,10.649952501058578,0.237471342086792,0.0038,0.0045,0.0079,0.0038,0.0052,0.0079,0.0092,0.0024,0.0022,0.0245,0.044
DiffNet,43,10.461934745311737,0.2373216152191162,0.0038,0.0046,0.0082,0.0038,0.0053,0.0076,0.0091,0.0025,0.0023,0.0255,0.0465
DiffNet,44,10.271687895059586,0.23730015754699707,0.0037,0.0045,0.0085,0.0037,0.0054,0.0076,0.0091,0.0025,0.0023,0.025,0.0465
DiffNet,45,10.062772929668427,0.23683834075927734,0.0037,0.0043,0.0089,0.0037,0.0055,0.0075,0.0092,0.0024,0.0024,0.024,0.0485
DiffNet,46,9.896750658750534,0.23772501945495605,0.0037,0.0045,0.0085,0.0037,0.0054,0.0075,0.0089,0.0025,0.0023,0.0255,0.047
DiffNet,47,9.730625748634338,0.23900508880615234,0.0039,0.0046,0.0082,0.0039,0.0054,0.008,0.0095,0.0025,0.0023,0.025,0.0465
DiffNet,48,9.533339083194733,0.2401866912841797,0.0039,0.005,0.0084,0.0039,0.0054,0.0076,0.009,0.0026,0.0024,0.026,0.047
DiffNet,49,9.351816534996033,0.24374818801879883,0.0039,0.005,0.0085,0.0039,0.0054,0.0077,0.009,0.0026,0.0024,0.026,0.0465
