Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.935635209083557,0.28632640838623047,0.0235,0.0307,0.047,0.0235,0.0298,0.041,0.0452,0.0114,0.0092,0.1085,0.1695
CSGCN,2,15.886013746261597,0.28514671325683594,0.0267,0.0358,0.0559,0.0267,0.0342,0.0448,0.0497,0.0131,0.0106,0.123,0.1925
CSGCN,3,15.75492376089096,0.29393863677978516,0.0285,0.0385,0.061,0.0285,0.0369,0.0482,0.0533,0.0144,0.0117,0.135,0.21
CSGCN,4,15.489548742771149,0.28520655632019043,0.0272,0.0371,0.0599,0.0272,0.0357,0.0462,0.0517,0.0134,0.0114,0.127,0.2065
CSGCN,5,15.064349114894867,0.2842562198638916,0.0267,0.0368,0.0595,0.0267,0.0351,0.0447,0.0501,0.0134,0.0114,0.1265,0.206
CSGCN,6,14.481276273727417,0.2847919464111328,0.0266,0.0365,0.0554,0.0266,0.0339,0.0441,0.0491,0.0133,0.0108,0.1265,0.198
CSGCN,7,13.768238186836243,0.2897827625274658,0.0259,0.0352,0.0523,0.0259,0.0326,0.0436,0.0483,0.0129,0.0104,0.124,0.191
CSGCN,8,12.972742319107056,0.2921323776245117,0.0264,0.0354,0.0556,0.0264,0.034,0.045,0.0501,0.013,0.0108,0.124,0.2
CSGCN,9,12.132760405540466,0.2879610061645508,0.0283,0.0386,0.0559,0.0283,0.035,0.0473,0.052,0.0138,0.011,0.132,0.201
CSGCN,10,11.291614264249802,0.2809419631958008,0.0296,0.0405,0.0587,0.0296,0.0368,0.0499,0.0548,0.0147,0.0117,0.1415,0.2135
CSGCN,11,10.461531460285187,0.28238463401794434,0.03,0.0409,0.0628,0.03,0.0382,0.0502,0.0558,0.0151,0.0124,0.144,0.227
CSGCN,12,9.67645651102066,0.2821333408355713,0.0313,0.0424,0.065,0.0313,0.0397,0.0528,0.0583,0.0158,0.0127,0.1505,0.2315
