Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942514419555664,0.21456646919250488,0.0011,0.0016,0.0043,0.0011,0.0021,0.0018,0.0026,0.0009,0.0011,0.009,0.0215
BPR,2,15.93288117647171,0.31117725372314453,0.0012,0.0018,0.0045,0.0012,0.0023,0.0019,0.0028,0.0008,0.0011,0.0075,0.021
BPR,3,15.934786677360535,0.2212357521057129,0.0012,0.0015,0.0035,0.0012,0.002,0.0021,0.0029,0.0008,0.001,0.008,0.0195
BPR,4,15.937962234020233,0.21781015396118164,0.0014,0.0021,0.0041,0.0014,0.0022,0.0024,0.0031,0.0011,0.0011,0.0105,0.0215
BPR,5,15.940119922161102,0.21708941459655762,0.0016,0.0018,0.003,0.0016,0.0021,0.0039,0.0044,0.001,0.0008,0.0095,0.016
BPR,6,15.941288948059082,0.21514368057250977,0.0019,0.0019,0.0039,0.0019,0.0027,0.0045,0.0051,0.0011,0.0011,0.0105,0.021
BPR,7,15.941864430904388,0.21406006813049316,0.0017,0.0023,0.0041,0.0017,0.0025,0.0031,0.0038,0.0014,0.0012,0.0135,0.023
BPR,8,15.942143559455872,0.21587800979614258,0.0008,0.0013,0.0039,0.0008,0.0019,0.0013,0.0021,0.0007,0.001,0.007,0.02
BPR,9,15.942272663116455,0.21509742736816406,0.0015,0.0025,0.0051,0.0015,0.0026,0.0026,0.0035,0.0011,0.0012,0.0105,0.0235
BPR,10,15.942332983016968,0.219404935836792,0.0009,0.0012,0.0041,0.0009,0.0021,0.0016,0.0026,0.0006,0.001,0.0065,0.0205
BPR,11,15.942361176013947,0.2153162956237793,0.0022,0.0028,0.0044,0.0022,0.0029,0.0041,0.0046,0.0014,0.0011,0.0135,0.022
BPR,12,15.942374348640442,0.21620440483093262,0.0015,0.002,0.004,0.0015,0.0023,0.0025,0.0032,0.0009,0.0009,0.0085,0.0185
BPR,13,15.94238018989563,0.21462059020996094,0.0014,0.0017,0.0032,0.0014,0.002,0.0023,0.0029,0.0008,0.0008,0.0075,0.0165
BPR,14,15.942382991313934,0.21472549438476562,0.002,0.0029,0.005,0.002,0.0029,0.0037,0.0045,0.0014,0.0013,0.0135,0.0255
BPR,15,15.942385017871857,0.21514081954956055,0.0012,0.0013,0.004,0.0012,0.0023,0.0026,0.0035,0.0009,0.0012,0.009,0.0235
BPR,16,15.942385196685791,0.21550512313842773,0.0013,0.0016,0.0033,0.0013,0.0019,0.0029,0.0034,0.001,0.0009,0.01,0.0185
BPR,17,15.942385196685791,0.21625518798828125,0.0019,0.0023,0.0042,0.0019,0.0026,0.0036,0.0042,0.0012,0.001,0.0115,0.02
BPR,18,15.942385196685791,0.21515583992004395,0.0011,0.0016,0.0034,0.0011,0.0018,0.002,0.0026,0.0009,0.0009,0.009,0.018
BPR,19,15.942385196685791,0.21630430221557617,0.0019,0.002,0.0047,0.0019,0.0028,0.0041,0.0049,0.001,0.0011,0.0095,0.021
BPR,20,15.942385196685791,0.21417713165283203,0.001,0.0014,0.0032,0.001,0.0018,0.0019,0.0025,0.0008,0.0009,0.0075,0.018
BPR,21,15.942385196685791,0.21546363830566406,0.0016,0.002,0.0039,0.0016,0.0024,0.0029,0.0035,0.001,0.0009,0.0095,0.0185
BPR,22,15.942385196685791,0.2140791416168213,0.0013,0.0014,0.0032,0.0013,0.002,0.0028,0.0035,0.0007,0.0009,0.007,0.018
