Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,31.187082171440125,0.4516017436981201,0.0027,0.0026,0.004,0.0027,0.0033,0.0065,0.0078,0.0025,0.0022,0.0255,0.044
DiffNet,2,31.1794051527977,0.4531266689300537,0.0029,0.0028,0.0041,0.0029,0.0034,0.0068,0.0078,0.0028,0.0023,0.0285,0.0445
DiffNet,3,31.173272490501404,0.4533262252807617,0.0027,0.0026,0.0042,0.0027,0.0033,0.0063,0.0075,0.0027,0.0023,0.027,0.045
DiffNet,4,31.166965544223785,0.450498104095459,0.0027,0.0027,0.0041,0.0027,0.0033,0.0062,0.0074,0.0027,0.0023,0.027,0.0445
DiffNet,5,31.15977716445923,0.45107460021972656,0.0027,0.0027,0.0043,0.0027,0.0033,0.0059,0.0071,0.0027,0.0023,0.0275,0.046
DiffNet,6,31.153790414333344,0.4507906436920166,0.0025,0.0026,0.0042,0.0025,0.0032,0.0057,0.007,0.0025,0.0023,0.0255,0.045
DiffNet,7,31.145973443984985,0.450000524520874,0.0026,0.0027,0.0043,0.0026,0.0032,0.0056,0.0068,0.0026,0.0022,0.0265,0.0445
DiffNet,8,31.139312148094177,0.449765682220459,0.0025,0.0025,0.0044,0.0025,0.0033,0.0058,0.0073,0.0024,0.0023,0.024,0.0455
DiffNet,9,31.131197035312653,0.4504108428955078,0.0025,0.0025,0.0044,0.0025,0.0033,0.0059,0.0074,0.0023,0.0023,0.0235,0.0465
DiffNet,10,31.123178243637085,0.44990038871765137,0.0023,0.0022,0.0045,0.0023,0.0033,0.0057,0.0074,0.0021,0.0023,0.021,0.0465
DiffNet,11,31.115465760231018,0.45612335205078125,0.0023,0.0022,0.0044,0.0023,0.0033,0.0057,0.0073,0.0021,0.0022,0.0205,0.045
DiffNet,12,31.106667816638947,0.45105719566345215,0.0024,0.0022,0.0042,0.0024,0.0032,0.0059,0.0074,0.0022,0.0022,0.0215,0.044
DiffNet,13,31.097732424736023,0.45311594009399414,0.0024,0.0022,0.0041,0.0024,0.0032,0.0061,0.0075,0.0022,0.0022,0.0215,0.0435
